year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1368,1368,1368,1368,160110089,16,01,100,8,9,江蘇省,Jiangsu,118.824123,32.118003,
1371,1371,1371,1371,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1371,1371,1371,1371,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1371,1371,1371,1371,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1371,1371,1371,1371,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1372,1372,1372,1372,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1372,1372,1372,1372,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1372,1372,1372,1372,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1372,1372,1372,1372,162000109,16,20,001,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1372,1372,1372,1372,162000109,16,20,001,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,162000099,16,20,000,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,162000199,16,20,001,9,9,江蘇省,Jiangsu,118.824123,32.118003,
