year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1368,1368,1368,1368,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1368,1368,1368,1368,330112009,33,01,120,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1369,1369,1369,1369,330100009,33,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,330112009,33,01,120,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,330112009,33,01,120,0,9,江蘇省,Jiangsu,119.461049,32.203049,
1375,1375,1375,1375,331112009,33,11,120,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1375,1375,1375,1375,330112009,33,01,120,0,9,江蘇省,Jiangsu,119.490634,32.831306,
1375,1375,1375,1375,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.054135,33.30777,
1376,1376,1376,1376,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1377,1377,1377,1377,331120309,33,11,203,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1384,1384,1384,1384,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1385,1385,1385,1385,330112009,33,01,120,0,9,江蘇省,Jiangsu,119.903954,32.513149,
1387,1387,1387,1387,330112009,33,01,120,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1390,1390,1390,1390,330112009,33,01,120,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1392,1392,1392,1392,330110109,33,01,101,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1392,1392,1392,1392,330100009,33,01,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1396,1396,1396,1396,331110109,33,11,101,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1396,1396,1396,1396,331110109,33,11,101,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1396,1396,1396,1396,331110109,33,11,101,0,9,江蘇省,Jiangsu,119.370599,31.423776,
1396,1396,1396,1396,330110109,33,01,101,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1397,1397,1397,1397,330112009,33,01,120,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1398,1398,1398,1398,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.054135,33.30777,
1404,1404,1404,1404,331112009,33,11,120,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1404,1404,1404,1404,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1403,1403,1403,1403,330120409,33,01,204,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1405,1405,1405,1405,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1405,1405,1405,1405,330150309,33,01,503,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1405,1405,1405,1405,331112009,33,11,120,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1407,1407,1407,1407,330170029,33,01,700,2,9,江蘇省,Jiangsu,120.625761,31.01201,
1409,1409,1409,1409,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.568183,32.264155,
1411,1411,1411,1411,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1412,1416,1410,1416,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1411,1411,1411,1411,330112009,33,01,120,0,9,江蘇省,Jiangsu,118.845237,34.151675,
1412,1412,1412,1412,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1412,1412,1412,1412,330112009,33,01,120,0,9,江蘇省,Jiangsu,117.889775,34.399354,
1413,1413,1413,1413,330112009,33,01,120,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1413,1413,1413,1413,330112009,33,01,120,0,9,江蘇省,Jiangsu,121.309149,31.968423,
