year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1376,1376,1376,1376,340100309,34,01,003,0,9,江蘇省,Jiangsu,117.876958,33.944061,
1440,1440,1440,1440,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.625761,31.01201,
1452,1452,1452,1452,340100309,34,01,003,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1452,1452,1452,1452,340100009,34,01,000,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1452,1452,1452,1452,340100009,34,01,000,0,9,江蘇省,Jiangsu,116.603152,34.690638,
1452,1452,1452,1452,340100009,34,01,000,0,9,江蘇省,Jiangsu,116.897453,34.699891,
1454,1454,1454,1454,340100329,34,01,003,2,9,江蘇省,Jiangsu,119.280564,33.503341,
1454,1454,1454,1454,340100329,34,01,003,2,9,江蘇省,Jiangsu,117.205594,34.271614,
1454,1454,1454,1454,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1454,1454,1454,1454,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.95298,31.323023,
1454,1454,1454,1454,340130029,34,01,300,2,9,江蘇省,Jiangsu,121.127022,31.551683,
1454,1454,1454,1454,340100309,34,01,003,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1455,1455,1455,1455,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1455,1455,1455,1455,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1455,1455,1455,1455,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1455,1455,1455,1455,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.808317,31.655226,
1455,1455,1455,1455,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1455,1455,1455,1455,340100099,34,01,000,9,9,江蘇省,Jiangsu,119.370599,31.423776,
1458,1458,1458,1458,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1466,1466,1466,1466,340100009,34,01,000,0,9,江蘇省,Jiangsu,117.322622,34.311265,
1477,1477,1477,1477,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.625761,31.01201,
1481,1481,1481,1481,340100109,34,01,001,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1481,1481,1481,1481,340100109,34,01,001,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1482,1482,1482,1482,340100009,34,01,000,0,9,江蘇省,Jiangsu,118.524543,32.96793,
1491,1491,1491,1491,340100009,34,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1493,1493,1493,1493,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1509,1509,1509,1509,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1491,1492,1491,1492,340100139,34,01,001,3,9,江蘇省,Jiangsu,118.824123,32.118003,
1492,1492,1492,1492,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1492,1492,1492,1492,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.808317,31.655226,
1493,1494,1493,1494,340100009,34,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1501,1503,1501,1503,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1501,1503,1501,1503,340100099,34,01,000,9,9,江蘇省,Jiangsu,120.568183,32.264155,
1501,1503,1501,1503,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.553937,32.784224,
1502,1502,1502,1502,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1502,1502,1502,1502,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.568183,32.264155,
1503,1503,1503,1503,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1503,1503,1503,1503,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.490634,32.831306,
1503,1503,1503,1503,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.568183,32.264155,
1510,1510,1510,1510,340100009,34,01,000,0,9,江蘇省,Jiangsu,118.961703,31.332019,
1510,1510,1510,1510,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1510,1510,1510,1510,340100009,34,01,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1510,1510,1510,1510,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.808317,31.655226,
1510,1510,1510,1510,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.625761,31.01201,
1511,1511,1511,1511,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1511,1511,1511,1511,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.808317,31.655226,
1511,1511,1511,1511,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1513,1513,1513,1514,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.011685,33.501977,
1518,1518,1518,1518,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.568183,32.264155,
1519,1519,1519,1519,340100009,34,01,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1519,1519,1519,1519,340130029,34,01,300,2,9,江蘇省,Jiangsu,119.78552,31.358953,
1520,1520,1520,1520,340100109,34,01,001,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1522,1522,1522,1522,340200009,34,02,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1523,1524,1523,1524,340130029,34,01,300,2,9,江蘇省,Jiangsu,118.837253,32.406633,
1523,1523,1523,1523,340200009,34,02,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1523,1523,1523,1523,340200009,34,02,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.903954,32.513149,
1523,1523,1523,1524,340130029,34,01,300,2,9,江蘇省,Jiangsu,119.280564,33.503341,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,118.921746,33.658644,
1523,1523,1523,1524,340100009,34,01,000,0,9,江蘇省,Jiangsu,118.524543,32.96793,
1523,1523,1523,1524,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.553937,32.784224,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1523,1523,1523,1523,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.461049,32.203049,
1524,1524,1524,1524,340130029,34,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1524,1524,1524,1524,340100329,34,01,003,2,9,江蘇省,Jiangsu,118.837253,32.406633,
1524,1524,1524,1524,340130029,34,01,300,2,9,江蘇省,Jiangsu,119.442397,33.221142,
1481,1481,1481,1481,340000009,34,00,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1538,1538,1538,1538,340100009,34,01,000,0,9,江蘇省,Jiangsu,119.442397,33.221142,
1539,1539,1539,1539,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.603069,31.309043,
1544,1544,1544,1544,340130029,34,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
