year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1369,1369,1369,1369,350100099,35,01,000,9,9,江蘇省,Jiangsu,119.445274,32.406239,
1370,1370,1370,1370,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1370,1370,1370,1370,350100099,35,01,000,9,9,江蘇省,Jiangsu,120.625761,31.01201,
1373,1373,1373,1373,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1373,1373,1373,1373,350100009,35,01,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1373,1373,1373,1373,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1373,1373,1373,1373,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1373,1373,1373,1373,350100099,35,01,000,9,9,江蘇省,Jiangsu,119.445274,32.406239,
1374,1374,1374,1374,350100599,35,01,005,9,9,江蘇省,Jiangsu,120.603069,31.309043,
1374,1374,1374,1374,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1374,1374,1374,1374,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1374,1374,1374,1374,350100099,35,01,000,9,9,江蘇省,Jiangsu,120.625761,31.01201,
1391,1391,1391,1391,350130029,35,01,300,2,9,江蘇省,Jiangsu,117.205594,34.271614,
1391,1391,1391,1391,350130229,35,01,302,2,9,江蘇省,Jiangsu,117.205594,34.271614,
1391,1391,1391,1391,350100009,35,01,000,0,9,江蘇省,Jiangsu,116.897453,34.699891,
1391,1391,1391,1391,350130229,35,01,302,2,9,江蘇省,Jiangsu,116.897453,34.699891,
1393,1393,1393,1393,350100009,35,01,000,0,9,江蘇省,Jiangsu,119.981765,32.956244,
1393,1393,1393,1393,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.054135,33.30777,
1403,1403,1403,1403,350100009,35,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1403,1403,1403,1403,350100009,35,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1403,1403,1403,1403,350100009,35,01,000,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1403,1403,1403,1403,350100009,35,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1403,1403,1403,1403,350100009,35,01,000,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1403,1403,1403,1403,350130029,35,01,300,2,9,江蘇省,Jiangsu,117.889775,34.399354,
1404,1404,1404,1404,350130229,35,01,302,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1404,1404,1404,1404,350100509,35,01,005,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1404,1404,1404,1404,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1403,1403,1403,1403,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1403,1403,1403,1403,350130229,35,01,302,2,9,江蘇省,Jiangsu,120.625761,31.01201,
1405,1405,1405,1405,350100009,35,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1404,1405,1404,1405,350100309,35,01,003,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1404,1405,1404,1405,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1405,1405,1405,1405,350130029,35,01,300,2,9,江蘇省,Jiangsu,120.625761,31.01201,
1405,1405,1405,1405,350130529,35,01,305,2,9,江蘇省,Jiangsu,117.889775,34.399354,
1406,1406,1406,1406,350100009,35,01,000,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1406,1406,1406,1406,350100009,35,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1406,1406,1406,1406,350100009,35,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1406,1406,1406,1406,350100009,35,01,000,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1410,1410,1410,1410,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1410,1410,1410,1410,350100009,35,01,000,0,9,江蘇省,Jiangsu,119.505288,32.116972,
1412,1412,1412,1412,350100509,35,01,005,0,9,江蘇省,Jiangsu,117.889775,34.399354,
1413,1413,1413,1413,350100009,35,01,000,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1413,1413,1413,1413,350100509,35,01,005,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1414,1414,1414,1414,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1415,1415,1415,1415,350100009,35,01,000,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1415,1415,1415,1415,350100009,35,01,000,0,9,江蘇省,Jiangsu,116.897453,34.699891,
1421,1421,1421,1421,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1425,1425,1425,1425,350100509,35,01,005,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1425,1425,1425,1425,350130009,35,01,300,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1425,1425,1425,1425,350100509,35,01,005,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1425,1425,1425,1425,350130009,35,01,300,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1425,1425,1425,1425,350100009,35,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1424,1424,1424,1424,350100509,35,01,005,0,9,江蘇省,Jiangsu,119.920709,31.748661,
1425,1425,1425,1425,350130029,35,01,300,2,9,江蘇省,Jiangsu,117.876958,33.944061,
1428,1428,1428,1428,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1429,1429,1429,1429,350100009,35,01,000,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1429,1429,1429,1429,350100009,35,01,000,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1430,1430,1430,1430,350100009,35,01,000,0,9,江蘇省,Jiangsu,118.837253,32.406633,
1430,1430,1430,1430,350100109,35,01,001,0,9,江蘇省,Jiangsu,119.445274,32.406239,
