year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1368,1368,1368,1368,310100009,31,01,000,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1369,1369,1369,1369,310100099,31,01,000,9,9,江蘇省,Jiangsu,120.603069,31.309043,
1370,1370,1370,1370,310130029,31,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1370,1370,1370,1370,315100209,31,51,002,0,9,江蘇省,Jiangsu,119.027201,31.595081,
1372,1372,1372,1372,310100009,31,01,000,0,9,江蘇省,Jiangsu,121.309149,31.968423,
1374,1374,1374,1374,310130029,31,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1375,1375,1375,1375,310130029,31,01,300,2,9,江蘇省,Jiangsu,119.280564,33.503341,
1375,1375,1376,1376,310100009,31,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1375,1375,1376,1376,310100009,31,01,000,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1375,1375,1375,1375,310100009,31,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1376,310100009,31,01,000,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1375,1375,1375,1375,310130029,31,01,300,2,9,江蘇省,Jiangsu,119.490634,32.831306,
1375,1375,1375,1375,315131029,31,51,310,2,9,江蘇省,Jiangsu,118.524543,32.96793,
1375,1375,1375,1375,310100405,31,01,004,0,5,江蘇省,Jiangsu,120.054135,33.30777,
1376,1376,1376,1376,310100009,31,01,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1376,1376,1376,1376,310100009,31,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1376,1376,1376,1376,310130029,31,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1376,1376,1376,1376,310100009,31,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1376,1376,1376,1376,310100299,31,01,002,9,9,江蘇省,Jiangsu,118.824123,32.118003,
