year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1372,1372,1372,1372,170200009,17,02,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,170200099,17,02,000,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,170100009,17,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1381,1381,170100009,17,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1381,1381,1381,1381,172200099,17,22,000,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1381,1381,1381,1381,172200099,17,22,000,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1388,1388,1388,1388,172200009,17,22,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1388,1388,1388,1388,172400009,17,24,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1395,1395,1395,1395,172300000,17,23,000,0,0,江蘇省,Jiangsu,118.824123,32.118003,
1395,1395,1395,1395,172500000,17,25,000,0,0,江蘇省,Jiangsu,118.824123,32.118003,
1458,1458,1458,1458,172300001,17,23,000,0,1,江蘇省,Jiangsu,118.824123,32.118003,
1458,1458,1458,1458,172300001,17,23,000,0,1,江蘇省,Jiangsu,118.824123,32.118003,
1476,1476,1476,1476,172200099,17,22,000,9,9,江蘇省,Jiangsu,120.625761,31.01201,
1483,1483,1483,1483,172200009,17,22,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1493,1493,1493,1493,172200009,17,22,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1496,1496,1496,1496,170100009,17,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1511,1511,1511,1511,172200009,17,22,000,0,9,江蘇省,Jiangsu,118.921746,33.658644,
1516,1516,1516,1516,170100009,17,01,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1524,1524,1524,1524,170200009,17,02,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1525,1525,1525,1525,172200009,17,22,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1561,1561,1561,1561,170000000,17,00,000,0,0,江蘇省,Jiangsu,118.921746,33.658644,
1569,1569,1569,1569,170100009,17,01,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1569,1569,1569,1569,170100009,17,01,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1586,1586,1586,1586,172200009,17,22,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1600,1600,1600,1600,170100009,17,01,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1617,1617,1617,1617,172100009,17,21,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1618,1618,1618,1618,172100003,17,21,000,0,3,江蘇省,Jiangsu,120.29982,31.833936,
1618,1618,1618,1618,172100009,17,21,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1618,1618,1618,1618,172100003,17,21,000,0,3,江蘇省,Jiangsu,120.263248,32.034773,
1619,1619,1619,1619,170100009,17,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1619,1619,1619,1619,170100009,17,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1622,1622,1622,1622,170100009,17,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1627,1627,1627,1627,172100001,17,21,000,0,1,江蘇省,Jiangsu,119.19589,31.928152,
1629,1629,1629,1629,172200009,17,22,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1635,1635,1635,1635,172100001,17,21,000,0,1,江蘇省,Jiangsu,118.824123,32.118003,
1635,1635,1635,1635,172100001,17,21,000,0,1,江蘇省,Jiangsu,118.824123,32.118003,
1635,1635,1635,1635,172100009,17,21,000,0,9,江蘇省,Jiangsu,121.006976,32.078142,
1635,1635,1635,1635,172100009,17,21,000,0,9,江蘇省,Jiangsu,121.006976,32.078142,
1637,1638,1637,1638,172300009,17,23,000,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1637,1638,1637,1638,172300009,17,23,000,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1637,1638,1637,1638,172300009,17,23,000,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1638,1638,1638,1638,170100089,17,01,000,8,9,江蘇省,Jiangsu,118.837253,32.406633,
1638,1638,1638,1639,172300009,17,23,000,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1638,1638,1638,1639,172300009,17,23,000,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1638,1638,1638,1638,172200009,17,22,000,0,9,江蘇省,Jiangsu,119.503724,31.722212,
1638,1638,1638,1639,172300009,17,23,000,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1638,1638,1638,1639,172300009,17,23,000,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1640,1640,1640,1641,172300009,17,23,000,0,9,江蘇省,Jiangsu,119.188204,32.388233,
1640,1640,1640,1640,172300009,17,23,000,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1644,1644,1644,1644,172200009,17,22,000,0,9,江蘇省,Jiangsu,118.961703,31.332019,
1644,1644,1644,1644,170200009,17,02,000,0,9,江蘇省,Jiangsu,119.188204,32.388233,
1645,1645,1645,1645,172200009,17,22,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1645,1645,1645,1645,172500009,17,25,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1665,1665,1665,1665,172400009,17,24,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1668,1668,1668,1668,172100004,17,21,000,0,4,江蘇省,Jiangsu,120.29982,31.833936,
1680,1680,1680,1680,172100009,17,21,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1683,1683,1683,1683,172100009,17,21,000,0,9,江蘇省,Jiangsu,118.921746,33.658644,
1692,1692,1692,1692,172500009,17,25,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1692,1692,1692,1692,172100009,17,21,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1692,1692,1692,1692,172200009,17,22,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1692,1692,1692,1692,170100009,17,01,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1693,1693,1693,1693,170000000,17,00,000,0,0,江蘇省,Jiangsu,116.603152,34.690638,
