year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1372,1372,1372,1372,140110009,14,01,100,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1372,1372,1372,1372,140110009,14,01,100,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,140110099,14,01,100,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,140120099,14,01,200,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1376,1376,1376,1376,140101099,14,01,010,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1376,1376,1376,1376,140120009,14,01,200,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1377,1377,1377,1377,140111009,14,01,110,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1377,1377,1378,1378,140121009,14,01,210,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1379,1379,1379,1379,140110009,14,01,100,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1381,1381,1381,1381,140111009,14,01,110,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1381,1381,1381,1381,140101099,14,01,010,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1382,1382,1382,1382,140111099,14,01,110,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1383,1383,1383,1383,140111099,14,01,110,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1386,1386,1386,1386,140121009,14,01,210,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1388,1388,1388,1388,140100009,14,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1389,1389,1390,1390,140111009,14,01,110,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1390,1390,1390,1390,140110009,14,01,100,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1390,1390,1390,1390,140111009,14,01,110,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1395,1395,1395,1395,140111000,14,01,110,0,0,江蘇省,Jiangsu,118.824123,32.118003,
1397,1397,1397,1397,140111099,14,01,110,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1477,1477,1477,1478,142100099,14,21,000,9,9,江蘇省,Jiangsu,120.397516,31.224485,
1493,1493,1493,1493,140120009,14,01,200,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1493,1493,1493,1493,140101001,14,01,010,0,1,江蘇省,Jiangsu,118.824123,32.118003,
1493,1493,1493,1493,140120009,14,01,200,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1496,1496,1496,1496,140110009,14,01,100,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1496,1496,1496,1496,140111009,14,01,110,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1498,1498,1499,1499,140111009,14,01,110,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1504,1504,1504,1504,140111009,14,01,110,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1506,1506,1506,1506,140210009,14,02,100,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1506,1506,1507,1507,140210009,14,02,100,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1528,1528,1528,1528,140101009,14,01,010,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1542,1542,1542,1542,142100009,14,21,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1553,1553,1553,1553,140210009,14,02,100,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1561,1561,1561,1561,142100001,14,21,000,0,1,江蘇省,Jiangsu,120.397516,31.224485,
1561,1561,1561,1561,140110009,14,01,100,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1561,1561,1562,1562,140110009,14,01,100,0,9,江蘇省,Jiangsu,119.490634,32.831306,
1561,1561,1562,1562,140111009,14,01,110,0,9,江蘇省,Jiangsu,119.490634,32.831306,
1570,1570,1570,1570,142100009,14,21,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1579,1579,1579,1579,140112004,14,01,120,0,4,江蘇省,Jiangsu,120.397516,31.224485,
1605,1605,1605,1605,140120009,14,01,200,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1609,1609,1609,1609,140111009,14,01,110,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1616,1616,1617,1617,140111009,14,01,110,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1616,1616,1617,1617,140110009,14,01,100,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1616,1616,1617,1617,140110009,14,01,100,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1616,1616,1617,1617,140111009,14,01,110,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1616,1616,1616,1616,140112004,14,01,120,0,4,江蘇省,Jiangsu,121.006976,32.078142,
1616,1616,1616,1616,140112004,14,01,120,0,4,江蘇省,Jiangsu,120.568183,32.264155,
1618,1618,1618,1618,140101009,14,01,010,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1618,1618,1618,1618,144200009,14,42,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1619,1619,1619,1619,140100009,14,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1620,1620,1620,1620,140112004,14,01,120,0,4,江蘇省,Jiangsu,120.397516,31.224485,
1621,1621,1621,1621,140110009,14,01,100,0,9,江蘇省,Jiangsu,118.837253,32.406633,
1630,1630,1630,1631,142100009,14,21,000,0,9,江蘇省,Jiangsu,121.006976,32.078142,
