year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1367,1368,1368,1368,100100002,10,01,000,0,2,江蘇省,Jiangsu,118.824123,32.118003,
1367,1368,1368,1368,101100002,10,11,000,0,2,江蘇省,Jiangsu,118.824123,32.118003,
1368,1368,1368,1368,100110189,10,01,101,8,9,江蘇省,Jiangsu,119.445274,32.406239,
1369,1369,1369,1369,100170000,10,01,700,0,0,江蘇省,Jiangsu,118.824123,32.118003,
1370,1370,1370,1370,100110180,10,01,101,8,0,江蘇省,Jiangsu,118.824123,32.118003,
1370,1370,1370,1370,100110189,10,01,101,8,9,江蘇省,Jiangsu,118.824123,32.118003,
1370,1370,1370,1370,100130029,10,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1370,1370,1370,1370,100110189,10,01,101,8,9,江蘇省,Jiangsu,118.824123,32.118003,
1370,1370,1370,1370,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1370,1370,1370,1370,100150000,10,01,500,0,0,江蘇省,Jiangsu,119.027201,31.595081,
1371,1371,1371,1371,102200099,10,22,000,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1371,1371,1371,1371,100100009,10,01,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1371,1371,1371,1371,102100009,10,21,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1372,1372,1372,1372,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,102100009,10,21,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,100130029,10,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,102130029,10,21,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1374,1374,102200099,10,22,000,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,100110189,10,01,101,8,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,100110389,10,01,103,8,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,100130029,10,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,100100005,10,01,000,0,5,江蘇省,Jiangsu,120.054135,33.30777,
1375,1376,1375,1376,100110189,10,01,101,8,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,100100299,10,01,002,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1376,1376,1376,1376,100100094,10,01,000,9,4,江蘇省,Jiangsu,118.824123,32.118003,
1376,1376,1376,1376,100150500,10,01,505,0,0,江蘇省,Jiangsu,120.95298,31.323023,
1378,1378,1378,1378,102200009,10,22,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1378,1378,1378,1378,100100009,10,01,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1378,1378,1378,1378,102100009,10,21,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1379,1379,1379,1379,100100003,10,01,000,0,3,江蘇省,Jiangsu,118.824123,32.118003,
1379,1379,1379,1379,101100003,10,11,000,0,3,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,100110189,10,01,101,8,9,江蘇省,Jiangsu,118.824123,32.118003,
1384,1384,1384,1384,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1384,1384,1384,1384,101102109,10,11,021,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,101100009,10,11,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,100150000,10,01,500,0,0,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,101100009,10,11,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,102100009,10,21,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,100150000,10,01,500,0,0,江蘇省,Jiangsu,119.903954,32.513149,
1386,1386,1386,1386,102500309,10,25,003,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1387,1387,1387,1387,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1387,1387,1387,1387,100130029,10,01,300,2,9,江蘇省,Jiangsu,119.962155,31.776182,
1387,1387,1387,1387,100130029,10,01,300,2,9,江蘇省,Jiangsu,119.370599,31.423776,
1389,1389,1389,1389,102200009,10,22,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1390,1390,1390,1390,101102109,10,11,021,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1390,1390,1390,1390,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1390,1390,1390,1390,101102109,10,11,021,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1391,1391,1391,1391,100110189,10,01,101,8,9,江蘇省,Jiangsu,118.824123,32.118003,
1391,1391,1391,1391,100110180,10,01,101,8,0,江蘇省,Jiangsu,118.824123,32.118003,
1391,1391,1391,1391,100130029,10,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1392,1392,1392,1392,100100309,10,01,003,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1392,1392,1392,1392,100110382,10,01,103,8,2,江蘇省,Jiangsu,119.445274,32.406239,
1394,1394,1394,1394,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1394,1394,1394,1394,101102109,10,11,021,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1397,1397,1397,1397,100150500,10,01,505,0,0,江蘇省,Jiangsu,119.280564,33.503341,
1403,1403,1403,1403,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1403,1403,1403,1403,100100009,10,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1403,1403,1403,1403,100150000,10,01,500,0,0,江蘇省,Jiangsu,120.603069,31.309043,
1404,1404,1404,1404,100130029,10,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1404,1404,1404,1404,100130029,10,01,300,2,9,江蘇省,Jiangsu,120.625761,31.01201,
1404,1404,1404,1404,100100002,10,01,000,0,2,江蘇省,Jiangsu,120.263248,32.034773,
1405,1405,1405,1405,100150500,10,01,505,0,0,江蘇省,Jiangsu,120.397516,31.224485,
1405,1405,1405,1405,100135029,10,01,350,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1405,1405,1405,1405,100150500,10,01,505,0,0,江蘇省,Jiangsu,120.625761,31.01201,
