year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1370,1370,1370,1370,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1373,1373,1373,1373,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1375,1375,1375,1375,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1376,1376,1376,1376,130100099,13,01,000,9,9,江蘇省,Jiangsu,118.824123,32.118003,
1379,1379,1379,1379,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1385,1385,1385,1385,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1387,1387,1387,1387,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1388,1388,1388,1388,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1388,1388,1388,1388,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1391,1391,1391,1391,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1391,1391,1391,1391,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1426,1426,1426,1426,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1433,1433,1433,1433,130130329,13,01,303,2,9,江蘇省,Jiangsu,119.962155,31.776182,
1443,1443,1443,1443,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1447,1447,1447,1447,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1447,1447,1447,1447,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1449,1449,1449,1449,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1450,1450,1450,1450,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1450,1450,1450,1450,135130029,13,51,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1450,1450,1450,1450,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1450,1450,1450,1450,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1451,1451,1451,1451,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1451,1451,1451,1451,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1451,1451,1451,1451,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1456,1456,1456,1456,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1462,1462,1462,1462,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1463,1463,1464,1464,130100099,13,01,000,9,9,江蘇省,Jiangsu,120.808317,31.655226,
1465,1465,1465,1465,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1467,1467,1467,1467,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1469,1469,1469,1469,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1472,1472,1472,1472,130100009,13,01,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1474,1474,1474,1474,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1474,1474,1474,1474,130130329,13,01,303,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1474,1474,1474,1474,130164020,13,01,640,2,0,江蘇省,Jiangsu,120.397516,31.224485,
1474,1474,1474,1474,130100009,13,01,000,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1474,1474,1474,1474,135100009,13,51,000,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1474,1474,1474,1474,130130029,13,01,300,2,9,江蘇省,Jiangsu,119.78552,31.358953,
1474,1474,1474,1474,135130029,13,51,300,2,9,江蘇省,Jiangsu,119.78552,31.358953,
1476,1476,1476,1476,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1476,1476,1476,1476,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1476,1476,1476,1476,135130029,13,51,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1477,1477,1477,1478,130130029,13,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1481,1481,1481,1481,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1481,1481,1481,1481,130130029,13,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1481,1481,1481,1481,135130029,13,51,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1488,1488,1488,1488,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1488,1488,1488,1488,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1488,1488,1488,1488,130100039,13,01,000,3,9,江蘇省,Jiangsu,118.824123,32.118003,
1488,1488,1488,1488,135100039,13,51,000,3,9,江蘇省,Jiangsu,118.824123,32.118003,
1488,1488,1488,1488,130130139,13,01,301,3,9,江蘇省,Jiangsu,118.824123,32.118003,
1488,1488,1488,1488,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1488,1488,1488,1488,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1488,1488,1488,1488,130130129,13,01,301,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1489,1489,1489,1489,130100109,13,01,001,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1489,1489,1489,1489,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1489,1489,1489,1489,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1490,1490,1490,1490,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1490,1490,1490,1490,130100009,13,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1490,1490,1490,1490,135100009,13,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1491,1491,1491,1491,130130029,13,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1491,1491,1491,1491,135130029,13,51,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
