year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1378,1378,1378,1378,120300009,12,03,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1390,1390,1390,1390,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1390,1390,1390,1390,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1442,1442,1442,1442,125100009,12,51,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1442,1442,1442,1442,125100009,12,51,000,0,9,江蘇省,Jiangsu,118.845237,34.151675,
1443,1443,1443,1443,125100005,12,51,000,0,5,江蘇省,Jiangsu,117.889775,34.399354,
1443,1443,1443,1443,125100009,12,51,000,0,9,江蘇省,Jiangsu,119.328894,34.618599,
1470,1470,1470,1470,126400009,12,64,000,0,9,江蘇省,Jiangsu,120.335992,31.567522,
1470,1470,1470,1470,120100009,12,01,000,0,9,江蘇省,Jiangsu,119.962155,31.776182,
1473,1473,1473,1473,120100003,12,01,000,0,3,江蘇省,Jiangsu,118.824123,32.118003,
1473,1473,1473,1473,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1476,1476,1476,1476,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1489,1489,1489,1489,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1490,1490,1490,1490,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1492,1492,1492,1492,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1493,1493,1493,1493,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1497,1497,1497,1497,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1508,1508,1508,1508,120300009,12,03,000,0,9,江蘇省,Jiangsu,118.640902,33.70502,
1508,1508,1508,1508,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.640902,33.70502,
1512,1512,1512,1512,120130029,12,01,300,2,9,江蘇省,Jiangsu,118.640902,33.70502,
1515,1515,1515,1515,120300009,12,03,000,0,9,江蘇省,Jiangsu,121.006976,32.078142,
1517,1517,1517,1517,125100009,12,51,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1520,1520,1520,1520,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1524,1524,1524,1524,125100009,12,51,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1529,1529,1529,1529,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1529,1529,1529,1529,120100009,12,01,000,0,9,江蘇省,Jiangsu,120.553937,32.784224,
1533,1533,1533,1533,120100039,12,01,000,3,9,江蘇省,Jiangsu,119.445274,32.406239,
1533,1533,1533,1533,120300039,12,03,000,3,9,江蘇省,Jiangsu,119.445274,32.406239,
1533,1533,1533,1533,120100039,12,01,000,3,9,江蘇省,Jiangsu,120.568183,32.264155,
1533,1533,1533,1533,120300039,12,03,000,3,9,江蘇省,Jiangsu,120.568183,32.264155,
1533,1533,1533,1533,120100009,12,01,000,0,9,江蘇省,Jiangsu,120.553937,32.784224,
1533,1533,1533,1533,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.553937,32.784224,
1539,1539,1539,1539,125100202,12,51,002,0,2,江蘇省,Jiangsu,118.961703,31.332019,
1542,1542,1542,1542,126200022,12,62,000,2,2,江蘇省,Jiangsu,119.188204,32.388233,
1544,1544,1544,1544,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1544,1544,1544,1544,120300009,12,03,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1546,1546,1546,1546,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.503724,31.722212,
1548,1548,1548,1548,125100002,12,51,000,0,2,江蘇省,Jiangsu,119.280564,33.503341,
1550,1550,1550,1550,120300009,12,03,000,0,9,江蘇省,Jiangsu,118.921746,33.658644,
1550,1550,1550,1550,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.312504,33.963181,
1550,1550,1550,1550,126400009,12,64,000,0,9,江蘇省,Jiangsu,118.312504,33.963181,
1568,1568,1568,1568,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1568,1568,1568,1568,120300009,12,03,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1568,1568,1568,1568,120130029,12,01,300,2,9,江蘇省,Jiangsu,120.808317,31.655226,
1568,1568,1568,1568,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1569,1569,1569,1569,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1575,1575,1575,1575,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.280564,33.503341,
1575,1575,1575,1575,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.311997,33.880774,
1575,1575,1575,1575,120130029,12,01,300,2,9,江蘇省,Jiangsu,118.640902,33.70502,
1576,1576,1576,1576,125100009,12,51,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1578,1578,1578,1578,120300009,12,03,000,0,9,江蘇省,Jiangsu,116.603152,34.690638,
1579,1579,1579,1579,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1583,1583,1583,1583,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.442397,33.221142,
1586,1586,1586,1586,125100089,12,51,000,8,9,江蘇省,Jiangsu,118.961703,31.332019,
1586,1586,1586,1586,125100009,12,51,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1586,1586,1586,1586,126200009,12,62,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1589,1589,1589,1589,120300009,12,03,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1589,1589,1589,1589,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1589,1589,1589,1589,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.280564,33.503341,
1594,1594,1594,1594,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1594,1594,1594,1594,120100039,12,01,000,3,9,江蘇省,Jiangsu,118.824123,32.118003,
1594,1594,1594,1594,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.312504,33.963181,
1594,1594,1594,1594,120100009,12,01,000,0,9,江蘇省,Jiangsu,119.328894,34.618599,
1597,1597,1597,1597,120100009,12,01,000,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1598,1598,1598,1598,120000000,12,00,000,0,0,江蘇省,Jiangsu,119.78552,31.358953,
1598,1598,1598,1598,120000000,12,00,000,0,0,江蘇省,Jiangsu,119.962155,31.776182,
1620,1620,1620,1620,120300009,12,03,000,0,9,江蘇省,Jiangsu,116.897453,34.699891,
1621,1621,1621,1621,120100009,12,01,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1622,1622,1622,1622,120100009,12,01,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1622,1622,1622,1622,125130029,12,51,300,2,9,江蘇省,Jiangsu,120.29982,31.833936,
1622,1622,1622,1622,125130029,12,51,300,2,9,江蘇省,Jiangsu,120.263248,32.034773,
1622,1622,1622,1622,120100009,12,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1623,1623,1623,1623,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1625,1625,1625,1625,120100009,12,01,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1625,1625,1625,1625,125130029,12,51,300,2,9,江蘇省,Jiangsu,120.29982,31.833936,
1625,1625,1625,1625,125130022,12,51,300,2,2,江蘇省,Jiangsu,120.263248,32.034773,
1627,1627,1627,1627,125100009,12,51,000,0,9,江蘇省,Jiangsu,120.29982,31.833936,
1627,1627,1627,1627,125100009,12,51,000,0,9,江蘇省,Jiangsu,120.263248,32.034773,
1628,1628,1628,1628,125130029,12,51,300,2,9,江蘇省,Jiangsu,120.092824,32.219519,
1628,1628,1628,1628,125130029,12,51,300,2,9,江蘇省,Jiangsu,121.006976,32.078142,
1628,1628,1628,1628,125130029,12,51,300,2,9,江蘇省,Jiangsu,120.568183,32.264155,
1630,1630,1630,1630,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1635,1635,1635,1635,126300009,12,63,000,0,9,江蘇省,Jiangsu,119.490634,32.831306,
1636,1636,1636,1636,122300009,12,23,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1637,1637,1637,1638,125130029,12,51,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1639,1639,1639,1639,122300009,12,23,000,0,9,江蘇省,Jiangsu,119.188204,32.388233,
1640,1640,1640,1640,120130029,12,01,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1640,1640,1640,1640,120100000,12,01,000,0,0,江蘇省,Jiangsu,120.29982,31.833936,
1640,1640,1640,1640,120100000,12,01,000,0,0,江蘇省,Jiangsu,120.263248,32.034773,
1641,1641,1641,1641,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1641,1641,1641,1641,120300029,12,03,000,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1641,1641,1641,1641,125100009,12,51,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1641,1641,1641,1641,126200009,12,62,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1641,1641,1641,1641,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1641,1641,1641,1641,125100009,12,51,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1641,1641,1641,1641,120100002,12,01,000,0,2,江蘇省,Jiangsu,121.006976,32.078142,
1641,1641,1641,1641,120100002,12,01,000,0,2,江蘇省,Jiangsu,121.006976,32.078142,
1642,1642,1642,1642,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1643,1643,1643,1643,126400009,12,64,000,0,9,江蘇省,Jiangsu,120.808317,31.655226,
1644,1644,1644,1644,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.280564,33.503341,
1644,1644,1644,1644,120100009,12,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1644,1644,1644,1644,126200009,12,62,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1644,1644,1644,1644,126200009,12,62,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1644,1644,1644,1644,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.311997,33.880774,
1645,1645,1645,1645,120130022,12,01,300,2,2,江蘇省,Jiangsu,118.824123,32.118003,
1645,1645,1645,1645,120100009,12,01,000,0,9,江蘇省,Jiangsu,120.568183,32.264155,
1645,1645,1645,1645,120100009,12,01,000,0,9,江蘇省,Jiangsu,120.553937,32.784224,
1646,1646,1646,1646,125100209,12,51,002,0,9,江蘇省,Jiangsu,121.006976,32.078142,
1647,1647,1647,1647,120100009,12,01,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1662,1662,1663,1663,125100009,12,51,000,0,9,江蘇省,Jiangsu,120.603069,31.309043,
1668,1668,1668,1668,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.027584,34.888509,
1668,1668,1668,1668,125100009,12,51,000,0,9,江蘇省,Jiangsu,119.027584,34.888509,
1677,1677,1677,1677,120100104,12,01,001,0,4,江蘇省,Jiangsu,118.921746,33.658644,
1678,1678,1679,1679,120301409,12,03,014,0,9,江蘇省,Jiangsu,117.889775,34.399354,
1678,1678,1679,1679,120100009,12,01,000,0,9,江蘇省,Jiangsu,117.876958,33.944061,
1678,1678,1679,1679,120100009,12,01,000,0,9,江蘇省,Jiangsu,117.876958,33.944061,
1679,1679,1679,1679,120130029,12,01,300,2,9,江蘇省,Jiangsu,120.397516,31.224485,
1680,1680,1680,1680,120201009,12,02,010,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1683,1683,1683,1683,120100104,12,01,001,0,4,江蘇省,Jiangsu,117.205594,34.271614,
1683,1683,1683,1683,120000009,12,00,000,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1686,1686,1686,1686,120201009,12,02,010,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1690,1691,1691,1691,125100009,12,51,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1691,1691,1691,1691,120302109,12,03,021,0,9,江蘇省,Jiangsu,118.523523,32.032504,
1691,1691,1691,1691,125130029,12,51,300,2,9,江蘇省,Jiangsu,118.523523,32.032504,
1692,1692,1692,1692,120130029,12,01,300,2,9,江蘇省,Jiangsu,116.897453,34.699891,
1693,1693,1693,1693,120100009,12,01,000,0,9,江蘇省,Jiangsu,116.603152,34.690638,
1693,1693,1693,1693,126400009,12,64,000,0,9,江蘇省,Jiangsu,117.889775,34.399354,
1706,1706,1706,1706,126400009,12,64,000,0,9,江蘇省,Jiangsu,118.312504,33.963181,
1708,1708,1708,1708,125130029,12,51,300,2,9,江蘇省,Jiangsu,119.490634,32.831306,
1714,1714,1715,1715,125100009,12,51,000,0,9,江蘇省,Jiangsu,119.188204,32.388233,
1716,1716,1716,1716,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.188204,32.388233,
1723,1723,1723,1723,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.188204,32.388233,
1724,1724,1724,1724,120100009,12,01,000,0,9,江蘇省,Jiangsu,119.69293,33.708995,
1740,1740,1740,1740,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.445274,32.406239,
1740,1740,1740,1740,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.490634,32.831306,
1742,1742,1742,1742,120202009,12,02,020,0,9,江蘇省,Jiangsu,120.568183,32.264155,
1743,1743,1743,1743,125100009,12,51,000,0,9,江蘇省,Jiangsu,116.603152,34.690638,
1744,1744,1744,1744,125100000,12,51,000,0,0,江蘇省,Jiangsu,120.568183,32.264155,
1747,1747,1747,1747,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1747,1747,1747,1747,120300009,12,03,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1757,1757,1757,1757,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1766,1766,1767,1767,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.445274,32.406239,
1766,1766,1767,1767,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.188204,32.388233,
1774,1774,1774,1774,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.188204,32.388233,
1774,1774,1774,1774,123300001,12,33,000,0,1,江蘇省,Jiangsu,119.188204,32.388233,
1802,1802,1803,1803,125130229,12,51,302,2,9,江蘇省,Jiangsu,120.95298,31.323023,
1803,1803,1804,1804,125130029,12,51,300,2,9,江蘇省,Jiangsu,120.625761,31.01201,
1804,1804,1804,1804,126200009,12,62,000,0,9,江蘇省,Jiangsu,120.625761,31.01201,
1805,1805,1805,1805,120300029,12,03,000,2,9,江蘇省,Jiangsu,119.981765,32.956244,
1809,1809,1809,1810,120100009,12,01,000,0,9,江蘇省,Jiangsu,120.061609,32.508067,
1810,1810,1810,1810,120100009,12,01,000,0,9,江蘇省,Jiangsu,119.280564,33.503341,
1810,1810,1810,1810,126300009,12,63,000,0,9,江蘇省,Jiangsu,119.027584,34.888509,
1812,1812,1812,1812,125100009,12,51,000,0,9,江蘇省,Jiangsu,117.322622,34.311265,
1812,1812,1812,1812,120100009,12,01,000,0,9,江蘇省,Jiangsu,117.322622,34.311265,
1819,1819,1819,1819,125130229,12,51,302,2,9,江蘇省,Jiangsu,120.95298,31.323023,
1839,1839,1839,1839,122300009,12,23,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1842,1842,1842,1842,120300009,12,03,000,0,9,江蘇省,Jiangsu,118.312504,33.963181,
1851,1851,1851,1851,120300009,12,03,000,0,9,江蘇省,Jiangsu,117.205594,34.271614,
1853,1853,1853,1853,126400009,12,64,000,0,9,江蘇省,Jiangsu,119.505288,32.116972,
1853,1853,1853,1853,126400009,12,64,000,0,9,江蘇省,Jiangsu,118.312504,33.963181,
1856,1856,1856,1856,120300009,12,03,000,0,9,江蘇省,Jiangsu,118.921746,33.658644,
1862,1862,1862,1862,120100009,12,01,000,0,9,江蘇省,Jiangsu,118.312504,33.963181,
1862,1862,1862,1862,125130029,12,51,300,2,9,江蘇省,Jiangsu,119.69293,33.708995,
1862,1862,1862,1862,120130029,12,01,300,2,9,江蘇省,Jiangsu,119.69293,33.708995,
1867,1867,1867,1867,120300009,12,03,000,0,9,江蘇省,Jiangsu,119.69293,33.708995,
1877,1877,1877,1877,125100009,12,51,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1879,1879,1879,1879,126400029,12,64,000,2,9,江蘇省,Jiangsu,118.312504,33.963181,
1887,1887,1887,1887,125130029,12,51,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
