year_lunar_st,year_lunar_ed,year_greg_st,year_greg_ed,event_code,mainCategory,subCategory,vocabularyCode,magnitude,timeDuration,place_provin,place_EN,place_longit,place_latitu
1369,1369,1369,1369,152130029,15,21,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1369,1369,1369,1369,152130029,15,21,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1369,1369,1369,1369,152170000,15,21,700,0,0,江蘇省,Jiangsu,118.824123,32.118003,
1370,1370,1370,1370,152130029,15,21,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1372,1372,1372,1372,152100009,15,21,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1374,1374,1374,1374,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1378,1378,1378,1378,152130029,15,21,300,2,9,江蘇省,Jiangsu,120.603069,31.309043,
1378,1378,1378,1378,152130029,15,21,300,2,9,江蘇省,Jiangsu,120.95298,31.323023,
1378,1378,1378,1378,152100009,15,21,000,0,9,江蘇省,Jiangsu,121.127022,31.551683,
1379,1379,1379,1379,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1379,1379,1379,1379,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1379,1379,1379,1379,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,152100009,15,21,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,152130029,15,21,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,152100009,15,21,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1380,1380,1380,1380,152100009,15,21,000,0,9,江蘇省,Jiangsu,118.824123,32.118003,
1381,1381,1381,1381,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1386,1386,1386,1386,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1387,1387,1387,1387,152130029,15,21,300,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1388,1388,1388,1388,152130229,15,21,302,2,9,江蘇省,Jiangsu,118.824123,32.118003,
1390,1390,1390,1390,152100009,15,21,000,0,9,江蘇省,Jiangsu,120.397516,31.224485,
1390,1390,1390,1390,152100009,15,21,000,0,9,江蘇省,Jiangsu,120.95298,31.323023,
1390,1390,1390,1390,150130029,15,01,300,2,9,江蘇省,Jiangsu,121.309149,31.968423,
