,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.37037037037037035,,,,0.375,,0.7692307692307693,0.8181818181818181,
天津,0.4285714285714286,0.6666666666666666,1.0,0.18181818181818182,0.16666666666666666,0.75,0.65,0.2727272727272727,,
河北,0.482051282051282,0.5826645264847512,0.6853932584269664,0.5576923076923077,0.48739495798319327,0.551470588235294,0.5524475524475524,0.5670498084291188,0.45727482678983833,0.09523809523809523
山西,0.10526315789473684,0.3504950495049505,0.15151515151515152,0.4568527918781726,0.4950495049504951,0.44278606965174133,0.12000000000000001,0.1764705882352941,0.6122448979591837,
內蒙古自治區,,,,,,,,1.0,0.23076923076923078,
遼寧,,0.37499999999999994,,0.5454545454545455,,,,,0.25806451612903225,1.0
吉林,,,,1.0,1.0,,,,,
黑龍江,,,,0.7999999999999999,0.25,0.39999999999999997,,,1.0,
上海,0.047619047619047616,0.3107344632768361,0.7058823529411765,0.3759398496240602,0.5833333333333334,0.3870967741935484,0.37142857142857144,,0.4767441860465116,0.047619047619047616
江蘇,0.27559055118110243,0.5493421052631579,0.5798319327731093,0.6440677966101696,0.45222929936305734,0.7254901960784313,0.33076923076923076,0.44642857142857145,0.35751295336787564,0.9090909090909091
浙江,0.1987179487179487,0.4120781527531084,0.5096153846153846,0.4714285714285714,0.45878136200716846,0.47428571428571425,0.4166666666666667,0.21794871794871795,0.37888198757763975,0.375
安徽,0.09523809523809523,0.44897959183673464,0.23684210526315794,0.5936254980079682,0.33962264150943394,0.273972602739726,0.10666666666666667,0.018867924528301886,0.32258064516129026,
福建,,0.12030075187969924,0.30000000000000004,0.1951219512195122,0.037037037037037035,0.23636363636363636,0.04166666666666667,,0.1951219512195122,0.5
江西,0.15999999999999998,0.3865979381443299,0.42857142857142855,0.35294117647058826,0.450381679389313,0.5707070707070707,0.40322580645161293,0.3971631205673759,0.037037037037037035,
山東,0.2603550295857988,0.5134770889487871,0.5502958579881657,0.4653641207815275,0.3092369477911646,0.35726795096322245,0.45945945945945943,0.1596244131455399,0.2702366127023661,0.008620689655172414
河南,0.24172185430463577,0.41519823788546256,0.4607843137254902,0.512396694214876,0.4210526315789474,0.2938388625592417,0.22988505747126436,0.15267175572519084,0.23462783171521034,0.1346153846153846
湖北,0.21212121212121213,0.27397260273972607,0.3870967741935484,0.3855421686746988,0.10256410256410257,0.21176470588235294,0.217741935483871,0.0410958904109589,0.14583333333333334,
湖南,0.1568627450980392,0.225,0.32,0.34782608695652173,0.1,0.22580645161290322,0.3488372093023256,0.2835820895522388,0.21621621621621623,0.2
廣東,0.038461538461538464,0.07983193277310924,0.4181818181818182,0.24528301886792453,0.022988505747126436,0.31901840490797545,0.3372093023255814,,0.24060150375939848,
廣西壯族自治區,,0.15625,,0.09999999999999999,,0.26136363636363635,0.6,,0.14864864864864863,
海南,,0.02564102564102564,,0.06896551724137931,0.3333333333333333,0.058823529411764705,,,0.07692307692307691,
重慶,,,,0.23076923076923075,0.1111111111111111,0.10526315789473684,0.125,0.07272727272727272,0.14893617021276595,
四川,,,,0.23076923076923075,0.2702702702702703,0.32,0.09090909090909091,0.10937500000000001,0.3469387755102041,0.6
貴州,,,,0.08695652173913045,0.14285714285714288,0.125,,,0.12087912087912088,
雲南,0.14285714285714285,0.2,,,0.16279069767441862,,,0.09302325581395349,0.09183673469387756,
西藏自治區,,0.0,,,,0.2222222222222222,0.5,,1.0,
陝西,0.13483146067415733,0.3179916317991632,0.4,0.7142857142857143,0.5333333333333333,0.43410852713178294,0.23809523809523808,0.1941747572815534,0.570063694267516,0.14285714285714285
甘肅,,0.15254237288135591,0.04,0.28888888888888886,,0.41935483870967744,,0.09523809523809523,0.3090909090909091,
青海,,,0.0,0.3333333333333333,,,,,,
寧夏回族自治區,,,,,,,,,0.3,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.8666666666666667,0.25,0.3333333333333333,1.0,,,
