,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.37037037037037035,,,0.3,0.375,0.37499999999999994,,0.1818181818181818,
天津,,0.3333333333333333,,0.27272727272727276,0.16666666666666666,,0.5499999999999999,0.09090909090909091,,
河北,0.24871794871794872,0.5473515248796147,0.398876404494382,0.5456730769230769,0.411764705882353,0.48529411764705876,0.5594405594405594,0.3639846743295019,0.42032332563510394,
山西,0.1286549707602339,0.5128712871287129,0.42424242424242425,0.5380710659898478,0.6534653465346535,0.5124378109452736,0.5466666666666666,0.4438502673796791,0.7031539888682746,
內蒙古自治區,,,,,,,,,0.07692307692307693,
遼寧,,0.37499999999999994,,0.27272727272727276,,0.28571428571428575,,,0.0967741935483871,
吉林,,,,,,,,,,
黑龍江,,,,0.6,0.5,,,,,
上海,0.5238095238095238,0.5141242937853107,0.43529411764705883,0.2180451127819549,0.16666666666666666,0.3010752688172043,0.5714285714285714,0.5,0.046511627906976744,
江蘇,0.40944881889763785,0.4391447368421052,0.2773109243697479,0.387409200968523,0.5095541401273885,0.1372549019607843,0.5,0.5267857142857143,0.3989637305699482,0.2424242424242424
浙江,0.4679487179487179,0.5239786856127886,0.36538461538461536,0.5178571428571428,0.5448028673835126,0.4771428571428571,0.3796296296296296,0.6025641025641026,0.30434782608695654,0.125
安徽,0.5333333333333333,0.5748299319727891,0.2105263157894737,0.37848605577689237,0.4716981132075472,0.3835616438356164,0.4666666666666667,0.24528301886792453,0.2903225806451613,
福建,0.4285714285714286,0.46616541353383456,,0.3780487804878049,0.3333333333333333,0.41818181818181815,0.04166666666666667,0.39999999999999997,0.451219512195122,0.3125
江西,0.43,0.5670103092783505,0.2571428571428572,0.30147058823529416,0.6412213740458016,0.4090909090909091,0.11290322580645161,0.25531914893617025,0.3703703703703704,
山東,0.1775147928994083,0.454177897574124,0.3431952662721894,0.44582593250444047,0.40562248995983935,0.415061295971979,0.5315315315315314,0.39906103286384975,0.5118306351183063,0.27586206896551724
河南,0.43708609271523186,0.5484581497797356,0.3235294117647059,0.33264462809917356,0.6725146198830411,0.4312796208530806,0.3563218390804598,0.12977099236641224,0.49676375404530737,0.25
湖北,0.12121212121212122,0.3150684931506849,0.0967741935483871,0.5301204819277109,0.30769230769230776,0.23529411764705885,0.5403225806451614,0.13698630136986303,0.2708333333333333,
湖南,0.49019607843137253,0.4416666666666667,0.24,0.45217391304347826,0.76,0.3306451612903226,0.3255813953488372,0.19402985074626866,0.2972972972972973,
廣東,0.05769230769230769,0.3487394957983193,0.19999999999999998,0.34905660377358494,0.16091954022988506,0.3006134969325154,0.43023255813953487,0.5176470588235293,0.4135338345864661,
廣西壯族自治區,,0.1875,0.4,0.30000000000000004,0.52,0.25,0.43333333333333335,0.21739130434782608,0.48648648648648646,0.2
海南,0.3,0.28205128205128205,,0.5172413793103449,,0.8823529411764706,0.3571428571428571,1.0,0.3846153846153846,
重慶,,,,0.7692307692307692,0.2222222222222222,0.2894736842105263,0.875,0.4363636363636363,0.4042553191489362,
四川,,0.049999999999999996,,0.3846153846153846,0.43243243243243246,0.24,0.2727272727272727,0.34375,0.489795918367347,0.1
貴州,,,,0.2608695652173913,0.14285714285714288,0.25,,0.3333333333333333,0.4395604395604395,
雲南,,0.08888888888888888,,0.0909090909090909,0.23255813953488372,0.1020408163265306,0.5,0.023255813953488372,0.21428571428571427,
西藏自治區,,0.0,,,,0.1111111111111111,,,,
陝西,0.30337078651685395,0.5271966527196653,0.4,0.5164835164835165,0.5733333333333333,0.5658914728682171,0.2857142857142857,0.2038834951456311,0.5859872611464969,
甘肅,0.2608695652173913,0.3559322033898305,,0.3333333333333333,0.45945945945945943,0.5483870967741935,,0.14285714285714285,0.2545454545454545,0.25
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,1.0,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.5333333333333333,,,1.0,,0.12000000000000001,
