,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.2592592592592593,,,0.1,0.65625,,,0.1818181818181818,
天津,0.28571428571428575,0.05555555555555556,,0.45454545454545453,,0.16666666666666669,,,,
河北,0.4564102564102564,0.36276083467094705,0.36516853932584276,0.28365384615384615,0.39915966386554624,0.3180147058823529,0.36363636363636365,0.38697318007662834,0.4341801385681293,
山西,0.29239766081871343,0.4712871287128713,,0.3451776649746193,0.5643564356435644,0.5522388059701493,0.29333333333333333,0.21390374331550802,0.5899814471243042,
內蒙古自治區,,,,,,,,,,
遼寧,,0.25,,0.18181818181818182,,0.4285714285714286,0.3333333333333333,1.0,0.41935483870967744,
吉林,,,,,,,,,,
黑龍江,,,,,,0.6,,,,
上海,0.13095238095238096,0.3757062146892655,0.7647058823529412,0.3458646616541353,0.3055555555555556,0.5161290322580645,0.24285714285714285,,0.22674418604651161,
江蘇,0.3228346456692914,0.47368421052631576,0.47058823529411764,0.44067796610169496,0.42038216560509556,0.5163398692810457,0.2846153846153846,0.16071428571428573,0.18652849740932645,0.7575757575757576
浙江,0.39102564102564097,0.40319715808170514,0.3557692307692307,0.30357142857142855,0.3906810035842294,0.6,0.5925925925925926,0.21794871794871795,0.2204968944099379,0.07142857142857142
安徽,0.2285714285714286,0.401360544217687,0.15789473684210528,0.50199203187251,0.3584905660377358,0.32876712328767127,0.5066666666666667,0.1320754716981132,0.17741935483870966,
福建,0.5238095238095238,0.17293233082706766,0.45000000000000007,0.25609756097560976,,0.39999999999999997,0.5416666666666667,0.19999999999999998,0.20731707317073172,0.25
江西,0.51,0.39175257731958757,0.2,0.3455882352941177,0.3282442748091603,0.37373737373737376,0.14516129032258066,0.20567375886524822,0.22222222222222218,1.0
山東,0.1834319526627219,0.4420485175202157,0.4970414201183432,0.4351687388987567,0.41365461847389556,0.29947460595446584,0.36336336336336333,0.10328638497652583,0.4134495641344957,0.017241379310344827
河南,0.1357615894039735,0.43942731277533037,0.3137254901960784,0.3801652892561983,0.5497076023391814,0.33175355450236965,0.36781609195402304,0.12977099236641224,0.459546925566343,0.17307692307692307
湖北,0.27272727272727276,0.27397260273972607,0.2903225806451613,0.3855421686746988,0.12820512820512822,0.4117647058823529,0.28225806451612906,0.19178082191780824,0.14583333333333334,
湖南,0.6274509803921569,0.20833333333333334,0.48,0.3043478260869565,0.14,0.31451612903225806,0.27906976744186046,0.08955223880597014,0.08108108108108107,0.2
廣東,0.3076923076923077,0.1722689075630252,0.23636363636363636,0.25,0.19540229885057475,0.26993865030674846,0.22093023255813954,0.17647058823529413,0.2857142857142857,
廣西壯族自治區,,0.25,,0.19999999999999998,0.32,0.09090909090909091,0.5,0.13043478260869565,0.32432432432432434,
海南,0.7,0.23076923076923075,,0.06896551724137931,,0.47058823529411764,0.2857142857142857,,0.23076923076923075,
重慶,,,,,,0.34210526315789475,1.0,0.41818181818181815,0.2765957446808511,
四川,1.0,0.15,1.0,0.03846153846153846,0.24324324324324328,0.32,0.2727272727272727,0.359375,0.46258503401360546,
貴州,,,,0.13043478260869565,0.07142857142857144,0.125,0.5,0.3333333333333333,0.24175824175824176,
雲南,0.14285714285714285,0.3111111111111111,,0.04545454545454545,0.441860465116279,0.08163265306122448,0.3181818181818182,0.3255813953488372,0.17346938775510204,
西藏自治區,,0.0,,,,,,,,
陝西,0.15730337078651688,0.48535564853556484,0.4,0.5439560439560439,0.36,0.4651162790697675,,0.2524271844660194,0.6369426751592357,
甘肅,0.21739130434782608,0.2033898305084746,,0.17777777777777778,0.13513513513513514,0.16129032258064516,,0.3333333333333333,0.32727272727272727,0.7499999999999999
青海,,,0.0,,,,,1.0,0.6666666666666666,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.06666666666666667,0.25,,,,0.32000000000000006,
