,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.18518518518518517,,,0.4,0.4375,0.125,1.0,0.9090909090909091,
天津,1.0,0.7222222222222222,1.0,0.18181818181818182,0.16666666666666666,0.9166666666666666,0.35,0.7727272727272727,,
河北,0.6923076923076923,0.4943820224719101,0.550561797752809,0.49519230769230765,0.4327731092436975,0.5165441176470588,0.4300699300699301,0.6590038314176245,0.3695150115473441,0.38095238095238093
山西,0.2222222222222222,0.12673267326732673,,0.2182741116751269,0.17821782178217824,0.11442786069651743,0.08,0.13903743315508021,0.10760667903525047,0.16666666666666666
內蒙古自治區,,,,,,,,,0.23076923076923078,
遼寧,,0.25,,0.18181818181818182,,0.14285714285714288,,,0.45161290322580644,1.0
吉林,,,,1.0,,,,,0.3333333333333333,0.6666666666666666
黑龍江,,,,0.19999999999999998,,0.6,,,0.8333333333333333,
上海,0.44047619047619047,0.40960451977401124,0.7176470588235294,0.3308270676691729,0.5,0.7096774193548387,0.07142857142857142,,0.19186046511627905,
江蘇,0.6220472440944882,0.6430921052631579,0.6890756302521008,0.4527845036319613,0.5414012738853503,0.8398692810457516,0.2,0.5892857142857143,0.4715025906735752,0.9393939393939394
浙江,0.6987179487179487,0.5825932504440497,0.6249999999999999,0.5571428571428572,0.4802867383512545,0.6714285714285714,0.5925925925925926,0.23076923076923078,0.6273291925465838,0.8571428571428571
安徽,0.6380952380952382,0.5170068027210885,0.6842105263157895,0.5219123505976095,0.5471698113207547,0.6986301369863014,0.36,0.4716981132075472,0.48387096774193544,0.6666666666666666
福建,0.28571428571428575,0.3684210526315789,0.45000000000000007,0.31707317073170727,0.3333333333333333,0.3636363636363636,0.375,0.19999999999999998,0.573170731707317,0.625
江西,0.43,0.4329896907216495,0.5714285714285714,0.4264705882352941,0.22900763358778628,0.6616161616161617,0.5403225806451613,0.6666666666666667,0.22222222222222218,0.5
山東,0.6331360946745562,0.34366576819407013,0.5857988165680473,0.4955595026642984,0.1686746987951807,0.46234676007005254,0.4384384384384384,0.539906103286385,0.37359900373599003,0.35344827586206895
河南,0.533112582781457,0.3733480176211454,0.4705882352941177,0.49173553719008267,0.1345029239766082,0.32701421800947866,0.16091954022988508,0.3282442748091603,0.27346278317152106,0.3846153846153846
湖北,0.5151515151515151,0.4794520547945206,0.8064516129032258,0.2289156626506024,0.5897435897435898,0.6941176470588236,0.32258064516129037,0.5205479452054794,0.3333333333333333,
湖南,0.2549019607843137,0.325,0.4,0.43478260869565216,0.24,0.5,0.48837209302325585,0.5373134328358209,0.3243243243243243,0.5
廣東,0.6730769230769231,0.4327731092436975,0.6181818181818182,0.5094339622641509,0.471264367816092,0.6993865030674846,0.5348837209302325,0.3764705882352941,0.5714285714285714,1.0
廣西壯族自治區,,0.15625,,0.3666666666666667,0.4,0.3181818181818182,0.06666666666666667,0.391304347826087,0.44594594594594594,0.7
海南,0.9,0.5128205128205129,0.6000000000000001,0.5517241379310345,0.16666666666666666,0.35294117647058826,0.2857142857142857,,,
重慶,,,,0.15384615384615385,,0.21052631578947367,,0.7636363636363636,0.14893617021276595,
四川,,0.5499999999999999,,0.34615384615384615,0.1891891891891892,0.12,0.6666666666666666,0.484375,0.3945578231292517,0.5
貴州,,,,0.2608695652173913,0.5,0.4375,0.3333333333333333,0.3333333333333333,0.3296703296703296,
雲南,0.14285714285714285,0.4,0.3333333333333333,0.3409090909090909,0.23255813953488372,0.5306122448979592,0.1818181818181818,0.6046511627906977,0.4489795918367347,1.0
西藏自治區,,0.0,,,,0.1111111111111111,,1.0,,
陝西,0.30337078651685395,0.1297071129707113,,0.1813186813186813,0.3466666666666666,0.15503875968992248,0.09523809523809525,0.36893203883495146,0.18471337579617836,0.5714285714285714
甘肅,0.04347826086956522,0.15254237288135591,,0.26666666666666666,0.18918918918918917,0.12903225806451613,,,0.2,1.0
青海,,,0.0,0.6666666666666666,,,,,,
寧夏回族自治區,,,,,,,,,0.09999999999999999,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.13333333333333333,,0.5555555555555556,,,0.36,
