,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.016826923076923076,,0.003676470588235294,,,,
山西,0.023391812865497075,0.019801980198019802,0.30303030303030304,,,,,,0.03153988868274583,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,0.05042016806722689,,,,,,,
浙江,0.10256410256410256,0.03374777975133215,,0.0035714285714285713,,0.017142857142857144,,0.10256410256410256,0.055900621118012424,0.2857142857142857
安徽,,,,,0.018867924528301886,,,,,
福建,,,,0.04878048780487805,,,,,,
江西,,,,0.03676470588235294,,0.03535353535353536,,,,
山東,,0.005390835579514825,,,0.024096385542168672,0.021015761821366028,,0.014084507042253523,,
河南,,0.06167400881057269,,,0.45029239766081874,0.03317535545023697,,0.015267175572519083,,
湖北,,,,0.03614457831325301,,,,,,
湖南,,,,,,0.056451612903225805,,,,0.4
廣東,,,,,,0.0736196319018405,0.03488372093023256,0.047058823529411764,0.21804511278195488,
廣西壯族自治區,,,,,0.12000000000000001,,,,0.11486486486486487,
海南,,,,,,,0.21428571428571427,,,
重慶,,,,,,0.07894736842105263,,0.10909090909090907,0.0851063829787234,
四川,,,,0.07692307692307691,,,0.06060606060606061,0.09375,,
貴州,,,,0.04347826086956522,,,,,0.0989010989010989,
雲南,,,0.1111111111111111,,,0.02040816326530612,,,,
西藏自治區,,0.0,,,,,,,,
陝西,0.011235955056179777,0.03347280334728033,,0.005494505494505495,,,,,,
甘肅,,0.05084745762711865,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.52,
