,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,0.03703703703703704,,,0.2,,0.7499999999999999,,0.1818181818181818,
天津,,0.2777777777777778,,0.27272727272727276,,,0.5,,,
河北,0.34615384615384615,0.19903691813804175,0.016853932584269662,0.20913461538461536,0.12605042016806722,0.2113970588235294,0.6433566433566434,0.23754789272030652,0.21247113163972287,0.047619047619047616
山西,0.40350877192982454,0.1801980198019802,0.030303030303030304,0.02538071065989848,0.019801980198019802,0.27363184079601993,0.4266666666666667,0.2459893048128342,0.13543599257884972,
內蒙古自治區,,,,,,,,,0.15384615384615385,
遼寧,,,,,,0.4285714285714286,,,,
吉林,,,,,,,,,,
黑龍江,,,,0.39999999999999997,,,,,,
上海,,0.10734463276836158,0.7058823529411765,0.030075187969924814,,0.07526881720430108,0.8,,0.2441860465116279,
江蘇,0.14173228346456695,0.2598684210526316,0.226890756302521,0.2493946731234867,0.11464968152866241,0.0261437908496732,0.6,0.15178571428571427,0.29015544041450775,
浙江,0.05128205128205128,0.13676731793960922,0.07692307692307691,0.11785714285714285,,0.005714285714285713,0.25925925925925924,,0.12732919254658387,
安徽,0.09523809523809523,0.282312925170068,0.13157894736842105,0.09163346613545816,0.07547169811320754,0.1917808219178082,0.68,0.1509433962264151,0.06451612903225806,
福建,,0.10526315789473684,,,,0.32727272727272727,,,0.012195121951219513,0.5
江西,,0.07216494845360825,,,0.02290076335877863,0.2676767676767677,0.20161290322580647,,0.037037037037037035,
山東,0.10059171597633136,0.20215633423180593,0.20118343195266272,0.18294849023090584,0.18473895582329317,0.2591943957968476,0.6846846846846847,0.3145539906103286,0.23287671232876714,0.02586206896551724
河南,0.13245033112582782,0.28193832599118945,0.25490196078431376,0.22107438016528924,0.14619883040935672,0.2843601895734597,0.8620689655172414,0.24427480916030533,0.1990291262135922,0.11538461538461538
湖北,,,,0.24096385542168677,,0.2411764705882353,0.45967741935483875,0.05479452054794521,0.10416666666666667,
湖南,,0.06666666666666667,,0.008695652173913044,,0.056451612903225805,0.4418604651162791,0.11940298507462686,0.05405405405405406,
廣東,0.21153846153846156,0.12605042016806722,0.2545454545454545,0.06132075471698113,0.09195402298850575,0.18404907975460125,0.13953488372093023,0.023529411764705882,0.10526315789473684,
廣西壯族自治區,1.0,0.0625,,,,0.659090909090909,0.8333333333333333,0.13043478260869565,0.06081081081081081,
海南,,,,0.13793103448275862,,0.23529411764705882,,,0.30769230769230765,1.0
重慶,,,,,,0.07894736842105263,,0.32727272727272727,,
四川,,,,,,,0.030303030303030304,,0.02040816326530612,
貴州,,0.3333333333333333,,,,0.0625,,,0.0879120879120879,
雲南,,,,,,,,,0.09183673469387756,
西藏自治區,,0.0,,,,0.6666666666666666,1.0,,,
陝西,0.21348314606741572,0.10460251046025104,,0.01098901098901099,,0.05426356589147287,0.6190476190476191,0.3009708737864078,0.14649681528662423,
甘肅,,,,,,0.12903225806451613,,0.2857142857142857,0.05454545454545454,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,1.0,,0.0,,,,
臺灣,0.0,,,,,,,,,
