,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.18518518518518517,,,0.05,,,,,
天津,,,,,0.3333333333333333,,,,,
河北,0.05128205128205128,0.1187800963081862,0.30337078651685395,0.004807692307692307,0.05042016806722689,0.13970588235294118,0.06293706293706293,0.07662835249042145,0.17090069284064666,0.19047619047619047
山西,0.1286549707602339,0.11089108910891089,,0.03045685279187817,,0.029850746268656723,0.2,0.40106951871657753,0.32096474953617815,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,1.0
上海,,0.19209039548022597,0.09411764705882353,0.17293233082706766,,0.17204301075268819,0.02857142857142857,,0.4767441860465116,
江蘇,0.11811023622047245,0.08223684210526315,0.05042016806722689,0.19128329297820823,0.21019108280254778,0.08823529411764705,0.25384615384615383,0.053571428571428575,0.10880829015544043,
浙江,0.09615384615384615,0.13854351687388985,0.028846153846153844,0.10714285714285714,0.2114695340501792,0.09999999999999999,0.16666666666666666,0.20512820512820512,0.052795031055900624,0.16071428571428573
安徽,0.01904761904761905,0.09523809523809525,,0.13545816733067728,0.03773584905660377,0.2328767123287671,0.4533333333333333,0.09433962264150944,,
福建,0.14285714285714288,0.02255639097744361,0.05,0.15853658536585363,,0.14545454545454545,,,,
江西,0.12,0.015463917525773196,,0.14705882352941177,0.0534351145038168,0.20202020202020202,0.056451612903225805,0.13475177304964542,0.037037037037037035,
山東,0.03550295857988166,0.026954177897574125,0.05917159763313609,0.09769094138543516,0.15662650602409636,0.11558669001751314,0.16216216216216214,0.26760563380281693,0.20797011207970112,0.3189655172413793
河南,0.036423841059602655,0.1905286343612335,0.11764705882352942,0.12190082644628099,0.22807017543859648,0.028436018957345974,0.05747126436781609,0.11450381679389313,0.18446601941747573,0.01923076923076923
湖北,0.18181818181818182,0.12328767123287672,0.45161290322580644,0.024096385542168676,,0.21764705882352942,0.10483870967741937,0.10958904109589042,0.125,
湖南,0.2549019607843137,0.008333333333333333,0.04,0.017391304347826087,,0.1774193548387097,0.11627906976744187,0.08955223880597014,0.02702702702702703,0.2
廣東,,0.04621848739495798,0.23636363636363636,0.04716981132075472,0.14942528735632185,0.03067484662576687,0.20930232558139536,,0.08270676691729323,
廣西壯族自治區,,0.03125,,0.03333333333333333,,0.045454545454545456,,0.043478260869565216,0.1081081081081081,
海南,,,,,,0.23529411764705882,,,0.15384615384615383,
重慶,,,,,,0.2631578947368421,,0.0909090909090909,,
四川,0.5,,,,,,,0.171875,0.04761904761904762,
貴州,,,,,,,,0.3333333333333333,0.06593406593406594,
雲南,,0.15555555555555556,,,0.11627906976744186,0.1020408163265306,,0.11627906976744186,0.061224489795918366,
西藏自治區,,0.0,,,,,,,,
陝西,0.03370786516853933,0.200836820083682,,0.005494505494505495,,0.0310077519379845,0.04761904761904762,0.2524271844660194,0.15923566878980894,
甘肅,,0.01694915254237288,,,,0.03225806451612903,,,0.07272727272727272,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
