,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.6296296296296297,,,0.4,0.4375,0.25,0.15384615384615385,0.5454545454545454,
天津,0.28571428571428575,0.16666666666666666,,0.45454545454545453,0.16666666666666666,0.41666666666666663,0.5,0.6818181818181818,0.8888888888888888,
河北,0.5923076923076923,0.5361155698234349,0.6404494382022472,0.5504807692307692,0.40336134453781514,0.5569852941176471,0.5034965034965034,0.6858237547892719,0.6143187066974596,0.6666666666666666
山西,0.39766081871345027,0.5504950495049505,0.7878787878787878,0.5076142131979695,0.38613861386138615,0.3880597014925374,0.52,0.6042780748663101,0.7476808905380333,0.6666666666666666
內蒙古自治區,,,,,,,,1.0,0.23076923076923078,
遼寧,,,,0.36363636363636365,,0.4285714285714286,0.16666666666666666,,0.3548387096774193,1.0
吉林,,,,,,,,,0.3333333333333333,0.6666666666666666
黑龍江,,,,,0.75,,,,0.6666666666666666,
上海,0.6666666666666666,0.788135593220339,0.6941176470588235,0.631578947368421,0.5555555555555556,0.8924731182795699,0.9857142857142857,1.0,0.813953488372093,1.0
江蘇,0.5826771653543308,0.5641447368421052,0.6470588235294118,0.6101694915254238,0.4267515923566879,0.8137254901960784,0.5538461538461538,0.6517857142857143,0.6217616580310882,0.9393939393939394
浙江,0.5705128205128205,0.7388987566607459,0.5865384615384616,0.5428571428571428,0.6487455197132617,0.7371428571428571,0.8333333333333334,0.41025641025641024,0.7204968944099379,0.9821428571428572
安徽,0.5714285714285715,0.5816326530612245,0.4210526315789474,0.50199203187251,0.20754716981132074,0.4109589041095891,0.4,0.679245283018868,0.532258064516129,1.0
福建,0.761904761904762,0.631578947368421,0.6500000000000001,0.475609756097561,0.8148148148148148,0.39999999999999997,0.5416666666666667,0.6,0.4024390243902439,0.5
江西,0.5700000000000001,0.5463917525773195,0.2285714285714286,0.4485294117647059,0.6717557251908397,0.47474747474747475,0.6209677419354839,0.5248226950354611,0.3703703703703704,
山東,0.48520710059171596,0.568733153638814,0.6035502958579883,0.4955595026642984,0.5582329317269076,0.6654991243432574,0.5195195195195196,0.5915492957746479,0.7584059775840598,0.8275862068965517
河南,0.6490066225165563,0.5649779735682819,0.5784313725490196,0.5454545454545454,0.6257309941520468,0.4170616113744076,0.22988505747126436,0.564885496183206,0.5339805825242718,0.6538461538461539
湖北,0.5454545454545455,0.30136986301369867,0.3870967741935484,0.5180722891566265,0.46153846153846156,0.4764705882352941,0.6370967741935485,0.5753424657534246,0.22916666666666666,
湖南,0.3529411764705882,0.35,0.12,0.4869565217391304,0.62,0.5483870967741935,0.7209302325581396,0.5671641791044776,0.5675675675675675,0.3
廣東,0.7115384615384616,0.4243697478991596,0.5454545454545454,0.4716981132075472,0.4482758620689656,0.46625766871165647,0.7209302325581395,0.4941176470588235,0.36090225563909767,
廣西壯族自治區,,0.5,,0.33333333333333337,0.6799999999999999,0.28409090909090906,0.5,0.21739130434782608,0.4256756756756757,0.5
海南,0.8,0.6923076923076923,0.30000000000000004,0.20689655172413793,0.16666666666666666,0.4117647058823529,0.21428571428571427,,0.6923076923076923,
重慶,,1.0,,,0.8888888888888888,0.5789473684210527,0.875,0.6545454545454545,0.3617021276595745,
四川,,0.25,,0.34615384615384615,0.35135135135135137,0.48,0.7575757575757576,0.5312500000000001,0.6530612244897959,0.2
貴州,,,,0.2608695652173913,0.3571428571428572,0.25,0.6666666666666666,0.6666666666666666,0.5164835164835164,
雲南,0.5714285714285714,0.6222222222222222,0.3333333333333333,0.40909090909090906,0.5581395348837209,0.5714285714285714,0.45454545454545453,0.6046511627906977,0.5,
西藏自治區,,0.0,,,,,,,,
陝西,0.7303370786516854,0.5648535564853556,0.4,0.41758241758241765,0.3333333333333333,0.5426356589147288,0.5238095238095238,0.5145631067961165,0.5,
甘肅,0.5217391304347826,0.22033898305084745,0.2,0.3111111111111111,0.8378378378378378,0.3548387096774194,,0.5238095238095238,0.45454545454545453,0.7499999999999999
青海,,,0.0,,,,,1.0,0.3333333333333333,
寧夏回族自治區,,,,0.25,,,,,0.5,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.39999999999999997,0.25,0.7777777777777778,,,0.8,
