,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.11111111111111112,,,,,,,,
天津,0.2142857142857143,0.11111111111111112,,0.18181818181818182,,,0.15,,,
河北,0.2846153846153846,0.06741573033707865,0.022471910112359553,0.07932692307692307,0.14285714285714288,0.17830882352941177,0.1958041958041958,0.1111111111111111,0.12933025404157045,0.5714285714285714
山西,0.04678362573099415,0.15445544554455448,0.30303030303030304,0.03045685279187817,0.20792079207920794,0.029850746268656723,0.10666666666666667,0.1283422459893048,0.29313543599257885,
內蒙古自治區,,,,,,,,,0.38461538461538464,
遼寧,,,,,,,,,0.0967741935483871,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.023809523809523808,0.2598870056497175,0.45882352941176474,0.15037593984962405,0.08333333333333333,0.21505376344086022,0.5142857142857143,,0.4883720930232558,
江蘇,0.2362204724409449,0.19901315789473684,0.10084033613445378,0.1646489104116223,0.10828025477707007,0.17320261437908496,0.3769230769230769,0.14285714285714285,0.2694300518134715,0.1212121212121212
浙江,0.10256410256410256,0.2753108348134991,0.03846153846153846,0.09642857142857143,0.1971326164874552,0.23142857142857143,0.31481481481481477,0.07692307692307693,0.2453416149068323,
安徽,0.12380952380952383,0.18707482993197277,0.052631578947368425,0.10358565737051792,0.16981132075471697,0.1095890410958904,0.06666666666666667,0.22641509433962265,0.0967741935483871,
福建,,,0.2,,,0.2181818181818182,,,0.12195121951219512,0.125
江西,0.019999999999999997,0.15979381443298968,0.028571428571428574,0.03676470588235294,0.11450381679389314,0.10101010101010101,0.1693548387096774,0.3262411347517731,,
山東,0.02958579881656805,0.18867924528301888,0.1893491124260355,0.10834813499111899,0.21686746987951805,0.159369527145359,0.1981981981981982,0.2910798122065728,0.18181818181818182,0.5948275862068965
河南,0.06622516556291391,0.13986784140969163,0.00980392156862745,0.06611570247933884,0.09356725146198831,0.1042654028436019,0.14942528735632185,0.1984732824427481,0.10679611650485436,0.15384615384615383
湖北,0.09090909090909091,0.013698630136986302,,0.012048192771084338,0.12820512820512822,0.12352941176470589,0.1370967741935484,0.1780821917808219,0.25,
湖南,0.2352941176470588,0.05833333333333334,,0.043478260869565216,,0.16129032258064516,0.06976744186046512,0.1044776119402985,0.05405405405405406,
廣東,,0.029411764705882353,0.03636363636363636,0.06132075471698113,0.11494252873563218,0.2883435582822086,0.06976744186046512,0.30588235294117644,0.24060150375939848,
廣西壯族自治區,,0.28125,0.2,0.06666666666666667,,0.125,,0.043478260869565216,0.1554054054054054,0.2
海南,,,,,,,,,,
重慶,,,,,,,,0.32727272727272727,0.0425531914893617,
四川,,,,0.23076923076923075,0.08108108108108109,0.08,0.06060606060606061,0.03125,0.22448979591836735,
貴州,,,,,0.07142857142857144,,,,0.03296703296703297,
雲南,,0.08888888888888888,0.1111111111111111,0.11363636363636363,0.25581395348837205,0.04081632653061224,0.2727272727272727,0.046511627906976744,0.04081632653061224,
西藏自治區,,0.0,,,,,,,,
陝西,0.24719101123595508,0.1087866108786611,,0.016483516483516484,0.04,0.13953488372093023,,0.27184466019417475,0.07961783439490447,
甘肅,0.47826086956521735,0.03389830508474576,,0.05555555555555555,0.35135135135135137,0.09677419354838711,,,0.18181818181818182,
青海,,,0.0,,,,,,0.3333333333333333,
寧夏回族自治區,,,,,,,,,0.3,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.25,,,,0.4,
