,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,0.125,,0.1818181818181818,
天津,,0.11111111111111112,,,,,0.5,,0.8888888888888888,
河北,0.1205128205128205,0.07704654895666131,,0.004807692307692307,0.046218487394957986,0.04779411764705882,0.13636363636363638,0.13409961685823754,0.06928406466512702,
山西,0.07017543859649122,0.009900990099009901,0.24242424242424243,0.07614213197969542,,,0.21333333333333335,0.0160427807486631,0.01855287569573284,
內蒙古自治區,,,,,,,,,0.5384615384615385,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.2619047619047619,0.24293785310734461,,0.09774436090225563,,0.043010752688172046,0.1285714285714286,0.75,0.36627906976744184,
江蘇,0.15748031496062995,0.17763157894736842,0.226890756302521,0.12106537530266344,0.14649681528662423,0.261437908496732,0.18461538461538463,0.3392857142857143,0.08290155440414508,0.4242424242424242
浙江,0.1987179487179487,0.34635879218472465,,0.08214285714285714,0.1971326164874552,0.21142857142857144,0.05555555555555555,0.14102564102564102,0.13354037267080746,0.08928571428571429
安徽,0.20952380952380956,0.11564625850340136,0.052631578947368425,0.00796812749003984,0.03773584905660377,0.08219178082191782,0.14666666666666667,0.09433962264150944,0.17741935483870966,
福建,0.23809523809523808,0.12781954887218044,0.05,0.23170731707317074,0.11111111111111112,0.0909090909090909,,,0.18292682926829268,
江西,0.15999999999999998,0.07216494845360825,0.08571428571428572,0.029411764705882353,0.24427480916030536,0.06565656565656566,0.2661290322580645,0.3404255319148936,0.07407407407407407,0.8333333333333334
山東,0.15384615384615385,0.05256064690026954,,0.09769094138543516,0.01606425702811245,0.21366024518388793,0.20420420420420418,0.22535211267605637,0.1382316313823163,0.3706896551724138
河南,0.17880794701986755,0.10352422907488987,0.0392156862745098,0.05165289256198347,0.029239766081871347,0.018957345971563982,0.034482758620689655,0.183206106870229,0.07119741100323623,0.09615384615384615
湖北,,0.013698630136986302,,0.08433734939759036,,0.21176470588235294,0.11290322580645162,0.0410958904109589,0.22916666666666666,
湖南,0.1372549019607843,0.025,,,0.02,0.03225806451612904,0.046511627906976744,0.13432835820895522,,0.2
廣東,0.3653846153846154,0.08403361344537814,0.09090909090909091,0.05188679245283019,0.08045977011494253,0.16564417177914112,,0.16470588235294117,0.11278195488721804,
廣西壯族自治區,,,,0.03333333333333333,,,,,0.027027027027027025,
海南,0.3,,,0.06896551724137931,,,,,0.23076923076923075,
重慶,,,,,0.1111111111111111,0.10526315789473684,,0.16363636363636364,0.10638297872340426,
四川,,0.049999999999999996,,0.07692307692307691,,0.08,0.21212121212121213,0.20312500000000003,0.06122448979591837,0.1
貴州,,,,,0.14285714285714288,0.37500000000000006,0.3333333333333333,,0.20879120879120877,
雲南,,0.1111111111111111,,0.04545454545454545,0.09302325581395349,,0.0909090909090909,0.06976744186046512,0.030612244897959183,
西藏自治區,,0.0,,,,,,,,
陝西,0.06741573033707866,0.07531380753138076,,,,,0.04761904761904762,0.08737864077669903,0.01910828025477707,
甘肅,0.08695652173913045,0.01694915254237288,,,0.13513513513513514,,,,0.01818181818181818,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,0.09999999999999999,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.13333333333333333,,,,,,
