,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,0.22222222222222224,,,0.05,0.3125,,0.3076923076923077,0.1818181818181818,
天津,0.28571428571428575,0.22222222222222224,,0.09090909090909091,,,0.35,0.5,,
河北,0.5205128205128204,0.4526484751203852,0.3258426966292135,0.3557692307692307,0.37815126050420167,0.3860294117647059,0.506993006993007,0.33716475095785436,0.2540415704387991,0.19047619047619047
山西,0.3508771929824562,0.38019801980198026,0.21212121212121213,0.25888324873096447,0.5247524752475248,0.4875621890547264,0.45333333333333337,0.4652406417112299,0.7421150278293135,
內蒙古自治區,,,,,,,,,0.3076923076923077,
遼寧,,0.625,,0.5454545454545455,,,0.3333333333333333,1.0,0.12903225806451613,1.0
吉林,,,,,,,,,,
黑龍江,,,,0.19999999999999998,0.75,0.39999999999999997,,,,
上海,0.75,0.6271186440677966,0.39999999999999997,0.6090225563909775,0.2222222222222222,0.6236559139784946,0.6428571428571429,,0.7441860465116279,0.6190476190476191
江蘇,0.38582677165354334,0.41776315789473684,0.453781512605042,0.5036319612590799,0.375796178343949,0.5326797385620915,0.43076923076923074,0.4910714285714286,0.24870466321243526,0.09090909090909091
浙江,0.3974358974358974,0.5488454706927176,0.5865384615384616,0.4392857142857142,0.4014336917562724,0.4714285714285714,0.4444444444444444,0.2692307692307692,0.4037267080745342,0.5178571428571428
安徽,0.37142857142857144,0.26530612244897955,0.6315789473684211,0.43426294820717126,0.2641509433962264,0.32876712328767127,0.28,0.43396226415094336,0.06451612903225806,
福建,0.28571428571428575,0.2857142857142857,0.15000000000000002,0.14634146341463414,0.2962962962962963,0.32727272727272727,0.5416666666666667,0.19999999999999998,0.36585365853658536,0.5
江西,0.41,0.3969072164948454,0.37142857142857144,0.4117647058823529,0.20610687022900764,0.393939393939394,0.36290322580645157,0.3191489361702128,0.14814814814814814,
山東,0.4082840236686391,0.2722371967654986,0.40236686390532544,0.2895204262877442,0.21285140562248994,0.3555166374781086,0.3153153153153153,0.11267605633802819,0.37359900373599003,0.3103448275862069
河南,0.4470198675496689,0.3524229074889868,0.4607843137254902,0.47107438016528924,0.16374269005847955,0.36492890995260663,0.32183908045977017,0.022900763358778626,0.2669902912621359,
湖北,0.24242424242424243,0.12328767123287672,0.3548387096774194,0.27710843373493976,0.20512820512820515,0.38823529411764707,0.10483870967741937,0.1232876712328767,0.08333333333333333,
湖南,0.4705882352941176,0.16666666666666669,0.2,0.3217391304347826,0.34,0.38709677419354843,0.20930232558139536,0.3880597014925373,0.13513513513513514,0.6
廣東,0.42307692307692313,0.19327731092436976,0.19999999999999998,0.25,0.19540229885057475,0.26993865030674846,0.13953488372093023,0.32941176470588235,0.3082706766917293,
廣西壯族自治區,,0.28125,,0.30000000000000004,0.28,0.25,0.43333333333333335,0.13043478260869565,0.32432432432432434,0.3
海南,0.4,0.12820512820512822,,0.2413793103448276,0.16666666666666666,0.058823529411764705,,,0.23076923076923075,
重慶,,,,0.5384615384615384,,0.23684210526315788,0.625,0.3454545454545454,0.1702127659574468,
四川,,0.35,,0.30769230769230765,0.2972972972972973,0.48,0.2727272727272727,0.42187500000000006,0.4013605442176871,0.2
貴州,,,,,0.14285714285714288,0.0625,,0.3333333333333333,0.36263736263736257,
雲南,,0.4444444444444444,0.1111111111111111,0.11363636363636363,0.09302325581395349,0.04081632653061224,0.1818181818181818,0.3953488372093023,0.24489795918367346,
西藏自治區,,0.0,,,,0.6666666666666666,0.5,1.0,,
陝西,0.40449438202247195,0.33891213389121344,0.3,0.41208791208791207,0.24,0.33333333333333337,0.14285714285714285,0.3009708737864078,0.5063694267515924,0.5714285714285714
甘肅,0.04347826086956522,0.15254237288135591,0.2,0.39999999999999997,0.21621621621621623,0.03225806451612903,,0.3333333333333333,0.18181818181818182,0.25
青海,,,0.0,,,,,,,
寧夏回族自治區,1.0,,,0.5,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.5333333333333333,,0.3333333333333333,,,0.12000000000000001,
