,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.37037037037037035,,,0.15,0.0625,,,0.1818181818181818,
天津,,0.05555555555555556,,0.09090909090909091,,,,,0.3333333333333333,
河北,0.2358974358974359,0.34028892455858745,0.21348314606741572,0.23798076923076925,0.22689075630252098,0.2977941176470588,0.27272727272727276,0.17241379310344826,0.24018475750577367,0.5238095238095238
山西,0.21637426900584797,0.13267326732673268,0.3939393939393939,0.09137055837563451,0.15841584158415842,0.11940298507462689,0.22666666666666668,0.2620320855614973,0.32096474953617815,
內蒙古自治區,,,,,,,,,0.5384615384615385,
遼寧,,,,0.18181818181818182,,0.14285714285714288,0.6666666666666666,,0.03225806451612903,
吉林,,,,,,,,,,0.3333333333333333
黑龍江,,,,,,,,,,
上海,0.47619047619047616,0.6186440677966101,0.7411764705882353,0.39849624060150374,0.05555555555555555,0.7419354838709676,0.27142857142857146,,0.6511627906976744,1.0
江蘇,0.15748031496062995,0.22039473684210525,0.5378151260504201,0.4092009685230025,0.12101910828025479,0.3856209150326797,0.2846153846153846,0.3392857142857143,0.3730569948186529,0.7878787878787878
浙江,0.39102564102564097,0.4067495559502664,0.40384615384615385,0.36428571428571427,0.3118279569892473,0.42857142857142855,0.6296296296296295,0.23076923076923078,0.37267080745341613,0.8392857142857143
安徽,0.23809523809523808,0.0782312925170068,0.23684210526315794,0.099601593625498,0.03773584905660377,0.16438356164383564,0.13333333333333333,0.5471698113207547,0.04838709677419355,0.6666666666666666
福建,0.23809523809523808,0.3157894736842105,,0.31707317073170727,0.6296296296296297,0.1090909090909091,0.25,,0.25609756097560976,0.125
江西,0.13,0.041237113402061855,,0.022058823529411766,0.03816793893129771,0.13636363636363635,0.07258064516129033,0.29787234042553196,,0.5
山東,0.21893491124260359,0.2169811320754717,0.28994082840236685,0.23801065719360565,0.22489959839357426,0.3309982486865149,0.29429429429429427,0.3943661971830986,0.37359900373599003,0.5689655172413793
河南,0.20198675496688742,0.20925110132158592,0.0392156862745098,0.18801652892561985,0.22222222222222224,0.16587677725118483,,0.19083969465648853,0.3883495145631068,0.30769230769230765
湖北,0.36363636363636365,0.0821917808219178,0.1935483870967742,0.20481927710843376,0.025641025641025644,0.22941176470588237,0.10483870967741937,0.2602739726027397,0.125,
湖南,0.0588235294117647,0.03333333333333333,0.28,0.08695652173913043,0.12,0.04032258064516129,0.13953488372093023,0.34328358208955223,0.10810810810810811,0.7
廣東,0.40384615384615385,0.12605042016806722,0.16363636363636364,0.14150943396226415,0.1724137931034483,0.37423312883435583,0.47674418604651164,0.4823529411764706,0.2556390977443609,
廣西壯族自治區,,0.5,,0.09999999999999999,,0.19318181818181815,0.03333333333333333,0.13043478260869565,0.23648648648648649,0.3
海南,0.3,0.25641025641025644,,0.034482758620689655,0.5,0.23529411764705882,0.5,0.5,,
重慶,,0.5,,0.23076923076923075,0.2222222222222222,0.2631578947368421,,0.2909090909090909,0.0851063829787234,
四川,,0.09999999999999999,,0.3846153846153846,0.2702702702702703,0.08,0.09090909090909091,0.20312500000000003,0.14285714285714285,0.6
貴州,,,,,0.2142857142857143,0.125,0.6666666666666666,0.3333333333333333,0.12087912087912088,
雲南,,0.2,,0.0909090909090909,0.18604651162790697,0.08163265306122448,,0.09302325581395349,0.15306122448979592,
西藏自治區,,0.0,,,,,,,,
陝西,0.13483146067415733,0.18828451882845187,,0.16483516483516486,,0.07751937984496124,0.2857142857142857,0.18446601941747573,0.29617834394904463,
甘肅,0.1739130434782609,,,0.022222222222222223,0.24324324324324326,0.09677419354838711,,0.14285714285714285,0.16363636363636364,
青海,,,0.0,,,,,,0.3333333333333333,
寧夏回族自治區,,,,0.25,,,,,0.3,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.7999999999999999,0.75,0.8888888888888888,1.0,,0.52,
