,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.39999999999999997,,,,0.5714285714285715,,0.7142857142857143,0.5,
天津,0.5454545454545454,0.2608695652173913,0.19999999999999998,0.03333333333333333,0.047619047619047616,0.3103448275862069,1.0,1.0,,
河北,0.6573426573426573,0.5048678720445062,0.6455026455026456,0.44701348747591524,0.5523809523809523,0.5870841487279843,0.5663082437275985,0.6115702479338843,0.49500000000000005,0.2222222222222222
山西,0.40909090909090906,0.5363636363636363,0.11627906976744184,0.4326923076923077,0.5617977528089888,0.6054421768707483,0.2903225806451613,0.6470588235294118,0.7819905213270142,
內蒙古自治區,,,,,,,,0.33333333333333337,0.33333333333333337,
遼寧,,0.3333333333333333,,0.27272727272727276,,,,,0.18604651162790697,0.46153846153846156
吉林,,,,0.14285714285714285,0.11111111111111112,,,,,
黑龍江,,,,0.16666666666666666,0.14285714285714285,0.0625,,,0.31578947368421056,
上海,0.12903225806451613,0.7333333333333333,0.7594936708860759,0.8333333333333334,0.65625,0.3829787234042553,0.9285714285714285,,0.6666666666666666,0.5
江蘇,0.330188679245283,0.4195979899497488,0.3791208791208791,0.34635416666666663,0.3364928909952607,0.4228571428571428,0.5,0.5208333333333334,0.2262295081967213,0.46153846153846156
浙江,0.3974358974358974,0.512141280353201,0.5520833333333333,0.47653429602888087,0.6274509803921569,0.532051282051282,0.703125,0.2931034482758621,0.4979591836734693,0.6176470588235294
安徽,0.16129032258064516,0.34736842105263155,0.10975609756097561,0.27695167286245354,0.1168831168831169,0.13333333333333333,0.25806451612903225,0.049999999999999996,0.30303030303030304,
福建,,0.1839080459770115,0.125,0.1322314049586777,0.14285714285714285,0.2765957446808511,0.09090909090909091,,0.28571428571428575,0.7272727272727273
江西,0.22535211267605632,0.20949720670391062,0.3333333333333333,0.17712177121771217,0.427536231884058,0.353125,0.5319148936170214,0.3971631205673759,0.08333333333333334,
山東,0.6027397260273972,0.48596938775510207,0.49732620320855614,0.4225806451612903,0.4782608695652174,0.5913043478260869,0.6594827586206896,0.8095238095238095,0.5740740740740741,0.16666666666666666
河南,0.6517857142857143,0.6602451838879159,0.5222222222222223,0.5849056603773585,0.5581395348837209,0.5535714285714285,0.37735849056603776,0.41666666666666663,0.6621004566210046,0.875
湖北,0.15217391304347827,0.10526315789473685,0.46153846153846156,0.18497109826589597,0.19047619047619047,0.16901408450704225,0.574468085106383,0.13043478260869565,0.24137931034482757,
湖南,0.2962962962962963,0.15428571428571428,0.27586206896551724,0.3076923076923077,0.07246376811594203,0.2434782608695652,0.2173913043478261,0.2676056338028169,0.2962962962962963,0.6666666666666667
廣東,0.047619047619047616,0.11728395061728394,0.2911392405063291,0.21576763485477177,0.0606060606060606,0.5098039215686274,0.4393939393939394,,0.3855421686746988,
廣西壯族自治區,,0.125,,0.09375,,0.6052631578947368,0.72,,0.28205128205128205,
海南,,0.07692307692307693,,0.16666666666666666,0.16666666666666666,1.0,,,0.3333333333333333,
重慶,,,,0.13636363636363635,0.03125,0.1111111111111111,0.19999999999999998,0.14285714285714288,0.15555555555555553,
四川,,,,0.0909090909090909,0.24390243902439024,0.14285714285714288,0.25,0.12962962962962962,0.3227848101265823,0.5
貴州,,,,0.15384615384615385,0.6666666666666666,0.13333333333333333,,,0.39285714285714285,
雲南,0.5,0.6428571428571428,,,0.31818181818181823,,,0.4444444444444445,0.28125,
西藏自治區,,0.0,,,,0.07407407407407408,0.14285714285714285,,0.14285714285714285,
陝西,0.38709677419354843,0.5277777777777778,0.21052631578947367,0.5579399141630901,0.4878048780487805,0.4057971014492754,0.27777777777777773,0.606060606060606,0.6654275092936803,0.25
甘肅,,0.23684210526315785,0.2,0.2857142857142857,,0.41935483870967744,,0.2857142857142857,0.6296296296296297,
青海,,,0.0,0.3333333333333333,,,,,,
寧夏回族自治區,,,,,,,,,0.5,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.33333333333333337,0.1,0.5,0.2,,,
