,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,0.43999999999999995,,0.42857142857142855,0.5,0.33333333333333337,0.2,0.07142857142857142,0.1111111111111111,
天津,,0.2608695652173913,,0.15,0.09523809523809523,0.13793103448275862,0.8461538461538461,,0.2941176470588236,
河北,0.21328671328671328,0.5771905424200279,0.4497354497354497,0.4797687861271676,0.41428571428571426,0.4148727984344423,0.47311827956989244,0.49173553719008267,0.4625,
山西,0.25,0.6848484848484848,0.3953488372093023,0.5528846153846154,0.6179775280898877,0.4557823129251701,0.4838709677419355,0.45098039215686275,0.8080568720379147,
內蒙古自治區,,0.25,,0.1111111111111111,,,,,0.22222222222222224,
遼寧,,0.2222222222222222,,0.22727272727272727,,0.1111111111111111,0.5,0.25,0.11627906976744186,
吉林,,,,,,,,,0.09090909090909091,0.14285714285714285
黑龍江,,,,0.16666666666666666,0.2857142857142857,0.1875,,0.5,0.052631578947368425,
上海,0.12903225806451613,0.6733333333333333,0.4683544303797468,0.3833333333333333,0.4375,0.13829787234042554,0.3214285714285714,,0.0975609756097561,
江蘇,0.4811320754716981,0.4396984924623115,0.4065934065934066,0.42057291666666663,0.5497630331753555,0.1676190476190476,0.7674418604651163,0.53125,0.4852459016393442,0.24615384615384617
浙江,0.6794871794871794,0.6710816777041942,0.5104166666666666,0.5703971119133574,0.5098039215686274,0.5352564102564102,0.5625,0.5344827586206897,0.32653061224489793,0.3235294117647059
安徽,0.5,0.6894736842105262,0.3048780487804878,0.3866171003717472,0.5844155844155845,0.36666666666666664,0.7741935483870968,0.15,0.2878787878787879,
福建,0.2222222222222222,0.5172413793103449,0.41666666666666663,0.38016528925619836,,0.10638297872340426,0.09090909090909091,,0.35714285714285715,0.2727272727272727
江西,0.5915492957746479,0.6955307262569832,0.2,0.21033210332103322,0.6376811594202899,0.35937500000000006,0.12765957446808512,0.3829787234042553,0.5833333333333334,
山東,0.27397260273972607,0.5344387755102041,0.31016042780748665,0.317741935483871,0.3975155279503106,0.46956521739130425,0.4267241379310345,0.5714285714285714,0.5264550264550264,
河南,0.4285714285714286,0.626970227670753,0.34444444444444444,0.3867924528301887,0.6124031007751938,0.42857142857142855,0.20754716981132076,0.08333333333333333,0.5296803652968037,0.125
湖北,0.5217391304347826,0.6578947368421052,0.19230769230769232,0.5375722543352601,0.8571428571428571,0.2723004694835681,0.46808510638297873,0.30434782608695654,0.48275862068965514,
湖南,0.5555555555555556,0.6285714285714284,0.2413793103448276,0.43846153846153846,0.4492753623188406,0.26956521739130435,0.14492753623188406,0.04225352112676056,0.4444444444444444,
廣東,0.38095238095238093,0.21604938271604937,0.22784810126582278,0.4232365145228216,0.4242424242424242,0.37254901960784315,0.2878787878787879,,0.43373493975903615,0.6
廣西壯族自治區,0.4285714285714286,0.125,,0.375,0.75,0.10526315789473685,0.48000000000000004,0.2222222222222222,0.4487179487179487,
海南,,0.15384615384615385,,0.8333333333333333,,1.0,0.14285714285714285,,0.3333333333333333,
重慶,,1.0,0.8,0.5454545454545454,0.8437500000000001,0.25,,0.2142857142857143,0.3333333333333333,
四川,,0.11111111111111109,0.2,0.2727272727272727,0.5609756097560975,0.4107142857142857,0.16666666666666666,0.611111111111111,0.5063291139240507,
貴州,1.0,,,0.46153846153846156,,0.13333333333333333,,,0.17857142857142855,
雲南,,0.21428571428571427,,,0.4090909090909091,,0.3333333333333333,,0.15625,1.0
西藏自治區,,0.0,,,,,,,,
陝西,0.4838709677419355,0.7500000000000001,0.6842105263157894,0.4978540772532189,0.5975609756097561,0.572463768115942,0.22222222222222224,0.6666666666666666,0.7472118959107807,
甘肅,,0.6578947368421052,,0.6153846153846154,0.5,0.41935483870967744,,0.2857142857142857,0.3703703703703704,1.0
青海,,,0.0,0.3333333333333333,,,,,0.375,
寧夏回族自治區,,,,0.25,,0.16666666666666666,,,0.16666666666666666,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.28,,0.5641025641025641,,,0.2,,,
