,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.5199999999999999,,,,0.4761904761904762,,0.07142857142857142,0.1111111111111111,
天津,0.2727272727272727,0.1956521739130435,,0.25,0.14285714285714285,0.27586206896551724,,,0.23529411764705885,
河北,0.583916083916084,0.44089012517385257,0.30687830687830686,0.36416184971098264,0.5285714285714285,0.3307240704500979,0.3333333333333333,0.5,0.51,0.2222222222222222
山西,0.40909090909090906,0.6848484848484848,0.2325581395348837,0.44711538461538464,0.8314606741573034,0.5850340136054422,0.5483870967741936,0.45098039215686275,0.7511848341232227,
內蒙古自治區,,0.75,,0.1111111111111111,,,,,0.11111111111111112,
遼寧,,0.5555555555555555,,0.27272727272727276,0.09090909090909091,0.14814814814814814,,0.5,0.46511627906976744,0.3076923076923077
吉林,,,1.0,,,0.058823529411764705,,,0.5454545454545455,0.42857142857142855
黑龍江,,,,,0.14285714285714285,0.03125,,,,0.25
上海,0.41935483870967744,0.3466666666666666,0.8860759493670886,0.65,0.4375,0.6808510638297872,0.6785714285714285,,0.13821138211382114,
江蘇,0.6226415094339622,0.4673366834170854,0.510989010989011,0.42057291666666663,0.2938388625592417,0.4171428571428571,0.372093023255814,0.20833333333333331,0.17377049180327866,0.5384615384615385
浙江,0.7692307692307692,0.41280353200882997,0.3541666666666667,0.30324909747292417,0.39215686274509803,0.6634615384615385,0.75,0.15517241379310348,0.42040816326530606,0.2647058823529412
安徽,0.3709677419354839,0.4026315789473684,0.13414634146341464,0.4182156133828996,0.4155844155844156,0.36666666666666664,0.3870967741935484,0.25,0.15151515151515152,0.5
福建,0.7037037037037037,0.47126436781609193,0.5208333333333333,0.4049586776859504,0.4285714285714286,0.7021276595744681,0.36363636363636365,0.625,0.5,0.2727272727272727
江西,0.323943661971831,0.4553072625698324,0.3555555555555556,0.3800738007380074,0.3550724637681159,0.4,0.13829787234042556,0.3262411347517731,0.25,
山東,0.17808219178082194,0.5956632653061226,0.5080213903743315,0.5064516129032258,0.4347826086956522,0.3594202898550724,0.27586206896551724,0.19047619047619047,0.5317460317460317,
河南,0.25892857142857145,0.5831873905429071,0.38888888888888895,0.44103773584905664,0.689922480620155,0.4821428571428571,0.339622641509434,0.16666666666666666,0.6666666666666667,0.625
湖北,0.5217391304347826,0.30526315789473685,0.15384615384615385,0.2774566473988439,0.23809523809523808,0.539906103286385,0.6170212765957447,0.2608695652173913,0.24137931034482757,
湖南,0.6666666666666666,0.3028571428571428,0.6896551724137931,0.33076923076923076,0.43478260869565216,0.5913043478260869,0.14492753623188406,0.5492957746478873,0.3703703703703704,0.6666666666666667
廣東,0.8571428571428571,0.6728395061728395,0.7088607594936709,0.5643153526970954,0.7575757575757576,0.46078431372549017,0.5,,0.49397590361445787,0.19999999999999998
廣西壯族自治區,0.5714285714285715,0.575,0.25,0.625,0.5,0.13157894736842105,0.52,0.5555555555555555,0.5384615384615384,
海南,0.8888888888888888,0.6923076923076923,,0.5833333333333333,,1.0,0.7142857142857142,,0.3333333333333333,
重慶,,,0.6,0.5,0.625,0.5277777777777778,1.0,0.6428571428571429,0.3333333333333333,
四川,,0.6666666666666666,0.2,0.28787878787878785,0.5853658536585366,0.8035714285714286,0.5,0.5740740740740741,0.5569620253164558,0.08333333333333334
貴州,1.0,0.6666666666666666,,0.46153846153846156,0.3333333333333333,0.6,,,0.25,
雲南,1.0,0.42857142857142855,,0.07692307692307693,0.5909090909090909,0.7999999999999999,1.0,0.6666666666666666,0.09375,
西藏自治區,,0.0,,,,0.07407407407407408,,,,
陝西,0.09677419354838711,0.8055555555555556,0.5789473684210527,0.48068669527896996,0.39024390243902435,0.4855072463768116,,0.2727272727272727,0.7806691449814126,
甘肅,,0.5789473684210525,,0.15384615384615385,0.5,0.19354838709677422,,0.7142857142857143,0.4444444444444444,
青海,,,0.0,,,,,,0.375,
寧夏回族自治區,,,,0.1875,,,,,0.16666666666666666,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.52,,0.07692307692307693,0.4,0.3333333333333333,0.2,,0.5,
