,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.04,0.19999999999999998,0.5714285714285714,,0.7142857142857143,1.0,0.9285714285714286,0.8888888888888888,
天津,1.0,0.6521739130434783,0.8666666666666666,0.6333333333333333,0.5238095238095238,0.8620689655172413,0.15384615384615383,1.0,0.17647058823529413,
河北,0.8041958041958042,0.5299026425591099,0.5873015873015872,0.5240847784200385,0.4666666666666667,0.6223091976516634,0.6487455197132617,0.652892561983471,0.47750000000000004,0.5555555555555556
山西,0.22727272727272727,0.05454545454545454,0.11627906976744184,0.2019230769230769,0.21348314606741572,0.163265306122449,0.4516129032258065,0.19607843137254902,0.0924170616113744,
內蒙古自治區,,,,0.3333333333333333,,0.5,,0.33333333333333337,,
遼寧,,,,0.5909090909090909,0.8181818181818182,0.6296296296296295,0.5,0.75,0.627906976744186,0.9230769230769231
吉林,,1.0,,0.5714285714285714,,0.11764705882352941,,,0.27272727272727276,1.0
黑龍江,,,,0.37500000000000006,0.14285714285714285,0.40625,,,0.5789473684210527,0.5
上海,0.6129032258064516,0.5199999999999999,0.6962025316455696,0.33333333333333337,0.46875,0.574468085106383,,0.6470588235294118,0.3252032520325203,
江蘇,0.6320754716981132,0.6771356783919598,0.7197802197802197,0.5846354166666666,0.4834123222748815,0.878095238095238,0.3604651162790698,0.6354166666666666,0.6,0.9230769230769231
浙江,0.2564102564102564,0.5717439293598234,0.53125,0.5270758122743682,0.5294117647058824,0.6346153846153846,0.5625,0.5,0.6489795918367346,0.588235294117647
安徽,0.4838709677419355,0.4184210526315789,0.8536585365853657,0.6059479553903345,0.4935064935064935,0.8333333333333333,0.25806451612903225,0.35,0.48484848484848486,1.0
福建,0.25925925925925924,0.43678160919540227,0.4791666666666667,0.49586776859504134,0.4285714285714286,0.5106382978723405,0.6363636363636364,0.625,0.7142857142857143,0.9090909090909092
江西,0.3943661971830986,0.3910614525139665,0.6,0.6014760147601476,0.25362318840579706,0.75625,0.6489361702127661,0.7446808510638298,1.0,
山東,0.6712328767123288,0.34183673469387754,0.6042780748663101,0.5774193548387097,0.3850931677018633,0.5826086956521738,0.49137931034482757,0.5952380952380952,0.5132275132275133,0.16666666666666666
河南,0.6428571428571428,0.38879159369527144,0.6888888888888889,0.5023584905660378,0.25581395348837205,0.40178571428571425,0.6415094339622641,0.6666666666666666,0.32876712328767127,
湖北,0.3695652173913043,0.39473684210526316,0.8846153846153846,0.5028901734104047,0.23809523809523808,0.676056338028169,0.425531914893617,0.6521739130434783,0.689655172413793,
湖南,0.2222222222222222,0.3028571428571428,0.7586206896551724,0.46153846153846156,0.49275362318840576,0.6695652173913043,0.3188405797101449,0.5492957746478873,0.3333333333333333,0.33333333333333337
廣東,0.07142857142857142,0.48148148148148145,0.7594936708860759,0.43153526970954353,0.4242424242424242,0.676470588235294,0.22727272727272724,1.0,0.7710843373493976,0.19999999999999998
廣西壯族自治區,0.14285714285714288,0.4,1.0,0.09375,0.25,0.39473684210526316,0.08,0.3333333333333333,0.38461538461538464,
海南,0.1111111111111111,0.07692307692307693,,0.08333333333333333,0.08333333333333333,,0.14285714285714285,,,
重慶,,,0.7000000000000001,0.09090909090909091,0.25,0.4444444444444444,0.6,0.32142857142857145,0.4,
四川,,0.11111111111111109,0.7333333333333333,0.5606060606060606,0.07317073170731707,0.16071428571428573,0.4166666666666667,0.6666666666666666,0.3417721518987342,0.33333333333333337
貴州,,0.3333333333333333,1.0,0.07692307692307693,0.6666666666666666,0.26666666666666666,,,0.3214285714285714,
雲南,,0.7142857142857142,,0.5384615384615384,0.36363636363636365,0.19999999999999998,,,0.625,
西藏自治區,,0.0,,,0.3333333333333333,0.29629629629629634,0.14285714285714285,0.33333333333333337,0.21428571428571427,
陝西,0.4838709677419355,0.06944444444444445,,0.1502145922746781,0.2926829268292683,0.3115942028985508,0.5555555555555555,0.2727272727272727,0.21561338289962828,0.5
甘肅,0.2,0.10526315789473684,0.2,0.27472527472527475,,0.3548387096774194,,,0.25925925925925924,
青海,,,0.0,0.6666666666666666,,,,,0.875,
寧夏回族自治區,,,,0.375,0.7999999999999999,0.5,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.08,,0.15384615384615385,0.3,0.5,,,0.5,
