,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.023121387283236993,,,,,,
山西,,,,,,,,,0.04028436018957346,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,0.010989010989010988,,,,,,,
浙江,0.14102564102564102,0.013245033112582781,,,,0.019230769230769232,,,0.05306122448979591,0.47058823529411764
安徽,,,,,,0.02,,,,
福建,,,,0.024793388429752067,,,,,,
江西,,,,,,0.0125,,,,
山東,,0.011479591836734694,,,,,,,,
河南,,0.08931698774080561,,,0.46511627906976744,0.026785714285714284,,,,
湖北,0.043478260869565216,,,,,,,,,
湖南,,,,0.05384615384615385,0.05797101449275362,0.017391304347826087,,,,
廣東,,,,,,,,,0.04819277108433735,
廣西壯族自治區,,,,,,,,,0.14102564102564102,
海南,,,,,,,,,,
重慶,,,,,,,,,0.06666666666666667,
四川,,,,,,,,,0.0379746835443038,
貴州,,,,,,,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.027777777777777776,,0.017167381974248927,,,,,0.003717472118959108,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
