,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.04,,0.07142857142857142,,0.09523809523809525,1.0,,0.1111111111111111,
天津,,0.1956521739130435,,0.08333333333333333,0.047619047619047616,0.034482758620689655,0.6923076923076923,,0.6470588235294118,
河北,0.2867132867132867,0.17663421418636996,0.015873015873015872,0.1830443159922929,0.14761904761904762,0.18199608610567516,0.6129032258064515,0.2933884297520661,0.26,
山西,0.45454545454545453,0.1787878787878788,,0.019230769230769232,0.0449438202247191,0.21768707482993196,0.41935483870967744,0.15686274509803924,0.15876777251184834,
內蒙古自治區,,,,,,,,,0.11111111111111112,
遼寧,,,,,,,0.5,,,
吉林,,,,,,,,,,
黑龍江,,,,0.125,,,,,,
上海,,0.08,0.6582278481012658,0.049999999999999996,,0.07446808510638298,0.8928571428571428,,0.2926829268292683,
江蘇,0.02830188679245283,0.2449748743718593,0.36813186813186816,0.19661458333333331,0.12796208530805686,0.039999999999999994,0.6395348837209303,0.0625,0.3442622950819672,
浙江,,0.17660044150110377,0.09375000000000001,0.10108303249097474,,0.05128205128205128,0.515625,,0.02040816326530612,
安徽,,0.33157894736842103,0.024390243902439022,0.11895910780669146,0.06493506493506494,0.13333333333333333,0.5483870967741935,0.45,0.27272727272727276,
福建,,,,,,0.1702127659574468,,,,0.5454545454545454
江西,,0.06145251396648045,,,,0.1375,0.23404255319148937,,,
山東,0.0821917808219178,0.23341836734693877,0.18716577540106952,0.15161290322580645,0.13043478260869565,0.25217391304347825,0.6379310344827586,0.5,0.2486772486772487,
河南,0.0625,0.329246935201401,0.3,0.1627358490566038,0.11627906976744186,0.4196428571428571,0.5471698113207547,0.2708333333333333,0.32876712328767127,
湖北,,0.06315789473684211,0.11538461538461539,0.15606936416184972,,0.26760563380281693,0.5531914893617021,0.13043478260869565,,
湖南,,0.05142857142857142,,0.015384615384615385,,0.1391304347826087,0.6521739130434783,0.028169014084507043,,
廣東,0.047619047619047616,0.030864197530864196,0.08860759493670886,0.03734439834024896,0.1212121212121212,0.303921568627451,0.22727272727272724,,0.012048192771084338,
廣西壯族自治區,,,,0.125,,0.6315789473684211,1.0,,0.07692307692307693,
海南,,,,0.08333333333333333,,1.0,,,,
重慶,,,,,,,,,,
四川,,0.11111111111111109,,0.01515151515151515,,0.01785714285714286,,0.2037037037037037,0.08227848101265824,
貴州,,,,,,0.06666666666666667,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,0.2592592592592593,0.2857142857142857,,0.5,
陝西,0.2903225806451613,0.19444444444444445,,0.004291845493562232,,0.07971014492753624,0.16666666666666666,0.3939393939393939,0.1524163568773234,
甘肅,,,,,,,,0.2857142857142857,0.1111111111111111,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
