,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,0.1904761904761905,,,,
天津,,0.02173913043478261,,0.016666666666666666,0.047619047619047616,0.034482758620689655,,,0.05882352941176471,
河北,0.05944055944055944,0.10570236439499305,0.23280423280423282,0.01348747591522158,0.07142857142857142,0.21722113502935422,0.08960573476702509,0.04132231404958677,0.21500000000000002,
山西,0.1818181818181818,0.16060606060606059,0.06976744186046512,0.0625,,0.03401360544217687,,0.4313725490196078,0.4265402843601896,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.11627906976744186,0.15384615384615385
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.25
上海,,0.18,0.18987341772151897,0.15,,0.2978723404255319,,,0.35772357723577236,
江蘇,0.29245283018867924,0.10427135678391959,0.04395604395604395,0.19010416666666666,0.12322274881516587,0.07999999999999999,0.3023255813953489,0.0625,0.08852459016393444,
浙江,,0.09933774834437085,0.020833333333333332,0.04332129963898917,0.14215686274509803,0.10897435897435898,0.203125,0.15517241379310348,0.09795918367346937,0.11764705882352941
安徽,0.01612903225806452,0.10789473684210527,0.08536585365853658,0.13382899628252787,0.03896103896103896,0.12,0.03225806451612903,0.55,0.015151515151515152,
福建,0.14814814814814817,,0.041666666666666664,0.09090909090909091,0.14285714285714285,0.0425531914893617,0.09090909090909091,0.125,,
江西,0.05633802816901408,0.05865921787709497,0.022222222222222227,0.055350553505535055,0.04347826086956522,0.20625,0.13829787234042556,0.1773049645390071,,
山東,0.06849315068493152,0.13010204081632654,0.0641711229946524,0.12096774193548387,0.17391304347826086,0.19130434782608693,0.20258620689655174,0.4761904761904761,0.21693121693121692,1.0
河南,,0.19439579684763572,0.16666666666666669,0.10141509433962265,0.49612403100775193,0.017857142857142856,,0.020833333333333332,0.36073059360730597,0.125
湖北,0.043478260869565216,0.08421052631578947,0.38461538461538464,0.011560693641618498,,0.26760563380281693,,0.043478260869565216,,
湖南,0.2222222222222222,0.04,0.10344827586206896,0.07692307692307693,0.043478260869565216,0.19999999999999998,0.08695652173913043,,0.037037037037037035,0.6666666666666667
廣東,0.047619047619047616,0.03703703703703704,0.5189873417721519,0.02074688796680498,,0.00980392156862745,0.22727272727272724,,0.04819277108433735,
廣西壯族自治區,,0.05,,0.15625,0.25,0.10526315789473685,,0.2222222222222222,0.05128205128205128,
海南,0.5555555555555556,0.5384615384615385,,,,,,,,
重慶,,,0.1,,,,,,0.02222222222222222,
四川,,0.11111111111111109,0.6,,0.07317073170731707,0.03571428571428572,0.08333333333333333,0.07407407407407407,0.13924050632911394,
貴州,,,,,,0.4,,,,
雲南,,0.21428571428571427,,0.07692307692307693,0.27272727272727276,0.39999999999999997,,,0.15625,
西藏自治區,,0.0,,,,,,,,
陝西,,0.4305555555555555,,,,0.02173913043478261,,0.2121212121212121,0.17100371747211898,
甘肅,,0.05263157894736842,,0.04395604395604396,,,,0.42857142857142855,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
