,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,0.24,,0.3571428571428571,1.0,0.2380952380952381,0.6,0.14285714285714285,0.3888888888888889,
天津,0.18181818181818182,0.32608695652173914,0.06666666666666667,0.11666666666666665,,0.17241379310344826,0.7692307692307693,1.0,0.5882352941176472,
河北,0.493006993006993,0.4645340751043115,0.6084656084656085,0.4277456647398844,0.29523809523809524,0.46379647749510766,0.45878136200716846,0.6487603305785123,0.5325000000000001,0.8888888888888888
山西,0.1818181818181818,0.48787878787878786,0.41860465116279066,0.3701923076923077,0.2696629213483146,0.3877551020408163,0.4838709677419355,0.5882352941176471,0.7345971563981042,
內蒙古自治區,,,,,,,,0.33333333333333337,,
遼寧,,,,0.22727272727272727,0.18181818181818182,,,,0.37209302325581395,0.8461538461538461
吉林,,,,,0.33333333333333337,,,,,0.14285714285714285
黑龍江,,,,,0.14285714285714285,,,,0.31578947368421056,0.25
上海,0.6129032258064516,0.7266666666666666,0.5949367088607594,0.5666666666666667,0.6875,0.6595744680851063,0.9642857142857143,0.5294117647058824,0.7723577235772358,0.5
江蘇,0.5471698113207547,0.4673366834170854,0.41758241758241754,0.4479166666666667,0.3080568720379147,0.6495238095238095,0.6744186046511628,0.75,0.4688524590163934,0.7846153846153846
浙江,0.5769230769230769,0.576158940397351,0.47916666666666663,0.5126353790613718,0.5,0.625,0.765625,0.3448275862068966,0.6448979591836733,0.8823529411764706
安徽,0.22580645161290322,0.45789473684210524,0.43902439024390244,0.25464684014869887,0.14285714285714285,0.13333333333333333,0.4838709677419355,0.19999999999999998,0.25757575757575757,0.16666666666666666
福建,0.29629629629629634,0.32183908045977005,0.4583333333333333,0.5619834710743802,0.14285714285714285,0.3404255319148936,0.09090909090909091,0.125,0.4285714285714286,0.7272727272727273
江西,0.6338028169014084,0.3770949720670391,0.06666666666666667,0.32103321033210336,0.5289855072463768,0.403125,0.3829787234042554,0.375886524822695,0.08333333333333334,
山東,0.3835616438356165,0.47831632653061223,0.5080213903743315,0.3370967741935484,0.4285714285714286,0.5681159420289854,0.5,0.40476190476190477,0.6322751322751323,0.8333333333333333
河南,0.47321428571428575,0.5586690017513135,0.4666666666666667,0.49764150943396235,0.5891472868217054,0.4464285714285714,0.1509433962264151,0.6041666666666666,0.502283105022831,0.75
湖北,0.5652173913043478,0.21578947368421053,0.5,0.20809248554913296,0.23809523809523808,0.28169014084507044,0.5531914893617021,0.4347826086956522,0.3793103448275862,
湖南,0.14814814814814814,0.22857142857142856,0.06896551724137931,0.46923076923076923,0.3188405797101449,0.3652173913043478,0.5072463768115942,0.30985915492957744,0.3703703703703704,0.33333333333333337
廣東,0.2619047619047619,0.30246913580246915,0.3291139240506329,0.44813278008298757,0.5151515151515151,0.5392156862745099,0.5909090909090908,0.5,0.30120481927710846,0.39999999999999997
廣西壯族自治區,0.4285714285714286,0.125,,0.34375,,0.23684210526315788,0.48000000000000004,,0.358974358974359,
海南,,0.15384615384615385,,0.08333333333333333,,,0.42857142857142855,,,
重慶,,,0.4,0.09090909090909091,0.40625,0.3611111111111111,0.6,0.03571428571428572,0.2222222222222222,
四川,,,0.2,0.45454545454545453,0.36585365853658536,0.16071428571428573,0.4166666666666667,0.44444444444444436,0.5949367088607594,0.08333333333333334
貴州,,,,0.15384615384615385,,0.26666666666666666,,,0.46428571428571425,
雲南,1.0,0.5,0.5,0.23076923076923075,0.36363636363636365,,0.6666666666666666,0.4444444444444445,0.4375,
西藏自治區,,0.0,,,,,,,0.14285714285714285,
陝西,0.5161290322580645,0.4305555555555555,,0.3562231759656652,0.2682926829268293,0.4782608695652174,0.22222222222222224,0.3333333333333333,0.4609665427509294,
甘肅,0.4,,,0.17582417582417584,,0.2903225806451613,,0.2857142857142857,0.3333333333333333,
青海,,,0.0,,,,,,0.625,
寧夏回族自治區,,,,,,,,,0.16666666666666666,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.2,,0.20512820512820512,0.3,0.5,,,0.5,
