,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,0.18181818181818182,,,,,,,,0.05882352941176471,
河北,0.2902097902097902,0.05006954102920723,0.015873015873015872,0.028901734104046246,0.1619047619047619,0.13894324853228962,0.16845878136200715,0.11570247933884296,0.065,0.4444444444444444
山西,0.0909090909090909,0.07878787878787878,0.13953488372093023,0.004807692307692308,0.1910112359550562,0.03401360544217687,0.25806451612903225,0.05882352941176471,0.3459715639810426,
內蒙古自治區,,0.125,,,,,,,,
遼寧,,,,,,,,,0.23255813953488372,0.15384615384615385
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.22580645161290322,0.16666666666666666,0.430379746835443,0.11666666666666668,,0.21276595744680848,0.3571428571428571,0.23529411764705882,0.5284552845528455,
江蘇,0.12264150943396226,0.14572864321608042,0.054945054945054944,0.08072916666666666,0.09478672985781991,0.17523809523809522,0.3139534883720931,0.17708333333333331,0.32459016393442625,0.16923076923076927
浙江,0.20512820512820512,0.1964679911699779,0.020833333333333332,0.021660649819494584,0.24019607843137256,0.21474358974358976,0.39062499999999994,0.10344827586206898,0.23265306122448978,
安徽,,0.13421052631578947,0.024390243902439022,0.055762081784386616,0.025974025974025976,0.16,0.12903225806451613,0.3,0.07575757575757576,
福建,0.14814814814814817,0.057471264367816084,0.0625,0.03305785123966942,,0.06382978723404256,,0.375,0.125,
江西,0.01408450704225352,0.10335195530726259,0.04444444444444445,0.13653136531365315,0.07246376811594203,0.08750000000000001,0.12765957446808512,0.16312056737588654,,
山東,0.0410958904109589,0.13392857142857142,0.1229946524064171,0.04193548387096774,0.20496894409937888,0.21739130434782605,0.21551724137931036,0.21428571428571427,0.12433862433862435,
河南,0.026785714285714288,0.1330998248686515,0.044444444444444446,0.07547169811320756,0.17829457364341086,0.07142857142857142,0.03773584905660377,0.3541666666666667,0.0502283105022831,
湖北,0.32608695652173914,0.06315789473684211,,0.005780346820809249,,0.1643192488262911,0.2127659574468085,,0.13793103448275862,
湖南,0.2222222222222222,0.07428571428571429,,0.12307692307692308,0.014492753623188404,0.15652173913043477,0.028985507246376812,0.07042253521126761,0.07407407407407407,
廣東,,0.05555555555555555,,0.07053941908713693,0.0303030303030303,0.4411764705882353,0.045454545454545456,,0.08433734939759037,
廣西壯族自治區,,,,0.03125,,0.13157894736842105,,,0.07692307692307693,
海南,,,,,,,,,,
重慶,,,,,,,,,0.02222222222222222,
四川,,,,,0.048780487804878044,0.03571428571428572,,0.25925925925925924,0.14556962025316456,
貴州,,,,,,,,,,
雲南,,0.07142857142857142,,,0.36363636363636365,,,,0.1875,
西藏自治區,,0.0,,,,0.33333333333333337,,,0.07142857142857142,
陝西,0.19354838709677422,0.1388888888888889,,0.008583690987124463,0.012195121951219511,0.08695652173913045,,0.0303030303030303,0.07806691449814127,
甘肅,,,,0.07692307692307693,,,,,0.14814814814814814,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,1.0,,0.0,,,1.0,
臺灣,0.0,,,,0.3,,,,0.5,
