,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,0.04347826086956522,,0.016666666666666666,0.047619047619047616,,0.7692307692307693,,0.05882352941176471,
河北,0.15384615384615385,0.08623087621696802,,0.0038535645472061657,0.047619047619047616,0.052837573385518595,0.11827956989247311,0.08264462809917354,0.07,
山西,0.11363636363636363,,,0.014423076923076922,,0.006802721088435374,0.5483870967741936,,0.018957345971563982,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,0.18181818181818182,,,,,
吉林,,,,,,0.11764705882352941,,,,
黑龍江,,,,,,,,,,
上海,0.7096774193548387,0.08666666666666666,0.03797468354430379,0.049999999999999996,,0.1276595744680851,0.10714285714285714,0.7647058823529412,0.3821138211382114,
江蘇,0.3490566037735849,0.1306532663316583,0.23076923076923075,0.07161458333333333,0.042654028436018954,0.21714285714285714,0.11627906976744187,0.29166666666666663,0.15081967213114755,0.4461538461538462
浙江,0.08974358974358974,0.2671081677704194,0.010416666666666666,0.039711191335740074,0.1519607843137255,0.1185897435897436,0.015625,0.13793103448275862,0.12244897959183672,0.20588235294117646
安徽,0.08064516129032258,0.057894736842105256,0.2073170731707317,0.03903345724907063,0.01948051948051948,0.02666666666666667,0.1935483870967742,0.35,0.06060606060606061,
福建,,,0.041666666666666664,0.15702479338842976,0.14285714285714285,,,,0.14285714285714288,
江西,0.02816901408450704,0.10893854748603352,0.04444444444444445,0.014760147601476014,0.1739130434782609,0.09375000000000001,0.11702127659574468,0.33333333333333337,,
山東,0.1506849315068493,0.06760204081632654,,0.06451612903225806,0.012422360248447206,0.17101449275362318,0.22844827586206895,0.21428571428571427,0.10846560846560846,
河南,0.08928571428571429,0.07705779334500874,,0.03301886792452831,0.046511627906976744,0.008928571428571428,0.05660377358490566,0.3958333333333333,0.0593607305936073,
湖北,,0.042105263157894736,0.07692307692307693,0.04046242774566474,,0.15492957746478872,0.04255319148936171,0.30434782608695654,0.27586206896551724,
湖南,0.07407407407407407,0.03428571428571429,,0.03076923076923077,,0.06956521739130435,0.08695652173913043,0.16901408450704225,,
廣東,0.16666666666666663,0.03703703703703704,0.13924050632911392,0.05394190871369294,0.1212121212121212,0.23529411764705885,0.1212121212121212,,0.1927710843373494,0.7999999999999999
廣西壯族自治區,,,0.25,0.0625,,,,,0.038461538461538464,
海南,,,,,,,,,,
重慶,,,,0.045454545454545456,,0.1388888888888889,0.19999999999999998,0.10714285714285715,0.17777777777777776,
四川,,,,0.0909090909090909,,,,0.16666666666666666,0.14556962025316456,
貴州,,,,,,0.06666666666666667,,,0.03571428571428571,
雲南,,0.2857142857142857,,,,,,0.11111111111111112,,
西藏自治區,,0.0,,,,,,,,
陝西,0.16129032258064518,0.006944444444444444,,0.02575107296137339,,0.007246376811594204,,0.0303030303030303,0.003717472118959108,0.25
甘肅,,0.07894736842105263,,,,,,0.2857142857142857,,
青海,,,0.0,,,,,,0.625,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.07692307692307693,,,,,,
