,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.16,,0.3571428571428571,,0.33333333333333337,1.0,0.5714285714285714,0.2222222222222222,
天津,0.5454545454545454,0.23913043478260868,0.39999999999999997,0.11666666666666665,,0.13793103448275862,0.5384615384615384,1.0,,
河北,0.5314685314685315,0.47983310152990266,0.3544973544973545,0.2947976878612717,0.5,0.3894324853228963,0.5448028673835125,0.40909090909090906,0.34,
山西,0.5227272727272727,0.4333333333333333,0.1627906976744186,0.4423076923076923,0.5393258426966292,0.6666666666666666,0.06451612903225806,0.6666666666666666,0.8744075829383886,
內蒙古自治區,,0.5,1.0,0.1111111111111111,,,,,0.33333333333333337,
遼寧,,0.1111111111111111,1.0,0.22727272727272727,0.4545454545454546,0.18518518518518517,1.0,,0.2558139534883721,0.7692307692307693
吉林,,,,,0.5555555555555556,0.47058823529411764,,,0.09090909090909091,0.14285714285714285
黑龍江,,1.0,,0.25,0.42857142857142855,0.25,0.5,,,0.25
上海,0.41935483870967744,0.5933333333333334,0.4683544303797468,0.6,0.25,0.8085106382978724,0.3214285714285714,0.9411764705882353,0.7479674796747967,0.5
江蘇,0.5471698113207547,0.47738693467336685,0.6538461538461537,0.4908854166666667,0.36492890995260663,0.48952380952380947,0.7325581395348838,0.53125,0.2852459016393442,0.16923076923076927
浙江,0.14102564102564102,0.6004415011037527,0.6875,0.4187725631768953,0.5147058823529411,0.6121794871794872,0.515625,0.4482758620689656,0.563265306122449,0.4411764705882353
安徽,0.3548387096774194,0.3026315789473684,0.40243902439024387,0.37732342007434944,0.37662337662337664,0.3866666666666667,0.06451612903225806,0.25,0.13636363636363638,1.0
福建,0.5555555555555556,0.5977011494252873,0.6875,0.37190082644628103,0.14285714285714285,0.3191489361702128,0.2727272727272727,,0.25,0.7272727272727273
江西,0.4647887323943662,0.3296089385474861,0.5111111111111112,0.5166051660516605,0.4057971014492754,0.465625,0.27659574468085113,0.3120567375886525,0.41666666666666674,
山東,0.3835616438356165,0.29591836734693877,0.5882352941176471,0.3,0.22981366459627328,0.4115942028985507,0.3146551724137931,0.23809523809523805,0.39153439153439157,
河南,0.6339285714285715,0.3502626970227671,0.5555555555555556,0.47405660377358494,0.07751937984496124,0.4821428571428571,0.169811320754717,0.0625,0.4292237442922375,
湖北,0.45652173913043476,0.19999999999999998,0.5,0.2254335260115607,0.5238095238095238,0.3380281690140845,0.425531914893617,,0.2068965517241379,
湖南,0.40740740740740744,0.1257142857142857,0.3793103448275862,0.49230769230769234,0.4492753623188406,0.3652173913043478,0.391304347826087,0.3943661971830986,0.3333333333333333,1.0
廣東,0.3571428571428571,0.24691358024691357,0.5316455696202531,0.2987551867219917,0.0303030303030303,0.2450980392156863,0.13636363636363635,,0.37349397590361444,0.39999999999999997
廣西壯族自治區,0.14285714285714288,0.15,0.75,0.28125000000000006,0.25,0.47368421052631576,0.56,0.2222222222222222,0.41025641025641024,
海南,0.7777777777777778,0.3846153846153847,,,0.08333333333333333,,0.5714285714285714,,,
重慶,,0.5,0.2,0.6818181818181819,0.25,0.19444444444444445,,0.4285714285714286,0.37777777777777777,
四川,,0.3333333333333333,0.26666666666666666,0.5454545454545454,0.3414634146341463,0.5178571428571429,0.08333333333333333,0.5,0.41139240506329117,0.16666666666666669
貴州,,,,0.23076923076923078,,0.06666666666666667,,,0.39285714285714285,
雲南,,0.3571428571428571,,0.38461538461538464,0.27272727272727276,0.19999999999999998,,0.7777777777777777,0.5,
西藏自治區,,0.0,,,0.6666666666666666,0.4814814814814815,0.5714285714285714,0.6666666666666667,0.21428571428571427,
陝西,0.5161290322580645,0.6041666666666667,0.2631578947368421,0.4291845493562232,0.3414634146341463,0.3695652173913044,,0.1212121212121212,0.6133828996282528,0.75
甘肅,0.6,0.39473684210526316,0.2,0.3626373626373626,0.16666666666666666,0.06451612903225806,,0.2857142857142857,0.14814814814814814,
青海,,,0.0,,,,,,0.625,
寧夏回族自治區,,,,0.1875,0.09999999999999999,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.28,,0.33333333333333337,0.6,0.5,,,0.25,
