,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,0.10869565217391305,,,,,,,0.23529411764705885,
河北,0.16083916083916083,0.25034770514603616,0.14285714285714285,0.11560693641618498,0.11428571428571428,0.18982387475538162,0.3655913978494624,0.13636363636363635,0.23750000000000002,0.3333333333333333
山西,0.04545454545454545,0.07878787878787878,0.06976744186046512,0.019230769230769232,0.033707865168539325,0.13605442176870747,,0.3333333333333333,0.4004739336492891,
內蒙古自治區,,,,,,,,,,
遼寧,,,,0.13636363636363638,0.18181818181818182,,,,0.09302325581395349,
吉林,,,,,,0.11764705882352941,,,,
黑龍江,,,,,,,,,0.052631578947368425,
上海,0.12903225806451613,0.5133333333333333,0.7341772151898733,0.31666666666666665,,0.6276595744680852,0.6071428571428571,0.35294117647058826,0.7560975609756098,0.5
江蘇,0.16037735849056603,0.2097989949748744,0.489010989010989,0.2916666666666667,0.20853080568720378,0.3238095238095238,0.186046511627907,0.53125,0.35409836065573774,0.6615384615384616
浙江,0.2692307692307692,0.32229580573951433,0.2916666666666667,0.30685920577617326,0.27941176470588236,0.2692307692307692,0.6406249999999999,0.27586206896551724,0.33469387755102037,0.7352941176470588
安徽,0.16129032258064516,0.10526315789473684,0.17073170731707316,0.05947955390334573,0.07142857142857142,0.02,0.12903225806451613,0.15,0.12121212121212122,0.5
福建,,0.1839080459770115,0.1875,0.38016528925619836,0.2857142857142857,0.14893617021276598,0.18181818181818182,,0.125,0.18181818181818182
江西,0.09859154929577466,0.08659217877094971,,0.04428044280442804,0.08695652173913045,0.178125,0.03191489361702128,0.19858156028368795,,
山東,0.31506849315068497,0.21301020408163268,0.32085561497326204,0.1435483870967742,0.16149068322981366,0.2927536231884058,0.27155172413793105,0.5238095238095237,0.20370370370370372,
河南,0.1517857142857143,0.1838879159369527,0.03333333333333334,0.15094339622641512,0.17829457364341086,0.13392857142857142,,0.08333333333333333,0.2511415525114155,0.125
湖北,0.21739130434782605,0.08421052631578947,0.11538461538461539,0.06358381502890173,,0.2112676056338028,0.12765957446808512,0.2173913043478261,0.48275862068965514,
湖南,0.1111111111111111,0.022857142857142854,0.10344827586206896,0.023076923076923075,0.043478260869565216,0.05217391304347826,0.17391304347826086,0.15492957746478872,,0.33333333333333337
廣東,0.047619047619047616,0.09259259259259259,0.06329113924050633,0.09128630705394192,0.1515151515151515,0.35294117647058826,0.3333333333333333,,0.15662650602409642,0.39999999999999997
廣西壯族自治區,,,,0.25,,0.10526315789473685,0.04,,0.23076923076923075,
海南,,,,,0.75,,0.14285714285714285,,,
重慶,,,,0.09090909090909091,0.03125,0.05555555555555555,0.6,,0.06666666666666667,
四川,,0.22222222222222218,,0.19696969696969696,0.09756097560975609,,,0.2777777777777778,0.22151898734177217,0.4166666666666667
貴州,,,,,,0.06666666666666667,,,0.03571428571428571,
雲南,,0.14285714285714285,,,,,0.6666666666666666,0.22222222222222224,0.1875,
西藏自治區,,0.0,,,,,,,,
陝西,,0.18055555555555555,,0.12446351931330472,,0.02173913043478261,0.16666666666666666,0.2424242424242424,0.26022304832713755,0.25
甘肅,,,,0.054945054945054944,,0.03225806451612903,,,0.14814814814814814,0.5
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.32,,0.33333333333333337,0.3,0.8333333333333334,0.8,,0.5,
