,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.3225806451612903,,,0.6,0.75,0.6,,0.16666666666666666,
天津,,0.4615384615384615,,0.25,0.25,,1.0,0.6666666666666666,,
河北,0.6689655172413793,0.415347137637028,0.5772357723577235,0.468041237113402,0.5212765957446809,0.5853658536585366,0.6779661016949152,0.39419087136929454,0.5290697674418604,
山西,0.28205128205128205,0.547568710359408,0.2857142857142857,0.43442622950819676,0.38596491228070173,0.5073891625615763,0.5189873417721519,0.6916666666666667,0.7150943396226416,
內蒙古自治區,,,,,,,,,0.11111111111111112,
遼寧,,0.7499999999999999,,0.375,,0.28571428571428575,,,0.17647058823529413,
吉林,,,,,,,,,,
黑龍江,,,,0.75,0.5,,,,,
上海,0.6567164179104478,0.6006600660066006,0.7115384615384616,0.5686274509803921,0.13953488372093023,0.6222222222222222,0.8888888888888887,0.15384615384615383,0.16,
江蘇,0.348993288590604,0.4464882943143812,0.30841121495327106,0.31189083820662766,0.38461538461538464,0.25,0.4482758620689655,0.49166666666666664,0.2673611111111111,0.38095238095238093
浙江,0.3230088495575221,0.4143258426966293,0.44705882352941173,0.43543543543543545,0.6178861788617885,0.4337662337662338,0.41,0.3533834586466166,0.362962962962963,0.3684210526315789
安徽,0.3111111111111111,0.312962962962963,0.1568627450980392,0.23809523809523808,0.15151515151515152,0.2014388489208633,0.41666666666666663,0.23214285714285715,0.24657534246575344,
福建,0.17307692307692307,0.2551440329218107,,0.19254658385093168,0.2368421052631579,0.34328358208955223,0.19999999999999998,0.10526315789473684,0.4252873563218391,0.38461538461538464
江西,0.28476821192052976,0.20146520146520147,0.27272727272727276,0.1680327868852459,0.42,0.3537117903930131,0.4117647058823529,0.36,0.3571428571428572,
山東,0.30927835051546393,0.46805555555555556,0.4873949579831934,0.46139705882352944,0.4654377880184332,0.5524475524475524,0.688715953307393,0.5059523809523809,0.6715686274509803,0.7619047619047619
河南,0.6226415094339622,0.6029055690072639,0.40740740740740744,0.41709844559585496,0.6084656084656085,0.5548780487804879,0.49206349206349204,0.4722222222222222,0.7156177156177156,0.7647058823529412
湖北,0.042105263157894736,0.07590759075907591,0.08571428571428572,0.17670682730923692,0.1,0.24096385542168677,0.5037593984962407,0.10869565217391305,0.14130434782608695,
湖南,0.1811594202898551,0.16257668711656442,0.125,0.1890909090909091,0.19689119170984457,0.2303370786516854,0.24137931034482754,0.15476190476190477,0.15714285714285717,
廣東,0.04285714285714286,0.22371967654986524,0.3333333333333333,0.20163487738419617,0.1386138613861386,0.38281250000000006,0.38144329896907214,0.4631578947368421,0.26829268292682923,
廣西壯族自治區,,0.06741573033707865,0.5,0.07894736842105264,0.24074074074074073,0.2820512820512821,0.28260869565217395,0.13888888888888887,0.37894736842105264,0.25
海南,0.3,0.3548387096774194,,0.4054054054054054,,0.5357142857142857,0.8333333333333334,0.4,0.21739130434782608,
重慶,,,,0.22727272727272727,0.031746031746031744,0.2391304347826087,0.29166666666666663,0.6153846153846154,0.3725490196078431,
四川,,0.04545454545454545,,0.12048192771084336,0.2191780821917808,0.10169491525423728,0.23684210526315788,0.1746031746031746,0.3214285714285714,0.5
貴州,,,,0.14285714285714285,0.06896551724137931,0.17391304347826086,,0.07142857142857142,0.4819277108433735,
雲南,,0.06557377049180328,,0.14814814814814814,0.4545454545454546,0.22727272727272727,0.42307692307692313,0.06666666666666667,0.2079207920792079,
西藏自治區,,0.0,,,,1.0,,,,
陝西,0.4821428571428571,0.4941176470588235,0.15384615384615385,0.5310734463276836,0.5,0.474025974025974,0.5454545454545454,0.525,0.5786163522012578,
甘肅,0.35294117647058826,0.19811320754716982,,0.24390243902439024,0.4047619047619047,0.39534883720930225,,0.17647058823529413,0.18666666666666668,0.33333333333333337
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,0.3333333333333333,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.31999999999999995,,,0.3333333333333333,,0.18749999999999997,
