,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5,0.3548387096774194,,0.42857142857142855,0.1,0.4375,0.2,0.09090909090909091,0.16666666666666666,
天津,,0.923076923076923,,0.75,0.5,0.6666666666666667,1.0,,0.5,
河北,0.42068965517241375,0.5054811205846529,0.6910569105691057,0.51340206185567,0.4627659574468085,0.4700665188470067,0.559322033898305,0.49377593360995853,0.5377906976744186,
山西,0.14102564102564102,0.4778012684989429,0.3469387755102041,0.47131147540983614,0.32163742690058483,0.33004926108374383,0.18987341772151897,0.19166666666666665,0.6433962264150943,
內蒙古自治區,,0.6666666666666666,,0.3333333333333333,,,,,0.22222222222222224,
遼寧,,0.5,,0.625,,0.4285714285714286,0.25,0.25,0.29411764705882354,
吉林,,,,,,,,,0.19999999999999998,0.5
黑龍江,,,,1.0,0.5,0.6666666666666666,,0.5,1.0,
上海,0.05970149253731343,0.3333333333333333,0.7115384615384616,0.4509803921568627,0.32558139534883723,0.2888888888888889,0.19999999999999998,,0.24,
江蘇,0.3422818791946309,0.5852842809364548,0.691588785046729,0.6296296296296297,0.5576923076923077,0.5238095238095238,0.45517241379310347,0.425,0.5138888888888888,0.7619047619047619
浙江,0.2345132743362832,0.4269662921348315,0.5764705882352942,0.47447447447447444,0.4227642276422764,0.4337662337662338,0.36000000000000004,0.23308270676691728,0.2962962962962963,0.5789473684210527
安徽,0.17222222222222222,0.48518518518518516,0.49019607843137253,0.5213032581453634,0.5454545454545454,0.39568345323741005,0.2857142857142857,0.053571428571428575,0.2602739726027397,
福建,0.11538461538461538,0.1851851851851852,0.5405405405405406,0.2857142857142857,,0.0746268656716418,0.19999999999999998,,0.22988505747126436,0.23076923076923075
江西,0.2781456953642384,0.4560439560439561,0.27272727272727276,0.2336065573770492,0.44,0.5021834061135372,0.35294117647058826,0.54,0.25,
山東,0.2061855670103093,0.5819444444444444,0.4873949579831934,0.3621323529411765,0.2949308755760369,0.37762237762237755,0.3852140077821012,0.14285714285714285,0.3251633986928104,
河南,0.22641509433962265,0.4334140435835351,0.38271604938271603,0.4248704663212435,0.41798941798941797,0.29268292682926833,0.1746031746031746,0.1111111111111111,0.2703962703962704,0.058823529411764705
湖北,0.2526315789473685,0.41254125412541254,0.14285714285714285,0.37349397590361444,0.15,0.3493975903614458,0.16541353383458648,0.07608695652173914,0.15217391304347824,
湖南,0.10869565217391307,0.3374233128834356,0.14583333333333334,0.20727272727272728,0.16062176165803108,0.17415730337078653,0.17241379310344826,0.03571428571428571,0.17142857142857143,
廣東,0.22857142857142856,0.09433962264150943,0.5454545454545454,0.2779291553133515,0.1386138613861386,0.29687500000000006,0.1958762886597938,,0.17560975609756097,0.3333333333333333
廣西壯族自治區,0.08333333333333334,0.05617977528089887,,0.10526315789473684,0.05555555555555555,0.05128205128205129,0.26086956521739135,0.05555555555555555,0.18421052631578946,
海南,,0.06451612903225806,,0.27027027027027023,,0.03571428571428571,0.16666666666666666,,0.043478260869565216,
重慶,,0.11111111111111112,0.8888888888888888,0.2727272727272727,0.4285714285714286,0.1956521739130435,,0.15384615384615385,0.29411764705882354,
四川,,0.04545454545454545,0.21428571428571427,0.21686746987951808,0.3150684931506849,0.38983050847457623,0.05263157894736842,0.2619047619047619,0.3571428571428571,
貴州,0.034482758620689655,,,0.14285714285714285,,0.08695652173913043,,,0.060240963855421686,
雲南,,0.049180327868852465,,,0.4090909090909091,,0.03846153846153846,,0.04950495049504951,0.14285714285714285
西藏自治區,,0.0,,,,,,,,
陝西,0.26785714285714285,0.4235294117647059,0.5,0.6553672316384181,0.5697674418604651,0.512987012987013,0.36363636363636365,0.55,0.6320754716981133,
甘肅,,0.2358490566037736,,0.45528455284552843,0.07142857142857142,0.3023255813953488,,0.11764705882352941,0.13333333333333336,0.6666666666666667
青海,,,0.0,0.5,,,,,1.0,
寧夏回族自治區,,,,0.6666666666666666,,0.5,,,0.19999999999999998,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.7777777777777779,,0.88,,,0.3333333333333333,,,
