,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.22580645161290322,,,,0.875,,0.7272727272727273,0.08333333333333333,
天津,,0.23076923076923075,,0.5833333333333333,0.25,0.16666666666666669,,,0.3,
河北,0.4068965517241379,0.3861144945188794,0.2601626016260163,0.3175257731958763,0.4680851063829787,0.3348115299334812,0.4872881355932203,0.3734439834024896,0.5843023255813954,
山西,0.5512820512820513,0.5517970401691332,0.16326530612244897,0.43852459016393447,0.49707602339181284,0.5862068965517241,0.3670886075949367,0.2833333333333333,0.6584905660377358,
內蒙古自治區,,,,,,,,,0.4444444444444445,
遼寧,,,,0.625,,0.4285714285714286,,0.25,0.5294117647058824,
吉林,,,,,,,1.0,,0.19999999999999998,1.0
黑龍江,,,,,0.5,,,,,
上海,0.22388059701492538,0.3366336633663366,0.6346153846153847,0.4705882352941176,0.27906976744186046,0.1111111111111111,,,0.39999999999999997,
江蘇,0.33557046979865773,0.4347826086956521,0.4953271028037384,0.40545808966861596,0.37500000000000006,0.17261904761904764,0.3655172413793104,0.20833333333333334,0.14583333333333334,0.5714285714285714
浙江,0.5663716814159292,0.3483146067415731,0.43529411764705883,0.33333333333333326,0.40243902439024387,0.5376623376623377,0.42000000000000004,0.16541353383458646,0.23703703703703707,
安徽,0.35000000000000003,0.3685185185185185,0.13725490196078433,0.40852130325814534,0.38181818181818183,0.2949640287769784,0.38095238095238093,0.053571428571428575,0.0684931506849315,0.6666666666666666
福建,0.5576923076923077,0.25102880658436216,0.5135135135135136,0.26708074534161486,0.10526315789473685,0.41791044776119407,0.7999999999999999,0.3157894736842105,0.22988505747126436,0.3076923076923077
江西,0.42384105960264895,0.2692307692307693,0.15151515151515152,0.3401639344262295,0.24,0.39301310043668125,0.29411764705882354,0.29,0.14285714285714285,
山東,0.2371134020618557,0.4569444444444444,0.3781512605042017,0.4944852941176471,0.4838709677419355,0.4382284382284382,0.45525291828793774,0.125,0.5098039215686274,0.14285714285714288
河南,0.1792452830188679,0.38619854721549635,0.25925925925925924,0.4404145077720207,0.6613756613756614,0.4329268292682927,0.2698412698412698,0.16666666666666666,0.5477855477855478,
湖北,0.5263157894736843,0.22772277227722773,0.17142857142857143,0.2690763052208835,0.225,0.3253012048192771,0.29323308270676696,0.1956521739130435,0.08695652173913042,
湖南,0.5652173913043478,0.20858895705521474,0.125,0.32363636363636367,0.15025906735751296,0.29775280898876405,0.27586206896551724,0.2380952380952381,0.34285714285714286,0.28571428571428575
廣東,0.30000000000000004,0.2560646900269542,0.6363636363636364,0.3869209809264305,0.38613861386138615,0.265625,0.13402061855670103,0.22105263157894736,0.3024390243902439,0.11111111111111109
廣西壯族自治區,0.5277777777777778,0.4831460674157303,0.25,0.4736842105263158,0.35185185185185186,0.2435897435897436,0.47826086956521746,0.3055555555555555,0.4263157894736842,
海南,0.7,0.6774193548387096,,0.16216216216216217,0.375,0.35714285714285715,0.5,0.4,0.34782608695652173,
重慶,0.3,0.22222222222222224,0.6666666666666666,0.20454545454545453,0.41269841269841273,0.3695652173913043,0.5,0.5897435897435898,0.3333333333333333,
四川,0.4,0.4090909090909091,0.21428571428571427,0.30120481927710846,0.3424657534246575,0.38983050847457623,0.3421052631578947,0.4444444444444445,0.46428571428571425,
貴州,0.5172413793103449,0.18181818181818182,,0.2142857142857143,0.3448275862068966,0.43478260869565216,0.2,0.5,0.3373493975903615,
雲南,,0.18032786885245905,,0.037037037037037035,0.6363636363636365,,0.07692307692307691,0.2,0.21782178217821782,
西藏自治區,,0.0,,,,,,,1.0,
陝西,0.03571428571428571,0.6431372549019607,0.38461538461538464,0.519774011299435,0.4302325581395349,0.4675324675324676,0.09090909090909091,0.125,0.6729559748427673,
甘肅,0.29411764705882354,0.4150943396226415,,0.26829268292682923,0.09523809523809523,0.27906976744186046,0.14285714285714285,0.5882352941176471,0.48000000000000004,0.33333333333333337
青海,,1.0,0.0,,,,,,,
寧夏回族自治區,,1.0,,0.16666666666666666,0.5,,0.3333333333333333,,0.39999999999999997,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.6666666666666666,,,,0.75,,0.8571428571428571,0.4375,
