,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.12903225806451613,,0.07142857142857142,0.1,0.3125,0.2,,0.16666666666666666,
天津,,0.5384615384615384,,,0.25,0.6666666666666667,,0.6666666666666666,0.3,
河北,0.7379310344827585,0.3325213154689403,0.3739837398373984,0.29896907216494845,0.13297872340425532,0.41463414634146345,0.3008474576271187,0.39004149377593356,0.15406976744186046,
山西,0.11538461538461539,0.09513742071881608,0.02040816326530612,0.18442622950819673,0.07602339181286549,0.09359605911330049,0.10126582278481013,0.13333333333333333,0.07358490566037736,
內蒙古自治區,,,,,,,,,,
遼寧,,,,0.125,,0.4285714285714286,,,0.11764705882352942,
吉林,,,,,,,,,,1.0
黑龍江,,,,0.25,,0.7777777777777778,,,1.0,
上海,0.19402985074626866,0.3597359735973597,0.5192307692307693,0.35294117647058826,0.09302325581395349,0.4222222222222223,,,0.04,
江蘇,0.4026845637583893,0.4966555183946488,0.5233644859813085,0.3684210526315789,0.44230769230769235,0.755952380952381,0.22068965517241382,0.44166666666666665,0.3993055555555556,0.7142857142857142
浙江,0.36283185840707965,0.38904494382022475,0.42352941176470593,0.3093093093093093,0.36585365853658536,0.49870129870129876,0.35000000000000003,0.2481203007518797,0.5370370370370371,0.6842105263157895
安徽,0.2722222222222222,0.2796296296296296,0.5098039215686274,0.3007518796992481,0.29696969696969694,0.60431654676259,0.25,0.5714285714285714,0.3972602739726027,1.0
福建,0.17307692307692307,0.2469135802469136,0.4864864864864865,0.2360248447204969,0.2631578947368421,0.1492537313432836,0.19999999999999998,0.21052631578947367,0.5287356321839081,0.23076923076923075
江西,0.2649006622516556,0.2893772893772894,0.060606060606060615,0.319672131147541,0.09,0.5283842794759825,0.35294117647058826,0.53,0.2857142857142857,
山東,0.4536082474226804,0.17083333333333334,0.453781512605042,0.2536764705882353,0.2949308755760369,0.3356643356643356,0.31517509727626464,0.3333333333333333,0.2957516339869281,0.16666666666666666
河南,0.3160377358490566,0.28087167070217917,0.29629629629629634,0.16580310880829016,0.1164021164021164,0.3048780487804878,0.3015873015873016,0.1388888888888889,0.23543123543123545,0.6470588235294118
湖北,0.2526315789473685,0.25742574257425743,0.37142857142857144,0.2329317269076305,0.15833333333333333,0.4457831325301205,0.27067669172932335,0.4673913043478261,0.3478260869565217,
湖南,0.050724637681159424,0.17791411042944785,0.25,0.17090909090909093,0.24870466321243523,0.3202247191011236,0.24137931034482754,0.39285714285714285,0.17142857142857143,0.4285714285714286
廣東,0.17142857142857143,0.261455525606469,0.5151515151515151,0.28610354223433243,0.3069306930693069,0.40625,0.32989690721649484,0.21052631578947367,0.3951219512195122,0.3333333333333333
廣西壯族自治區,0.027777777777777783,0.21348314606741572,,0.2280701754385965,0.27777777777777773,0.1794871794871795,0.06521739130434784,0.08333333333333333,0.2368421052631579,0.125
海南,0.3,,,0.35135135135135137,,0.21428571428571427,0.16666666666666666,,0.21739130434782608,
重慶,,,0.6666666666666666,0.1590909090909091,0.1904761904761905,0.08695652173913043,0.29166666666666663,0.6410256410256411,0.11764705882352941,
四川,,0.1818181818181818,0.07142857142857142,0.18072289156626506,0.0821917808219178,0.13559322033898305,0.4473684210526316,0.35714285714285715,0.2544642857142857,1.0
貴州,0.034482758620689655,0.18181818181818182,,0.11904761904761905,0.034482758620689655,0.043478260869565216,,0.14285714285714285,0.18072289156626506,
雲南,,0.3606557377049181,0.875,0.2222222222222222,0.045454545454545456,0.2727272727272727,0.03846153846153846,0.13333333333333333,0.16831683168316833,0.2857142857142857
西藏自治區,,0.0,,,,,,,,
陝西,0.17857142857142858,0.06274509803921569,,0.0847457627118644,0.22093023255813957,0.24675324675324678,,0.35,0.1289308176100629,0.19999999999999998
甘肅,,0.1320754716981132,0.2857142857142857,0.0975609756097561,0.11904761904761904,0.046511627906976744,,0.058823529411764705,0.08,0.33333333333333337
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.07999999999999999,0.2222222222222222,,,0.5714285714285714,,
