,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.024742268041237112,,0.004434589800443459,,,,
山西,0.038461538461538464,0.0021141649048625794,,,,,,,0.03207547169811321,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,0.01869158878504673,,,,,,,
浙江,0.07964601769911504,0.02808988764044944,,,,0.015584415584415586,,,0.05925925925925927,0.3684210526315789
安徽,,,,,0.006060606060606061,,,,,
福建,,,,0.018633540372670808,,,,,,
江西,,,,,,0.034934497816593885,,,,
山東,,0.009722222222222222,,,0.013824884792626729,,,0.023809523809523808,,
河南,,0.07021791767554479,,,0.455026455026455,0.024390243902439025,,0.08333333333333333,,
湖北,0.021052631578947368,,,0.012048192771084336,,,,,,
湖南,,,,0.03272727272727273,0.03626943005181347,0.011235955056179777,,,,
廣東,,,,,,,,0.021052631578947368,0.05853658536585365,
廣西壯族自治區,,,,,0.05555555555555555,,,0.16666666666666666,0.031578947368421054,
海南,,,,,,,0.3333333333333333,,,
重慶,,,,,,,,,0.058823529411764705,
四川,,,,,,,0.02631578947368421,,0.004464285714285714,
貴州,,,,0.02380952380952381,0.034482758620689655,,,,0.060240963855421686,
雲南,,,,,,,,,0.07920792079207921,
西藏自治區,,0.0,,,,,,,,
陝西,,0.02352941176470588,,0.03389830508474576,,,,,0.0031446540880503146,
甘肅,,0.009433962264150943,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.18749999999999997,
