,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.0967741935483871,,,0.2,,0.8,,0.3333333333333333,
天津,,0.4615384615384615,,,,,0.6363636363636364,,0.09999999999999999,
河北,0.2275862068965517,0.19732034104750307,0.04878048780487805,0.18762886597938144,0.22340425531914893,0.23059866962305986,0.7542372881355932,0.26556016597510373,0.1947674418604651,
山西,0.14102564102564102,0.17336152219873152,0.02040816326530612,0.03278688524590164,,0.23152709359605908,0.49367088607594933,0.3,0.1509433962264151,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,0.14285714285714288,0.5,,,
吉林,,,,,,,,,,
黑龍江,,,,0.5,,,,,,
上海,,0.1419141914191419,0.7692307692307694,0.0588235294117647,,,0.9333333333333332,,0.08,
江蘇,0.1342281879194631,0.32943143812709025,0.663551401869159,0.30214424951267055,0.1826923076923077,0.17261904761904764,0.7586206896551724,0.15833333333333333,0.43749999999999994,0.14285714285714285
浙江,,0.1699438202247191,0.18823529411764706,0.07807807807807808,,0.04155844155844156,0.32,,0.07037037037037037,
安徽,0.03888888888888889,0.28703703703703703,0.1568627450980392,0.15789473684210525,0.0787878787878788,0.1798561151079137,0.7499999999999999,0.08928571428571429,0.2054794520547945,
福建,,0.053497942386831275,,0.006211180124223602,0.026315789473684213,0.0746268656716418,,,0.022988505747126436,0.23076923076923075
江西,0.02649006622516556,0.06410256410256411,,,,0.29694323144104806,0.14705882352941177,0.01,,
山東,0.21649484536082475,0.2791666666666667,0.319327731092437,0.2224264705882353,0.18433179723502305,0.31468531468531463,0.7587548638132295,0.3273809523809524,0.2745098039215686,0.09523809523809523
河南,0.15566037735849056,0.33292978208232443,0.25925925925925924,0.17098445595854922,0.10052910052910052,0.25,0.746031746031746,0.08333333333333333,0.19347319347319347,0.058823529411764705
湖北,,0.052805280528052806,,0.10441767068273092,,0.4397590361445783,0.6842105263157896,0.09782608695652174,0.09782608695652173,0.5
湖南,,0.05521472392638037,,0.003636363636363637,0.010362694300518135,0.15730337078651685,0.37931034482758613,0.08333333333333334,0.014285714285714287,
廣東,,0.06199460916442049,,0.057220708446866476,0.0495049504950495,0.2421875,0.12371134020618556,0.031578947368421054,0.05365853658536585,
廣西壯族自治區,,0.02247191011235955,,0.02631578947368421,0.14814814814814814,0.38461538461538464,0.6956521739130435,0.027777777777777776,0.09473684210526316,0.25
海南,,,,0.13513513513513511,,0.07142857142857142,,,,
重慶,,,,,,,,0.4358974358974359,,
四川,,,,0.012048192771084336,,,,0.16666666666666666,0.05803571428571428,
貴州,,,,,,0.043478260869565216,,,0.07228915662650603,
雲南,,,,,,,,,0.0297029702970297,
西藏自治區,,0.0,,,,1.0,,,,
陝西,0.03571428571428571,0.1803921568627451,,,,0.06493506493506494,0.45454545454545453,0.35,0.11635220125786164,
甘肅,,,,,,0.023255813953488372,,0.058823529411764705,0.05333333333333334,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,0.19999999999999998,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,0.14285714285714285,,
