,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.12903225806451613,,,0.2,,,,0.08333333333333333,
天津,,,,,,,,,0.3,
河北,0.07586206896551724,0.07429963459196103,0.22764227642276424,0.018556701030927835,0.03723404255319149,0.07317073170731707,0.08050847457627118,0.13692946058091285,0.2441860465116279,
山西,0.05128205128205128,0.15644820295983086,0.12244897959183672,0.06147540983606557,,0.04433497536945812,0.12658227848101267,0.4166666666666667,0.3018867924528302,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.23529411764705885,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.2376237623762376,0.25,0.17647058823529413,0.09302325581395349,0.1111111111111111,,,0.13999999999999999,
江蘇,0.2818791946308725,0.13043478260869565,0.06542056074766356,0.1539961013645224,0.14903846153846154,0.19642857142857142,0.2,0.06666666666666667,0.15625,
浙江,0.03982300884955752,0.11376404494382024,,0.12912912912912913,0.2154471544715447,0.15324675324675324,0.05,0.3157894736842105,0.07777777777777778,0.2631578947368421
安徽,0.011111111111111112,0.08148148148148147,,0.12531328320802004,0.05454545454545455,0.12230215827338128,0.2857142857142857,0.03571428571428571,0.0273972602739726,
福建,0.25,0.0205761316872428,0.13513513513513514,0.13043478260869565,0.2105263157894737,0.20895522388059704,,,0.022988505747126436,0.07692307692307693
江西,0.09271523178807946,0.049450549450549455,0.060606060606060615,0.10245901639344261,0.085,0.24017467248908297,,0.14,,
山東,0.010309278350515464,0.07638888888888888,0.09243697478991598,0.13235294117647062,0.07834101382488479,0.13286713286713286,0.07392996108949416,0.17261904761904762,0.20751633986928106,0.2142857142857143
河南,0.04245283018867924,0.17917675544794187,0.25925925925925924,0.13730569948186527,0.3333333333333333,0.06097560975609757,0.09523809523809523,0.1111111111111111,0.23076923076923075,0.1764705882352941
湖北,0.05263157894736842,0.0627062706270627,0.2857142857142857,0.008032128514056224,0.025,0.1566265060240964,0.08270676691729324,0.03260869565217391,0.10869565217391303,
湖南,0.21739130434782614,0.03067484662576687,,0.06181818181818182,0.031088082901554404,0.12359550561797754,0.15517241379310343,0.08333333333333334,0.1,
廣東,0.04285714285714286,0.026954177897574125,0.4242424242424242,0.013623978201634876,0.1386138613861386,0.0703125,0.16494845360824742,,0.13658536585365855,
廣西壯族自治區,,0.02247191011235955,,0.017543859649122806,0.07407407407407407,0.08974358974358974,0.021739130434782608,0.4444444444444444,0.2368421052631579,0.375
海南,,0.32258064516129037,,0.05405405405405405,,0.17857142857142858,,,0.3043478260869565,
重慶,0.6,,,,,0.021739130434782608,,,0.039215686274509796,
四川,0.3,0.1818181818181818,,,0.0547945205479452,0.01694915254237288,,0.031746031746031744,0.03571428571428571,
貴州,,0.09090909090909091,,,,,0.4,0.21428571428571427,0.03614457831325302,
雲南,,0.03278688524590164,,,0.2272727272727273,0.04545454545454545,0.03846153846153846,0.13333333333333333,0.0594059405940594,
西藏自治區,,0.0,,,,,,,,
陝西,,0.2784313725490196,,,0.011627906976744186,0.019480519480519484,,0.325,0.11320754716981132,
甘肅,,0.02830188679245283,,0.056910569105691054,0.047619047619047616,,,0.23529411764705882,0.04,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.6666666666666666,,,0.42857142857142855,0.0625,
