,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,0.45161290322580644,,0.42857142857142855,0.1,0.625,0.2,0.45454545454545453,0.6666666666666666,
天津,,0.07692307692307693,,0.5,,0.16666666666666669,0.9090909090909092,1.0,0.39999999999999997,
河北,0.696551724137931,0.4908647990255786,0.5934959349593496,0.4247422680412371,0.29255319148936165,0.516629711751663,0.36864406779661013,0.7344398340248962,0.5494186046511628,
山西,0.46153846153846156,0.5623678646934461,0.48979591836734687,0.4098360655737705,0.3976608187134503,0.438423645320197,0.49367088607594933,0.5666666666666667,0.6886792452830188,
內蒙古自治區,,,,,,,,,0.33333333333333337,
遼寧,,,1.0,0.375,,0.14285714285714288,,0.25,0.17647058823529413,
吉林,,,,,,,,,,
黑龍江,,,,,0.5,,,,,
上海,0.746268656716418,0.7194719471947194,0.6923076923076923,0.5490196078431373,0.3953488372093023,0.6888888888888889,0.8888888888888887,1.0,0.64,
江蘇,0.4228187919463087,0.44481605351170567,0.4018691588785047,0.4678362573099415,0.2355769230769231,0.41071428571428575,0.6275862068965518,0.6666666666666665,0.44791666666666663,0.8095238095238094
浙江,0.47345132743362833,0.5196629213483147,0.44705882352941173,0.47447447447447444,0.5609756097560975,0.5714285714285715,0.56,0.4210526315789474,0.5740740740740742,0.7894736842105263
安徽,0.46111111111111114,0.43148148148148147,0.6470588235294117,0.2781954887218045,0.17575757575757575,0.20863309352517986,0.5595238095238095,0.5892857142857142,0.2602739726027397,0.3333333333333333
福建,0.36538461538461536,0.5390946502057613,0.4054054054054054,0.44720496894409933,0.4473684210526316,0.373134328358209,0.7999999999999999,0.21052631578947367,0.5172413793103449,0.4615384615384615
江西,0.5298013245033112,0.3791208791208791,0.15151515151515152,0.3073770491803279,0.47,0.47161572052401746,0.5588235294117647,0.39999999999999997,0.21428571428571427,
山東,0.4123711340206186,0.4333333333333333,0.5882352941176471,0.3915441176470589,0.5161290322580645,0.5710955710955711,0.43190661478599224,0.5714285714285714,0.65359477124183,0.8809523809523809
河南,0.5377358490566038,0.486682808716707,0.5679012345679012,0.39378238341968913,0.5978835978835978,0.3780487804878049,0.2857142857142857,0.4444444444444444,0.4755244755244755,0.588235294117647
湖北,0.5473684210526316,0.24752475247524752,0.4,0.2891566265060241,0.23333333333333334,0.3313253012048193,0.4812030075187971,0.3804347826086956,0.2826086956521739,
湖南,0.2898550724637681,0.26687116564417174,0.14583333333333334,0.37454545454545457,0.3626943005181347,0.4157303370786517,0.29310344827586204,0.5238095238095237,0.37142857142857144,0.4285714285714286
廣東,0.4714285714285714,0.5094339622641509,0.1212121212121212,0.4168937329700272,0.48514851485148514,0.42187500000000006,0.6494845360824741,0.43157894736842106,0.3365853658536585,0.11111111111111109
廣西壯族自治區,0.44444444444444453,0.30337078651685395,,0.368421052631579,0.537037037037037,0.21794871794871795,0.34782608695652173,0.1111111111111111,0.3684210526315789,
海南,0.5,0.4516129032258065,0.2,0.05405405405405405,0.75,0.2857142857142857,0.5,,0.391304347826087,
重慶,,0.7222222222222223,0.3333333333333333,0.022727272727272728,0.3650793650793651,0.43478260869565216,0.5,0.5128205128205129,0.35294117647058826,0.5
四川,0.05,0.0909090909090909,0.07142857142857142,0.14457831325301204,0.1917808219178082,0.30508474576271183,0.3947368421052631,0.41269841269841273,0.5,0.5
貴州,0.034482758620689655,0.09090909090909091,0.5,0.11904761904761905,0.27586206896551724,0.043478260869565216,,,0.5180722891566265,
雲南,,0.11475409836065575,0.0625,0.1111111111111111,0.4090909090909091,0.40909090909090906,0.42307692307692313,0.06666666666666667,0.3465346534653465,0.2857142857142857
西藏自治區,,0.0,,,,,,,,
陝西,0.6428571428571429,0.34901960784313724,0.23076923076923078,0.29943502824858753,0.29069767441860467,0.5909090909090909,0.45454545454545453,0.375,0.4213836477987421,
甘肅,0.05882352941176471,0.18867924528301888,0.2857142857142857,0.17886178861788618,0.5238095238095238,0.11627906976744184,0.14285714285714285,0.5294117647058825,0.18666666666666668,0.33333333333333337
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,,,,,,0.3333333333333333,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.24,0.1111111111111111,,,,0.4375,
