,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.03225806451612903,,,0.1,,,,0.4166666666666667,
天津,,,,0.16666666666666666,,,,,,
河北,0.23448275862068965,0.07795371498172961,0.024390243902439025,0.08453608247422681,0.09042553191489362,0.23281596452328163,0.09322033898305085,0.14107883817427386,0.11627906976744186,
山西,0.08974358974358974,0.12896405919661735,0.14285714285714285,0.05327868852459017,0.16374269005847955,0.019704433497536946,0.08860759493670887,0.14166666666666666,0.27735849056603773,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.2739273927392739,0.5192307692307693,0.13725490196078433,0.13953488372093023,0.2666666666666667,0.711111111111111,,0.5599999999999999,
江蘇,0.2080536912751678,0.16889632107023408,,0.0935672514619883,0.10096153846153846,0.03571428571428572,0.25517241379310346,0.075,0.2916666666666667,
浙江,0.13716814159292037,0.16853932584269665,,0.05105105105105105,0.17073170731707318,0.22077922077922077,0.4,0.16541353383458646,0.24074074074074078,
安徽,0.2,0.13148148148148148,0.058823529411764705,0.10025062656641603,0.03636363636363636,0.03597122302158273,0.047619047619047616,0.26785714285714285,0.12328767123287672,
福建,0.038461538461538464,0.053497942386831275,0.08108108108108109,0.006211180124223602,0.052631578947368425,0.05970149253731344,,,0.21839080459770116,
江西,0.01324503311258278,0.09523809523809525,0.030303030303030307,0.08196721311475409,0.045,0.11353711790393013,0.4411764705882353,0.21000000000000002,,
山東,0.030927835051546393,0.20555555555555555,0.01680672268907563,0.08088235294117647,0.12442396313364056,0.2027972027972028,0.27626459143968873,0.31547619047619047,0.1830065359477124,0.4523809523809524
河南,0.08962264150943396,0.1549636803874092,0.07407407407407408,0.10621761658031087,0.10052910052910052,0.10365853658536586,0.07936507936507936,0.16666666666666666,0.0675990675990676,
湖北,0.21052631578947367,0.0594059405940594,,0.008032128514056224,0.09166666666666667,0.16867469879518074,0.02255639097744361,0.14130434782608695,0.25,
湖南,0.14492753623188406,0.08588957055214724,,0.09818181818181819,0.031088082901554404,0.17415730337078653,0.15517241379310343,0.15476190476190477,0.05714285714285715,0.4285714285714286
廣東,0.07142857142857144,0.05121293800539083,,0.07084468664850135,0.009900990099009901,0.32031250000000006,0.010309278350515464,0.3052631578947368,0.12682926829268293,
廣西壯族自治區,0.027777777777777783,0.02247191011235955,0.25,0.07894736842105264,0.05555555555555555,0.10256410256410257,,0.25,0.16842105263157894,
海南,,,,,0.25,,,,,
重慶,,,,,,,0.041666666666666664,0.4358974358974359,0.15686274509803919,
四川,,,,0.024096385542168672,,0.10169491525423728,0.10526315789473684,0.3015873015873016,0.13839285714285712,
貴州,,,,0.02380952380952381,0.06896551724137931,,,,,
雲南,,0.01639344262295082,0.25,,0.4090909090909091,0.13636363636363635,0.30769230769230765,,0.04950495049504951,
西藏自治區,,0.0,,,,,,,,
陝西,0.125,0.058823529411764705,,0.022598870056497175,,0.14935064935064937,,0.05,0.08176100628930817,
甘肅,0.35294117647058826,0.02830188679245283,,0.056910569105691054,0.21428571428571427,,0.14285714285714285,0.11764705882352941,0.05333333333333334,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
