,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.3333333333333333,
天津,,,,,0.25,,0.9090909090909092,,0.3,
河北,0.14482758620689654,0.04506699147381243,,0.032989690721649485,0.010638297872340425,0.03325942350332594,0.07627118644067796,0.15352697095435683,0.08720930232558138,
山西,0.08974358974358974,0.004228329809725159,,0.02868852459016394,,,0.18987341772151897,0.008333333333333333,0.04150943396226415,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.373134328358209,0.30363036303630364,,0.09803921568627451,0.18604651162790697,0.1111111111111111,,0.15384615384615383,0.5,
江蘇,0.15436241610738255,0.11705685618729096,0.1869158878504673,0.07212475633528265,0.019230769230769232,0.15476190476190477,0.07586206896551724,0.16666666666666663,0.16666666666666666,0.38095238095238093
浙江,0.10176991150442477,0.2415730337078652,,0.11111111111111112,0.1056910569105691,0.15064935064935064,0.030000000000000002,0.16541353383458646,0.13703703703703704,
安徽,0.14444444444444446,0.06851851851851852,0.27450980392156865,0.06015037593984962,0.012121212121212121,0.050359712230215826,0.14285714285714285,0.2857142857142857,0.0410958904109589,
福建,,0.1522633744855967,,0.16770186335403725,0.052631578947368425,0.01492537313432836,,0.05263157894736842,0.14942528735632185,0.3076923076923077
江西,0.0662251655629139,0.07326007326007326,,0.040983606557377046,0.17,0.12227074235807861,0.14705882352941177,0.22,,
山東,0.061855670103092786,0.08472222222222221,,0.05330882352941177,0.004608294930875577,0.19114219114219114,0.14396887159533076,0.2797619047619047,0.11928104575163398,0.2619047619047619
河南,0.14150943396226415,0.09443099273607748,0.04938271604938271,0.015544041450777202,0.052910052910052914,0.030487804878048783,,0.08333333333333333,0.055944055944055944,
湖北,0.0736842105263158,0.04950495049504951,,0.03614457831325301,0.008333333333333333,0.09036144578313253,0.10526315789473685,0.2608695652173913,0.15217391304347824,
湖南,0.09420289855072465,0.03987730061349693,,0.003636363636363637,0.015544041450777202,0.056179775280898875,0.13793103448275862,0.2142857142857143,0.05714285714285715,0.4285714285714286
廣東,0.21428571428571427,0.1320754716981132,,0.0544959128065395,0.029702970297029705,0.19531250000000003,0.08247422680412371,0.07368421052631578,0.12195121951219512,0.44444444444444436
廣西壯族自治區,0.1388888888888889,0.06741573033707865,,,0.09259259259259259,,,,0.021052631578947368,
海南,0.4,,,0.1081081081081081,,,,,0.17391304347826086,
重慶,,,,,,,0.125,0.1794871794871795,0.23529411764705882,
四川,,,0.07142857142857142,0.012048192771084336,,0.01694915254237288,0.23684210526315788,0.16666666666666666,0.049107142857142856,0.5
貴州,,,,,0.034482758620689655,0.13043478260869565,,,0.22891566265060243,
雲南,,,0.25,0.037037037037037035,,,0.23076923076923078,,0.009900990099009901,0.14285714285714285
西藏自治區,,0.0,,,,,,,,
陝西,0.10714285714285714,,,0.022598870056497175,0.011627906976744186,0.006493506493506494,,0.05,0.006289308176100629,
甘肅,,0.018867924528301886,,,,,,,0.04,
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.07999999999999999,,,,,0.0625,
