,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.3225806451612903,,0.07142857142857142,0.2,0.25,0.2,0.7272727272727273,0.08333333333333333,
天津,,0.3076923076923077,,0.41666666666666663,,0.6666666666666667,0.6363636363636364,,,
河北,0.489655172413793,0.338611449451888,0.36585365853658536,0.26597938144329897,0.5212765957446809,0.3348115299334812,0.5211864406779662,0.40663900414937754,0.29941860465116277,
山西,0.24358974358974358,0.3847780126849894,0.02040816326530612,0.33196721311475413,0.4853801169590643,0.5270935960591133,0.45569620253164556,0.5499999999999999,0.8169811320754717,
內蒙古自治區,,0.6666666666666666,,,,,,,0.6666666666666667,
遼寧,,,,0.5,,,0.5,,,
吉林,,,,,,,1.0,,0.39999999999999997,
黑龍江,,,,0.25,0.5,0.5555555555555556,,,,
上海,0.6268656716417911,0.5874587458745875,0.21153846153846156,0.4901960784313726,,0.2,0.9333333333333332,,0.5,
江蘇,0.4026845637583893,0.4331103678929766,0.5514018691588786,0.39181286549707606,0.4182692307692308,0.4166666666666667,0.6551724137931035,0.5416666666666666,0.2881944444444444,0.09523809523809523
浙江,0.3584070796460177,0.40870786516853935,0.7529411764705882,0.3513513513513513,0.44308943089430897,0.464935064935065,0.55,0.2932330827067669,0.362962962962963,0.3684210526315789
安徽,0.26666666666666666,0.22037037037037038,0.4313725490196078,0.3684210526315789,0.26666666666666666,0.3597122302158274,0.369047619047619,0.35714285714285715,0.0273972602739726,
福建,0.15384615384615385,0.25925925925925924,0.5945945945945946,0.2857142857142857,0.34210526315789475,0.16417910447761194,0.6,0.05263157894736842,0.16091954022988506,0.38461538461538464
江西,0.3973509933774834,0.2875457875457876,0.030303030303030307,0.3729508196721311,0.27,0.5545851528384279,0.4411764705882353,0.3,0.10714285714285714,
山東,0.35051546391752575,0.2361111111111111,0.29411764705882354,0.3345588235294118,0.2995391705069125,0.34965034965034963,0.32684824902723736,0.08333333333333333,0.380718954248366,0.3333333333333333
河南,0.35377358490566035,0.324455205811138,0.4444444444444444,0.38341968911917096,0.13227513227513227,0.39634146341463417,0.3650793650793651,0.05555555555555555,0.31934731934731936,
湖北,0.26315789473684215,0.2508250825082508,0.22857142857142856,0.18875502008032127,0.25,0.18674698795180722,0.07518796992481204,0.17391304347826086,0.20652173913043476,
湖南,0.31884057971014496,0.13803680981595093,0.0625,0.22545454545454546,0.35751295336787564,0.26404494382022475,0.017241379310344827,0.17857142857142858,0.2714285714285714,0.14285714285714288
廣東,0.34285714285714286,0.2183288409703504,0.1818181818181818,0.20435967302452313,0.0693069306930693,0.203125,0.12371134020618556,0.3368421052631579,0.23902439024390246,0.7777777777777777
廣西壯族自治區,0.11111111111111113,0.20224719101123595,,0.1929824561403509,0.2962962962962963,0.25641025641025644,0.34782608695652173,0.08333333333333333,0.2894736842105263,0.25
海南,0.5,0.06451612903225806,0.2,0.13513513513513511,0.75,0.03571428571428571,0.16666666666666666,0.6000000000000001,0.6521739130434783,
重慶,0.09999999999999999,0.6111111111111112,0.1111111111111111,0.2727272727272727,0.25396825396825395,0.1956521739130435,0.5,0.48717948717948717,0.15686274509803919,
四川,0.45,,0.21428571428571427,0.25301204819277107,0.28767123287671237,0.23728813559322032,0.28947368421052627,0.4365079365079365,0.36160714285714285,1.0
貴州,0.10344827586206896,,,0.11904761904761905,0.13793103448275862,0.043478260869565216,,0.07142857142857142,0.5301204819277109,
雲南,,0.42622950819672134,0.4375,,0.045454545454545456,0.13636363636363635,,0.06666666666666667,0.2376237623762376,0.2857142857142857
西藏自治區,,0.0,,,,,,,1.0,
陝西,0.37499999999999994,0.49019607843137253,0.5,0.37288135593220334,0.313953488372093,0.35064935064935066,,0.05,0.5660377358490566,
甘肅,,0.27358490566037735,0.14285714285714285,0.3333333333333333,0.14285714285714285,,,0.11764705882352941,0.21333333333333335,
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,0.5,1.0,0.3333333333333333,0.5,,0.3333333333333333,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.11111111111111112,,0.4,0.2222222222222222,,,0.5714285714285714,0.3125,
