,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.25806451612903225,,,,,,,0.3333333333333333,
天津,,0.07692307692307693,,,,,,,,
河北,0.393103448275862,0.21315468940316687,0.1869918699186992,0.15670103092783505,0.1595744680851064,0.2549889135254989,0.1694915254237288,0.21161825726141076,0.18895348837209303,
山西,0.05128205128205128,0.12473572938689219,0.12244897959183672,0.05327868852459017,0.04093567251461989,0.15763546798029557,0.1518987341772152,0.25,0.33584905660377357,
內蒙古自治區,,,,,,,,,,
遼寧,,,,0.375,,0.14285714285714288,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.373134328358209,0.40594059405940597,0.5192307692307693,0.43137254901960786,0.09302325581395349,0.4444444444444444,,,0.6,
江蘇,0.23489932885906042,0.12040133779264213,0.4112149532710281,0.19103313840155944,0.17788461538461536,0.3273809523809524,0.2,0.2833333333333333,0.3298611111111111,0.4285714285714285
浙江,0.168141592920354,0.19382022471910115,0.25882352941176473,0.1741741741741742,0.25609756097560976,0.26233766233766237,0.51,0.1954887218045113,0.2,0.42105263157894735
安徽,0.11666666666666667,0.07777777777777778,0.27450980392156865,0.017543859649122806,0.04242424242424242,0.02158273381294964,0.07142857142857142,0.35714285714285715,0.0821917808219178,0.3333333333333333
福建,0.05769230769230769,0.22222222222222224,0.2972972972972973,0.19875776397515527,0.368421052631579,0.05970149253731344,,0.05263157894736842,0.1839080459770115,0.07692307692307693
江西,0.04635761589403973,0.07142857142857142,,0.02459016393442623,0.055,0.14410480349344978,0.029411764705882353,0.15,,
山東,0.1134020618556701,0.18333333333333335,0.21848739495798322,0.19301470588235295,0.2304147465437788,0.3076923076923077,0.21011673151750973,0.4166666666666666,0.326797385620915,0.5714285714285715
河南,0.2169811320754717,0.15980629539951574,0.1111111111111111,0.17875647668393782,0.19047619047619047,0.20731707317073172,,0.05555555555555555,0.34731934731934727,0.058823529411764705
湖北,0.16842105263157894,0.07260726072607261,0.05714285714285714,0.06024096385542168,0.058333333333333334,0.20481927710843373,0.030075187969924817,0.16304347826086957,0.22826086956521738,
湖南,0.021739130434782608,0.018404907975460124,0.125,0.03272727272727273,0.03626943005181347,0.06179775280898877,0.12068965517241377,0.20238095238095238,0.1142857142857143,
廣東,,0.09433962264150943,,0.07901907356948228,0.099009900990099,0.19531250000000003,0.32989690721649484,0.3368421052631579,0.18048780487804877,0.44444444444444436
廣西壯族自治區,,0.05617977528089887,,0.08771929824561404,0.037037037037037035,0.10256410256410257,,,0.12631578947368421,0.125
海南,,0.09677419354838711,,0.027027027027027025,,0.21428571428571427,0.5,0.2,0.043478260869565216,
重慶,,,,0.09090909090909091,0.031746031746031744,,0.16666666666666666,0.28205128205128205,0.1372549019607843,
四川,,,,0.07228915662650602,0.12328767123287672,0.01694915254237288,0.05263157894736842,0.11904761904761905,0.10714285714285714,0.5
貴州,,,,,,,0.2,,0.13253012048192772,
雲南,,0.06557377049180328,,0.037037037037037035,0.045454545454545456,,,,0.019801980198019802,0.14285714285714285
西藏自治區,,0.0,,,,,,,,
陝西,0.25,0.10980392156862744,0.07692307692307693,0.15254237288135594,0.011627906976744186,0.12337662337662339,,0.25,0.2389937106918239,
甘肅,0.11764705882352942,,,0.032520325203252036,0.3095238095238095,0.023255813953488372,0.14285714285714285,0.17647058823529413,0.04,0.33333333333333337
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.31999999999999995,,0.75,0.3333333333333333,0.2857142857142857,0.125,
