,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.4375,,,0.6666666666666666,0.75,,,0.3333333333333333,
天津,0.8,0.09090909090909091,,0.16666666666666666,,0.2,,,,
河北,0.624561403508772,0.424812030075188,0.7831325301204819,0.39730639730639733,0.5191256830601093,0.6245487364620937,0.7123287671232876,0.6516129032258065,0.5545722713864306,
山西,0.4716981132075472,0.5336322869955157,,0.30493273542600896,0.3986013986013986,0.5362318840579711,0.4313725490196078,0.6779661016949153,0.7535545023696683,
內蒙古自治區,,,,,,,,,,
遼寧,,0.33333333333333337,,0.18181818181818182,,0.17647058823529413,0.3333333333333333,0.16666666666666666,0.2888888888888889,
吉林,,,,,,,,,,
黑龍江,,,,,,1.0,,,,
上海,0.4074074074074074,0.6584158415841584,0.6989247311827957,0.6571428571428571,0.5238095238095238,0.4485981308411215,0.5862068965517242,,0.6610169491525424,
江蘇,0.33064516129032256,0.5313653136531366,0.4786324786324786,0.3888888888888889,0.528,0.4702380952380953,0.3978494623655914,0.35294117647058826,0.3076923076923077,0.7142857142857143
浙江,0.28909952606635064,0.628808864265928,0.5873015873015872,0.39170506912442393,0.5891891891891893,0.554089709762533,0.6736842105263158,0.425,0.398876404494382,0.4444444444444444
安徽,0.22429906542056077,0.34104046242774566,0.16666666666666666,0.36103151862464183,0.20879120879120877,0.18750000000000003,0.4175824175824176,0.27999999999999997,0.34375,
福建,0.10091743119266056,0.18548387096774194,0.13432835820895522,0.12962962962962962,,0.2391304347826087,0.4193548387096775,0.03448275862068966,0.27419354838709675,0.33333333333333337
江西,0.30909090909090914,0.25418060200668896,0.18918918918918917,0.14968152866242038,0.44329896907216493,0.3231441048034935,0.3829787234042554,0.37662337662337664,0.24,1.0
山東,0.492063492063492,0.485207100591716,0.5562913907284768,0.43057996485061517,0.4618834080717489,0.5377358490566038,0.6505376344086021,0.39999999999999997,0.694560669456067,0.3333333333333333
河南,0.46590909090909083,0.6530278232405891,0.4507042253521127,0.4880636604774536,0.4563106796116505,0.5035971223021583,0.5714285714285714,0.42500000000000004,0.7064676616915423,0.8181818181818181
湖北,0.08256880733944955,0.14492753623188406,0.25,0.2077922077922078,0.08771929824561403,0.25830258302583026,0.5072463768115941,0.23333333333333336,0.25925925925925924,
湖南,0.19161676646706588,0.1445086705202312,0.1846153846153846,0.18134715025906734,0.109375,0.1989795918367347,0.36363636363636365,0.04054054054054054,0.058823529411764705,0.16666666666666669
廣東,0.12213740458015267,0.1453900709219858,0.15853658536585366,0.15362318840579708,0.2098765432098766,0.31884057971014496,0.28358208955223885,0.39473684210526316,0.296875,
廣西壯族自治區,,0.05970149253731343,,0.05825242718446602,0.20512820512820512,0.22222222222222224,0.3488372093023256,0.05660377358490567,0.28571428571428575,
海南,0.25925925925925924,0.23684210526315788,,0.14285714285714285,,0.5714285714285714,0.4,,0.30000000000000004,
重慶,,,,,,0.23636363636363636,0.34782608695652173,0.46938775510204084,0.34210526315789475,
四川,0.04081632653061224,0.14285714285714285,0.19999999999999998,0.015384615384615384,0.15000000000000002,0.09876543209876544,0.375,0.23232323232323232,0.34517766497461927,
貴州,,,,0.075,0.04347826086956522,0.0689655172413793,0.75,0.03225806451612903,0.39285714285714285,
雲南,0.07692307692307693,0.2641509433962264,,0.08,0.25,0.2222222222222222,0.25,0.368421052631579,0.3695652173913043,
西藏自治區,,0.0,,,,,,,,
陝西,0.4,0.5132743362831859,0.2857142857142857,0.6226415094339622,0.4090909090909091,0.44444444444444453,,0.6341463414634146,0.6153846153846154,
甘肅,0.41666666666666663,0.17391304347826086,,0.23880597014925373,0.25,0.15624999999999997,,0.21212121212121213,0.2278481012658228,0.37499999999999994
青海,,,0.0,,,,,0.5,0.2,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.11111111111111109,0.2,,,,0.4444444444444445,
