,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.8124999999999999,,,,0.35714285714285715,,0.1111111111111111,0.3333333333333333,
天津,0.6,0.8181818181818182,,0.5,0.42857142857142855,0.8,,,1.0,
河北,0.5859649122807018,0.5958646616541353,0.6987951807228915,0.6363636363636364,0.6065573770491803,0.6101083032490975,0.636986301369863,0.7806451612903226,0.6017699115044248,0.5
山西,0.169811320754717,0.5067264573991032,0.38461538461538464,0.4170403587443946,0.5174825174825175,0.4154589371980676,0.33333333333333337,0.3898305084745763,0.7511848341232227,
內蒙古自治區,,0.6,,0.5,,,,,0.125,
遼寧,,0.8333333333333334,,0.5454545454545455,0.5,0.23529411764705885,,0.3333333333333333,0.4444444444444444,0.3076923076923077
吉林,,,1.0,,,1.0,,,0.75,0.5
黑龍江,,,,,0.5,0.33333333333333337,,,,1.0
上海,0.48148148148148145,0.25742574257425743,0.7526881720430108,0.5571428571428572,0.6666666666666666,0.5981308411214953,0.6551724137931035,,0.288135593220339,
江蘇,0.532258064516129,0.6863468634686346,0.7948717948717949,0.6901709401709402,0.496,0.6517857142857143,0.34408602150537637,0.392156862745098,0.452991452991453,1.0
浙江,0.2843601895734597,0.5180055401662049,0.5396825396825397,0.3870967741935484,0.4324324324324324,0.5461741424802111,0.5052631578947369,0.225,0.5786516853932584,1.0
安徽,0.21495327102803738,0.4421965317919075,0.3055555555555555,0.6446991404011461,0.7032967032967032,0.4296875,0.13186813186813187,0.19999999999999998,0.31249999999999994,0.4285714285714286
福建,0.1743119266055046,0.3306451612903226,0.3731343283582089,0.3024691358024691,0.16666666666666669,0.358695652173913,0.12903225806451613,0.1724137931034483,0.45161290322580644,0.25
江西,0.1393939393939394,0.5451505016722408,0.43243243243243246,0.32802547770700635,0.5051546391752577,0.5589519650655022,0.27659574468085113,0.5974025974025975,0.12,
山東,0.20634920634920634,0.6908284023668639,0.6291390728476821,0.5518453427065027,0.31390134529147984,0.389937106918239,0.34408602150537637,0.14545454545454545,0.42050209205020916,
河南,0.32954545454545453,0.5450081833060556,0.4929577464788733,0.49602122015915123,0.43203883495145634,0.38848920863309355,0.3214285714285714,0.19999999999999998,0.36318407960199006,0.4545454545454545
湖北,0.22018348623853212,0.4202898550724638,0.1111111111111111,0.3116883116883117,0.08771929824561403,0.4243542435424354,0.4202898550724638,0.1,0.25925925925925924,
湖南,0.10778443113772455,0.3063583815028902,0.30769230769230765,0.22279792746113988,0.46875,0.346938775510204,0.30303030303030304,0.2635135135135135,0.19607843137254904,0.16666666666666669
廣東,0.2748091603053435,0.38652482269503546,0.6829268292682926,0.3942028985507246,0.308641975308642,0.34057971014492755,0.49253731343283585,,0.3203125,0.3333333333333333
廣西壯族自治區,0.08000000000000002,0.17164179104477612,0.2,0.19417475728155342,0.05128205128205128,0.1388888888888889,0.3023255813953488,0.09433962264150944,0.25,
海南,0.2962962962962963,0.23684210526315788,,0.5,,0.07142857142857142,0.5,,0.1,
重慶,,,1.0,0.44,0.5714285714285715,0.34545454545454546,0.2173913043478261,0.3673469387755102,0.39473684210526316,
四川,,0.2857142857142857,0.6,0.2923076923076923,0.39999999999999997,0.5555555555555556,0.25,0.31313131313131315,0.4467005076142132,1.0
貴州,0.043478260869565216,0.08333333333333333,,0.15,0.04347826086956522,0.31034482758620685,,,0.125,
雲南,0.15384615384615385,0.11320754716981132,,0.04,0.1710526315789474,0.2222222222222222,0.10714285714285715,0.15789473684210528,0.06521739130434782,
西藏自治區,,0.0,,,,1.0,,,,
陝西,0.08571428571428572,0.5132743362831859,0.7857142857142857,0.7044025157232704,0.4848484848484848,0.4962962962962963,,0.21951219512195122,0.6461538461538461,
甘肅,,0.3188405797101449,,0.208955223880597,0.15000000000000002,0.1875,,0.15151515151515152,0.1518987341772152,
青海,,,0.0,,,,,,0.3,
寧夏回族自治區,,,,0.75,,,,,0.5,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.3939393939393939,,0.3333333333333333,0.8,0.25,0.5,,0.11111111111111112,
