,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.4375,,,,0.5,,0.8888888888888888,0.16666666666666666,
天津,,0.27272727272727276,,0.2333333333333333,0.14285714285714285,0.1,,,0.75,
河北,0.20701754385964913,0.5958646616541353,0.38554216867469876,0.5185185185185185,0.48087431693989074,0.5451263537906137,0.7876712328767123,0.5806451612903225,0.5929203539823009,
山西,0.4056603773584906,0.5852017937219731,0.3076923076923077,0.4798206278026906,0.5944055944055944,0.5748792270531401,0.5686274509803921,0.576271186440678,0.8270142180094787,
內蒙古自治區,,,,,,,,,0.5,
遼寧,,,,0.45454545454545453,,0.17647058823529413,,0.16666666666666666,0.2,
吉林,,,,,,,1.0,,0.125,0.3333333333333333
黑龍江,,,,,1.0,,,,,
上海,0.5555555555555556,0.504950495049505,0.3548387096774194,0.34285714285714286,0.5714285714285714,0.04672897196261682,,,0.33898305084745767,
江蘇,0.4032258064516129,0.4797047970479704,0.452991452991453,0.4444444444444444,0.624,0.08630952380952382,0.5698924731182796,0.4901960784313726,0.35897435897435903,0.34285714285714286
浙江,0.6066350710900474,0.6869806094182825,0.5873015873015872,0.5115207373271888,0.5351351351351352,0.5461741424802111,0.4421052631578948,0.5499999999999999,0.3595505617977528,
安徽,0.588785046728972,0.5751445086705202,0.19444444444444445,0.46704871060171915,0.6923076923076923,0.3203125,0.3516483516483517,0.12,0.15624999999999997,0.2857142857142857
福建,0.26605504587155965,0.49193548387096775,0.28358208955223885,0.26543209876543206,0.22222222222222224,0.30434782608695654,0.12903225806451613,0.20689655172413793,0.3225806451612903,0.33333333333333337
江西,0.3878787878787879,0.49163879598662213,0.13513513513513511,0.2643312101910828,0.4948453608247423,0.39301310043668125,0.2127659574468085,0.37662337662337664,0.16,
山東,0.36507936507936506,0.48668639053254437,0.29801324503311255,0.47275922671353254,0.4708520179372197,0.5911949685534591,0.6290322580645161,0.38181818181818183,0.6527196652719665,1.0
河南,0.43181818181818177,0.5220949263502455,0.29577464788732394,0.4509283819628647,0.6067961165048544,0.5107913669064749,0.30357142857142855,0.15,0.5845771144278606,
湖北,0.4587155963302753,0.5,0.16666666666666666,0.43506493506493504,0.4736842105263158,0.1992619926199262,0.5652173913043478,0.3,0.2962962962962963,
湖南,0.467065868263473,0.3930635838150289,0.0923076923076923,0.461139896373057,0.453125,0.2704081632653061,0.48484848484848486,0.13513513513513514,0.47058823529411764,0.16666666666666669
廣東,0.1603053435114504,0.3368794326241135,0.25609756097560976,0.4115942028985507,0.4814814814814815,0.2463768115942029,0.1940298507462687,0.5526315789473685,0.48437499999999994,0.3333333333333333
廣西壯族自治區,0.38,0.3208955223880597,0.2,0.5242718446601942,0.48717948717948717,0.5277777777777778,0.5116279069767442,0.20754716981132076,0.48214285714285715,
海南,0.25925925925925924,0.5526315789473684,,0.4285714285714286,1.0,0.7142857142857143,0.3,0.5,0.8,
重慶,0.3,0.3333333333333333,1.0,0.36,0.7428571428571429,0.3090909090909091,0.5217391304347826,0.46938775510204084,0.4473684210526316,
四川,0.16326530612244897,0.4285714285714286,0.6,0.38461538461538464,0.4166666666666667,0.2839506172839506,0.5416666666666666,0.5656565656565656,0.5279187817258884,
貴州,0.6521739130434783,0.08333333333333333,,0.225,0.4347826086956522,0.3448275862068965,0.25,0.22580645161290322,0.5,
雲南,,0.20754716981132076,,0.04,0.1842105263157895,,0.07142857142857142,0.07894736842105264,0.4782608695652174,
西藏自治區,,0.0,,,,,,,1.0,
陝西,0.05714285714285715,0.7256637168141594,0.7142857142857142,0.5786163522012578,0.5606060606060606,0.5333333333333334,0.25,0.12195121951219512,0.6584615384615384,
甘肅,0.41666666666666663,0.6376811594202898,,0.4925373134328358,0.2,0.375,0.25,0.30303030303030304,0.4556962025316456,0.125
青海,,0.5,0.0,,,,,,,
寧夏回族自治區,,0.8,,0.25,1.0,,1.0,,1.0,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.1818181818181818,,,,0.375,,0.42857142857142855,0.3888888888888889,
