,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,1.0,1.0,0.2857142857142857,,,0.6666666666666666,
天津,1.0,0.5454545454545455,,0.4,0.5714285714285714,0.7000000000000001,,,0.25,
河北,0.6877192982456141,0.34022556390977443,0.4337349397590361,0.4377104377104377,0.23497267759562843,0.46570397111913353,0.3972602739726028,0.632258064516129,0.26843657817109146,
山西,0.1320754716981132,0.0695067264573991,,0.1614349775784753,0.10489510489510488,0.07729468599033816,0.29411764705882354,0.2203389830508475,0.06398104265402844,
內蒙古自治區,,,,,,,,,,
遼寧,1.0,,,0.5454545454545455,0.5,0.35294117647058826,,0.3333333333333333,0.37777777777777777,0.7692307692307693
吉林,,,,,,,,,0.125,0.8333333333333334
黑龍江,,,,,,1.0,,,,
上海,0.4444444444444444,0.38118811881188114,0.6129032258064516,0.37142857142857144,0.2857142857142857,0.6728971962616822,,,0.13559322033898308,
江蘇,0.6048387096774193,0.6457564575645757,0.6666666666666666,0.4829059829059829,0.36,0.836309523809524,0.08602150537634409,0.45098039215686275,0.36752136752136755,0.8571428571428571
浙江,0.3696682464454976,0.4986149584487535,0.38095238095238093,0.34101382488479265,0.44864864864864873,0.6174142480211081,0.5789473684210527,0.15,0.6292134831460674,0.3333333333333333
安徽,0.3271028037383178,0.2832369942196532,0.4722222222222222,0.495702005730659,0.3846153846153846,0.6328125,0.2857142857142857,0.36,0.59375,1.0
福建,0.11926605504587157,0.2903225806451613,0.417910447761194,0.2777777777777778,0.11111111111111112,0.25,0.45161290322580644,0.2758620689655173,0.6451612903225806,0.25
江西,0.3878787878787879,0.3010033444816054,0.3513513513513513,0.32802547770700635,0.1752577319587629,0.6157205240174672,0.27659574468085113,0.6233766233766234,0.4,0.5
山東,0.5238095238095238,0.3121301775147929,0.4966887417218543,0.4112478031634446,0.2645739910313901,0.32389937106918243,0.2795698924731183,0.49090909090909085,0.3284518828451883,0.8333333333333333
河南,0.43181818181818177,0.35842880523731585,0.7183098591549296,0.2917771883289125,0.09708737864077671,0.26618705035971224,0.23214285714285712,0.42500000000000004,0.2885572139303483,0.2727272727272727
湖北,0.3119266055045872,0.3550724637681159,0.7222222222222222,0.33766233766233766,0.2631578947368421,0.6678966789667897,0.2463768115942029,0.3666666666666667,0.3333333333333333,
湖南,0.1377245508982036,0.2023121387283237,0.523076923076923,0.18134715025906734,0.25,0.510204081632653,0.3333333333333333,0.33783783783783783,0.11764705882352941,0.5833333333333334
廣東,0.1603053435114504,0.2730496453900709,0.6341463414634146,0.24057971014492752,0.33333333333333337,0.4492753623188406,0.1940298507462687,0.1842105263157895,0.5625,
廣西壯族自治區,0.16000000000000003,0.20149253731343283,0.4,0.16504854368932037,0.28205128205128205,0.02777777777777778,0.16279069767441862,0.11320754716981134,0.255952380952381,
海南,0.3333333333333333,0.05263157894736842,,,,0.42857142857142855,0.1,,0.2,
重慶,,0.08333333333333333,1.0,0.12000000000000001,0.17142857142857143,0.19999999999999998,0.34782608695652173,0.5510204081632654,0.3684210526315789,
四川,,0.2857142857142857,0.19999999999999998,0.16923076923076924,0.21666666666666667,0.18518518518518517,0.6249999999999999,0.31313131313131315,0.1878172588832487,
貴州,0.043478260869565216,0.16666666666666666,,,,0.0689655172413793,,0.12903225806451613,0.3571428571428571,0.3333333333333333
雲南,0.07692307692307693,0.2830188679245283,,0.16,0.22368421052631582,0.1111111111111111,0.25,0.2368421052631579,0.2608695652173913,
西藏自治區,,0.0,,,,,,,,
陝西,0.028571428571428574,0.04867256637168142,,0.05031446540880503,0.2272727272727273,0.2518518518518519,,0.36585365853658536,0.19384615384615383,
甘肅,,0.13043478260869562,,0.07462686567164178,0.05,0.0625,,,0.0379746835443038,1.0
青海,,,0.0,,,,,,0.2,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.030303030303030304,,,,,,0.2857142857142857,0.3888888888888889,
