,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.023569023569023566,,,,,,
山西,0.04716981132075472,0.002242152466367713,,,,,,,0.04028436018957346,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,0.08530805687203791,0.04709141274238227,,,,0.013192612137203167,,,0.05056179775280899,
安徽,,,,,,0.023437500000000003,,,,
福建,,,,,,,,,,
江西,,,,0.012738853503184712,,,,,,
山東,,,,,0.03139013452914798,,,0.01818181818181818,,
河南,,0.07528641571194762,,,0.4174757281553398,0.007194244604316547,,0.09999999999999999,,
湖北,0.01834862385321101,,,0.01948051948051948,,,,,,
湖南,,,,,,0.061224489795918366,,,,
廣東,,,,,,,,,0.109375,
廣西壯族自治區,,,,,0.10256410256410256,,,,0.011904761904761906,
海南,,,,,,,,,,
重慶,,,,,,,,,0.15789473684210525,
四川,,,,,,,0.041666666666666664,,0.04568527918781726,
貴州,,,,,,,,,0.07142857142857142,
雲南,,,,0.04,,,,,0.08695652173913043,
西藏自治區,,0.0,,,,,,,,
陝西,,0.035398230088495575,,0.006289308176100628,,,,,0.006153846153846154,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.4444444444444445,
