,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.35714285714285715,,,,,,,,0.16666666666666666,
天津,,0.18181818181818182,,0.13333333333333333,,,,,0.25,
河北,0.22105263157894736,0.15977443609022554,,0.11784511784511785,0.19125683060109291,0.21299638989169675,0.8424657534246576,0.3032258064516129,0.19469026548672566,0.5
山西,0.4056603773584906,0.16367713004484305,0.11538461538461539,0.03139013452914798,0.027972027972027972,0.2705314009661836,0.29411764705882354,0.016949152542372885,0.13744075829383887,
內蒙古自治區,,,,,,0.5,,,,
遼寧,,,,,,0.05882352941176471,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.2524752475247525,0.5913978494623656,0.04285714285714286,,0.06542056074766354,0.5517241379310345,,0.05084745762711865,
江蘇,0.016129032258064516,0.22324723247232472,0.29914529914529914,0.19444444444444445,0.192,0.02380952380952381,0.6451612903225806,0.27450980392156865,0.3162393162393162,
浙江,,0.13296398891966757,,0.10599078341013825,,0.023746701846965697,0.24210526315789474,,,
安徽,0.009345794392523366,0.3439306358381503,0.05555555555555555,0.08309455587392549,0.0879120879120879,0.2421875,0.5934065934065934,0.19999999999999998,0.03125,
福建,,,0.014925373134328358,,,0.15217391304347827,,,,0.08333333333333334
江西,0.006060606060606061,0.07357859531772576,,,,0.2576419213973799,0.04255319148936171,,,
山東,0.2380952380952381,0.17751479289940827,0.21192052980132448,0.18980667838312829,0.12556053811659193,0.29559748427672955,0.8387096774193549,0.2545454545454545,0.23221757322175732,0.6666666666666666
河南,,0.26677577741407527,0.21126760563380284,0.19893899204244034,0.08252427184466019,0.19424460431654678,0.6785714285714286,0.09999999999999999,0.208955223880597,
湖北,0.009174311926605505,0.021739130434782608,,0.06493506493506494,,0.10701107011070111,0.5217391304347826,0.03333333333333333,,
湖南,,0.005780346820809248,,0.02590673575129534,,0.061224489795918366,0.3333333333333333,0.033783783783783786,,
廣東,0.03816793893129771,0.07446808510638298,,0.03768115942028985,0.04938271604938271,0.08695652173913045,0.13432835820895522,,0.0546875,
廣西壯族自治區,,,,0.038834951456310676,0.1282051282051282,0.33333333333333337,0.5116279069767442,0.01886792452830189,0.08333333333333334,
海南,,,,,,0.14285714285714285,,,,
重慶,,,,,,0.05454545454545454,,0.3673469387755102,,
四川,,,,0.015384615384615384,,,,0.15151515151515152,0.02030456852791878,
貴州,,,,,,,,,0.053571428571428575,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,1.0,,,
陝西,0.37142857142857144,0.18141592920353986,,,,0.04444444444444445,0.5,0.2682926829268293,0.1076923076923077,
甘肅,,,,,,,,0.0606060606060606,0.02531645569620253,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,0.07142857142857142,,
