,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,0.10714285714285714,,,,
天津,,,,,,,,,,
河北,0.07017543859649122,0.11842105263157893,0.3253012048192771,0.026936026936026935,0.0819672131147541,0.2779783393501805,0.00684931506849315,0.05161290322580645,0.28613569321533927,
山西,0.07547169811320754,0.16143497757847533,,0.09417040358744393,,0.00966183574879227,0.11764705882352941,0.440677966101695,0.38388625592417064,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.15555555555555556,0.6923076923076923
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.2623762376237624,0.13978494623655915,0.28571428571428575,,0.2616822429906542,,1.0,0.6440677966101696,
江蘇,0.28225806451612906,0.11808118081180811,0.07692307692307691,0.30128205128205127,0.272,0.13988095238095238,0.30107526881720426,0.4313725490196078,0.07692307692307693,
浙江,0.03317535545023697,0.14958448753462603,,0.17511520737327188,0.3027027027027027,0.1978891820580475,0.16842105263157894,0.75,0.11235955056179774,
安徽,0.01869158878504673,0.11560693641618495,0.027777777777777776,0.2292263610315186,0.0989010989010989,0.18750000000000003,0.5054945054945055,0.44,0.03125,
福建,0.21100917431192662,0.04032258064516129,0.14925373134328357,0.08024691358024691,0.22222222222222224,0.03260869565217392,0.06451612903225806,,0.016129032258064516,
江西,0.16363636363636364,0.0568561872909699,0.05405405405405406,0.07006369426751592,0.051546391752577324,0.24017467248908297,0.12765957446808512,0.1168831168831169,,
山東,,0.16420118343195267,0.07947019867549669,0.2530755711775044,0.19282511210762332,0.18238993710691825,0.11827956989247314,0.32727272727272727,0.2384937238493724,0.16666666666666666
河南,0.07954545454545454,0.22913256955810146,0.28169014084507044,0.246684350132626,0.3640776699029127,0.07194244604316548,,0.075,0.26616915422885573,
湖北,0.13761467889908258,0.14492753623188406,0.5277777777777778,0.012987012987012988,0.052631578947368425,0.23985239852398527,0.057971014492753624,,,
湖南,0.25149700598802394,0.028901734104046242,0.13846153846153844,0.07772020725388601,0.03125,0.18367346938775508,0.3333333333333333,0.04054054054054054,0.0784313725490196,0.16666666666666669
廣東,0.015267175572519083,0.05319148936170212,0.47560975609756095,0.03188405797101449,0.012345679012345678,0.04347826086956522,0.23880597014925373,0.052631578947368425,0.10156250000000001,
廣西壯族自治區,0.1,0.05223880597014925,,0.05825242718446602,0.07692307692307693,0.05555555555555556,0.09302325581395349,0.05660377358490567,0.08333333333333334,
海南,0.18518518518518517,0.23684210526315788,,,,0.07142857142857142,,,0.2,
重慶,0.7,,,,,0.16363636363636364,,,,
四川,0.2857142857142857,0.2380952380952381,,,0.09999999999999999,0.02469135802469136,0.041666666666666664,0.0808080808080808,0.07614213197969542,
貴州,0.08695652173913043,,,,,0.17241379310344826,0.25,0.1935483870967742,0.10714285714285715,
雲南,0.07692307692307693,0.169811320754717,,,0.10526315789473685,0.16666666666666666,0.07142857142857142,0.026315789473684216,0.043478260869565216,
西藏自治區,,0.0,,,,,,,,
陝西,,0.3672566371681416,,0.025157232704402514,,0.0074074074074074086,,0.21951219512195122,0.16615384615384615,
甘肅,,0.014492753623188404,,0.05970149253731343,0.05,0.03125,,0.21212121212121213,0.02531645569620253,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,0.21428571428571427,,
