,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.375,,,1.0,0.39285714285714285,,0.5555555555555556,0.3333333333333333,
天津,0.8,0.36363636363636365,,0.2,0.14285714285714285,0.2,,,,
河北,0.4456140350877193,0.43421052631578944,0.6385542168674698,0.43097643097643096,0.2677595628415301,0.4729241877256317,0.3767123287671233,0.6387096774193548,0.5103244837758112,0.5
山西,0.41509433962264153,0.4260089686098654,0.5384615384615384,0.390134529147982,0.26573426573426573,0.40096618357487923,0.5882352941176471,0.6779661016949153,0.6824644549763033,
內蒙古自治區,,,,,,,,,0.375,
遼寧,,,,,,0.05882352941176471,0.16666666666666666,0.16666666666666666,0.24444444444444444,0.15384615384615385
吉林,,,,,,,,,0.125,0.16666666666666666
黑龍江,,,,,,,,,,
上海,0.8148148148148148,0.8019801980198019,0.5053763440860215,0.5857142857142857,0.6666666666666666,0.794392523364486,0.9310344827586208,1.0,0.8135593220338984,
江蘇,0.45967741935483863,0.5553505535055351,0.4786324786324786,0.47863247863247865,0.416,0.6666666666666667,0.4516129032258065,0.6274509803921569,0.3162393162393162,0.9428571428571428
浙江,0.5071090047393365,0.7202216066481995,0.5238095238095237,0.35023041474654376,0.572972972972973,0.5910290237467019,0.8,0.375,0.6067415730337078,0.5555555555555556
安徽,0.44859813084112155,0.4682080924855491,0.41666666666666663,0.31232091690544406,0.1758241758241758,0.2109375,0.3626373626373626,0.24,0.1875,
福建,0.18348623853211007,0.3629032258064517,0.2537313432835821,0.25925925925925924,0.11111111111111112,0.17391304347826086,0.5806451612903226,0.3103448275862069,0.3870967741935484,0.33333333333333337
江西,0.4303030303030303,0.36120401337792646,0.05405405405405406,0.2802547770700637,0.422680412371134,0.3231441048034935,0.4893617021276596,0.4675324675324676,0.2,
山東,0.6190476190476191,0.4644970414201184,0.5231788079470199,0.39015817223198596,0.48878923766816146,0.5283018867924528,0.44086021505376344,0.6181818181818182,0.6757322175732218,0.6666666666666666
河南,0.43181818181818177,0.5499181669394435,0.33802816901408456,0.3952254641909815,0.529126213592233,0.3165467625899281,0.30357142857142855,0.6,0.4701492537313433,0.909090909090909
湖北,0.48623853211009177,0.2173913043478261,0.2222222222222222,0.33766233766233766,0.17543859649122806,0.23247232472324725,0.5072463768115941,0.38333333333333336,0.2962962962962963,1.0
湖南,0.24550898203592814,0.2254335260115607,0.07692307692307691,0.18134715025906734,0.375,0.2755102040816326,0.24242424242424243,0.35135135135135137,0.29411764705882354,0.08333333333333334
廣東,0.2900763358778626,0.2801418439716312,0.2804878048780488,0.3014492753623188,0.4320987654320988,0.34057971014492755,0.49253731343283585,0.4210526315789474,0.3046875,0.3333333333333333
廣西壯族自治區,0.27999999999999997,0.23880597014925373,,0.2912621359223301,0.38461538461538464,0.3055555555555556,0.2558139534883721,0.169811320754717,0.30952380952380953,
海南,0.4074074074074074,0.3421052631578947,,,0.6666666666666666,,0.3,,0.30000000000000004,
重慶,,0.6666666666666666,0.5,,0.2571428571428572,0.2909090909090909,0.7391304347826088,0.4897959183673469,0.26315789473684215,
四川,,0.09523809523809523,,0.015384615384615384,0.26666666666666666,0.18518518518518517,0.5416666666666666,0.42424242424242425,0.46700507614213194,
貴州,0.043478260869565216,0.041666666666666664,,0.025,0.1739130434782609,0.17241379310344826,0.5,0.12903225806451613,0.5535714285714286,
雲南,0.15384615384615385,0.22641509433962265,,0.08,0.3289473684210527,0.16666666666666666,0.32142857142857145,0.3421052631578948,0.34782608695652173,
西藏自治區,,0.0,,,,,,,,
陝西,0.4571428571428572,0.39823008849557523,,0.33962264150943394,0.19696969696969696,0.47407407407407415,,0.5121951219512195,0.4892307692307692,
甘肅,0.41666666666666663,0.043478260869565216,0.6666666666666666,0.05970149253731343,0.30000000000000004,0.09375,,0.3333333333333333,0.35443037974683544,1.0
青海,,,0.0,,,,,0.5,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.24242424242424243,,0.44444444444444436,,,,,0.8333333333333334,
