,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5714285714285715,,,,,,,,,
天津,0.8,,,0.1,,,,,,
河北,0.33333333333333337,0.07706766917293233,,0.050505050505050504,0.14207650273224046,0.19855595667870035,0.15068493150684933,0.1032258064516129,0.029498525073746316,0.5
山西,0.05660377358490566,0.12780269058295962,,0.05829596412556053,0.12587412587412586,0.05797101449275363,0.058823529411764705,0.1864406779661017,0.24881516587677724,
內蒙古自治區,,0.2,,,,,,,,
遼寧,,,,,,,,,0.15555555555555556,0.6923076923076923
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.037037037037037035,0.34158415841584155,0.3763440860215054,,,0.205607476635514,0.3448275862068966,1.0,0.4745762711864407,
江蘇,0.06451612903225806,0.17896678966789667,0.05128205128205128,0.13247863247863248,0.2,0.12202380952380953,0.1827956989247312,0.23529411764705882,0.1452991452991453,0.11428571428571428
浙江,0.1611374407582938,0.24099722991689748,0.031746031746031744,0.10599078341013825,0.15135135135135136,0.20580474934036938,0.3263157894736842,0.2,0.23595505617977527,
安徽,0.17757009345794394,0.13872832369942195,0.08333333333333333,0.09455587392550142,0.010989010989010988,0.3046875,0.13186813186813187,0.24,0.0625,
福建,,0.056451612903225805,0.08955223880597016,0.030864197530864196,,0.07608695652173914,,0.13793103448275865,0.0967741935483871,
江西,0.006060606060606061,0.10702341137123746,0.08108108108108107,0.08917197452229299,0.010309278350515464,0.08296943231441048,0.10638297872340426,0.22077922077922077,,
山東,0.047619047619047616,0.14940828402366862,0.07947019867549669,0.07381370826010546,0.14349775784753363,0.24528301886792456,0.20967741935483872,0.23636363636363636,0.12552301255230125,
河南,0.17045454545454544,0.14075286415711946,0.056338028169014086,0.09814323607427056,0.09223300970873786,0.04316546762589928,0.10714285714285714,0.09999999999999999,0.054726368159203974,
湖北,0.22018348623853212,0.10144927536231885,,0.03246753246753247,0.2105263157894737,0.18081180811808117,0.10144927536231885,0.15,0.2962962962962963,
湖南,0.08982035928143714,0.07514450867052024,,0.06217616580310881,0.015625,0.16326530612244897,0.06060606060606061,0.20945945945945946,0.17647058823529413,
廣東,0.007633587786259542,0.03900709219858156,,0.05217391304347826,0.06172839506172839,0.21014492753623187,,0.368421052631579,0.140625,
廣西壯族自治區,,0.029850746268656716,,0.019417475728155338,0.02564102564102564,0.05555555555555556,,0.15094339622641512,0.10714285714285715,
海南,,,,,,,,,,
重慶,,,,,,,0.08695652173913043,0.2857142857142857,0.02631578947368421,
四川,,,,,0.03333333333333333,0.08641975308641975,0.16666666666666666,0.31313131313131315,0.18274111675126903,
貴州,,,,0.05,0.04347826086956522,,,,,
雲南,,,,0.04,0.14473684210526316,0.1111111111111111,0.07142857142857142,0.07894736842105264,0.08695652173913043,
西藏自治區,,0.0,,,,1.0,,,,
陝西,0.08571428571428572,0.11061946902654868,,0.012578616352201257,0.0303030303030303,0.029629629629629634,,0.17073170731707316,0.05846153846153846,
甘肅,0.33333333333333337,0.02898550724637681,,0.014925373134328358,,,,0.0303030303030303,0.08860759493670886,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.3333333333333333,,,,,0.4444444444444445,
