,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,0.16140350877192983,0.08646616541353383,,0.023569023569023566,0.021857923497267763,0.021660649819494584,0.0684931506849315,0.1032258064516129,0.05014749262536874,
山西,0.14150943396226418,,,0.03587443946188341,,0.014492753623188408,0.17647058823529413,0.016949152542372885,0.026066350710900472,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.8148148148148148,0.2722772277227723,0.05376344086021506,,,0.205607476635514,0.10344827586206898,,0.23728813559322035,
江蘇,0.27419354838709675,0.12915129151291513,0.29059829059829057,0.04487179487179487,0.088,0.20833333333333334,0.053763440860215055,0.2549019607843137,0.05128205128205129,0.48571428571428565
浙江,0.12322274881516586,0.3656509695290859,,0.0967741935483871,0.21081081081081082,0.14775725593667546,0.031578947368421054,0.25,0.1797752808988764,0.3333333333333333
安徽,0.14953271028037385,0.06358381502890173,0.19444444444444445,0.022922636103151862,,0.1015625,0.06593406593406594,0.07999999999999999,,
福建,0.03669724770642202,0.04032258064516129,0.029850746268656716,0.12962962962962962,0.22222222222222224,,,0.20689655172413793,0.11290322580645161,0.4166666666666667
江西,0.06666666666666667,0.06688963210702341,,0.03184713375796178,0.2268041237113402,0.08296943231441048,0.3191489361702128,0.38961038961038963,,0.8333333333333334
山東,0.14285714285714285,0.07840236686390532,,0.06502636203866433,0.026905829596412557,0.11949685534591195,0.16666666666666666,0.23636363636363636,0.12761506276150628,
河南,0.125,0.10310965630114566,,0.015915119363395226,0.024271844660194178,,,0.09999999999999999,0.03482587064676617,0.0909090909090909
湖北,0.03669724770642202,0.036231884057971016,,,0.017543859649122806,0.11808118081180811,0.057971014492753624,0.3666666666666667,,0.5
湖南,0.0718562874251497,0.04046242774566474,,,,0.02551020408163265,0.12121212121212122,0.3716216216216216,,
廣東,0.10687022900763357,0.08510638297872342,0.08536585365853658,0.05797101449275362,,0.007246376811594203,,0.2631578947368421,0.0546875,0.3333333333333333
廣西壯族自治區,0.08000000000000002,0.06716417910447761,0.6,0.019417475728155338,0.15384615384615385,,,0.05660377358490567,0.011904761904761906,
海南,0.14814814814814814,,,,,,,,,
重慶,,,,,,0.14545454545454545,0.13043478260869565,0.10204081632653061,0.21052631578947367,
四川,,,,0.04615384615384615,0.016666666666666666,,0.5,0.15151515151515152,0.08629441624365482,
貴州,,0.041666666666666664,,0.075,,0.0689655172413793,,,0.23214285714285712,
雲南,,0.07547169811320754,,,0.09210526315789475,,,,0.021739130434782608,
西藏自治區,,0.0,,,,,,,,
陝西,0.028571428571428574,0.004424778761061947,,0.012578616352201257,,,,0.024390243902439022,0.003076923076923077,
甘肅,,0.02898550724637681,,,0.25,,,0.0606060606060606,0.0379746835443038,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
