,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.125,,,,0.35714285714285715,,0.8888888888888888,0.16666666666666666,
天津,0.4,0.36363636363636365,,0.36666666666666664,,,,,,
河北,0.4771929824561404,0.46240601503759393,0.42168674698795183,0.35690235690235694,0.4754098360655738,0.45848375451263534,0.7465753424657535,0.36774193548387096,0.3893805309734513,0.5
山西,0.29245283018867924,0.38565022421524664,0.07692307692307693,0.3632286995515695,0.5174825174825175,0.5314009661835749,0.37254901960784315,0.728813559322034,0.8530805687203792,
內蒙古自治區,,0.2,,,,0.5,,,0.75,
遼寧,,0.33333333333333337,,0.18181818181818182,,0.11764705882352942,,0.16666666666666666,0.2222222222222222,0.6153846153846154
吉林,,,,,,,1.0,,0.125,0.16666666666666666
黑龍江,,,,,,0.6666666666666667,,,,
上海,1.0,0.7227722772277227,0.3763440860215054,0.6571428571428571,0.3333333333333333,0.5981308411214953,0.034482758620689655,,0.7118644067796611,
江蘇,0.46774193548387094,0.518450184501845,0.6581196581196581,0.4551282051282051,0.472,0.5505952380952381,0.3548387096774194,0.392156862745098,0.11111111111111112,0.02857142857142857
浙江,0.2843601895734597,0.6094182825484764,0.6666666666666666,0.3225806451612903,0.2864864864864865,0.45118733509234826,0.3894736842105263,0.325,0.42696629213483145,0.3333333333333333
安徽,0.28037383177570097,0.2630057803468208,0.5,0.4297994269340974,0.3076923076923077,0.4296875,0.24175824175824176,,0.21875,0.4285714285714286
福建,0.1743119266055046,0.3225806451612903,0.47761194029850745,0.18518518518518517,0.05555555555555556,0.30434782608695654,0.5483870967741936,0.10344827586206896,0.3387096774193548,0.08333333333333334
江西,0.5151515151515152,0.3678929765886288,0.27027027027027023,0.3535031847133758,0.1958762886597938,0.45414847161572053,0.3617021276595745,0.42857142857142866,0.24,
山東,0.5079365079365079,0.2529585798816568,0.4966887417218543,0.3163444639718805,0.336322869955157,0.46540880503144655,0.3655913978494624,0.19999999999999998,0.3284518828451883,0.16666666666666666
河南,0.3409090909090909,0.35679214402618653,0.4929577464788733,0.44297082228116713,0.1359223300970874,0.4388489208633094,0.42857142857142855,0.175,0.35820895522388063,
湖北,0.28440366972477066,0.19565217391304346,0.25,0.1948051948051948,0.2631578947368421,0.2952029520295203,0.2318840579710145,0.26666666666666666,0.3333333333333333,0.5
湖南,0.37724550898203596,0.15606936416184972,0.3384615384615384,0.29533678756476683,0.40625,0.25,0.030303030303030304,0.22972972972972974,0.37254901960784315,0.25
廣東,0.2824427480916031,0.1843971631205674,0.5121951219512195,0.1971014492753623,0.09876543209876543,0.3478260869565218,0.07462686567164178,0.6315789473684211,0.328125,
廣西壯族自治區,0.12000000000000001,0.1865671641791045,,0.16504854368932037,0.3076923076923077,0.08333333333333334,0.2558139534883721,0.07547169811320756,0.30952380952380953,
海南,0.5925925925925926,0.10526315789473684,,,1.0,,0.4,0.5,0.30000000000000004,
重慶,,1.0,,0.28,0.17142857142857143,0.2727272727272727,0.5217391304347826,0.5510204081632654,0.2894736842105263,
四川,0.32653061224489793,0.09523809523809523,,0.2923076923076923,0.18333333333333335,0.40740740740740744,0.4166666666666667,0.4747474747474747,0.4213197969543147,1.0
貴州,0.17391304347826086,0.08333333333333333,0.2,0.025,,0.0689655172413793,,0.06451612903225806,0.44642857142857145,0.3333333333333333
雲南,,0.20754716981132076,,,0.10526315789473685,0.05555555555555555,0.25,0.26315789473684215,0.3695652173913043,
西藏自治區,,0.0,,,,,1.0,,1.0,
陝西,0.37142857142857144,0.5,0.42857142857142855,0.38993710691823896,0.3333333333333333,0.3407407407407408,,0.41463414634146345,0.5015384615384615,
甘肅,,0.26086956521739124,0.6666666666666666,0.29850746268656714,0.05,,,0.27272727272727276,0.16455696202531644,
青海,,,0.0,,,,,,,
寧夏回族自治區,,0.4,,,1.0,,1.0,1.0,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.030303030303030304,,0.11111111111111109,0.2,,,0.2857142857142857,0.3333333333333333,
