,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,0.27272727272727276,,,0.14285714285714285,,,,,
河北,0.15789473684210525,0.21052631578947367,0.27710843373493976,0.1414141414141414,0.12021857923497269,0.22382671480144403,0.14383561643835618,0.08387096774193548,0.23893805309734517,
山西,0.04716981132075472,0.12556053811659193,0.038461538461538464,0.03139013452914798,0.020979020979020976,0.15458937198067632,0.03921568627450981,0.2203389830508475,0.3317535545023697,
內蒙古自治區,,,,,,,,,,
遼寧,,,,0.27272727272727276,,0.11764705882352942,0.16666666666666666,,0.06666666666666667,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.4444444444444444,0.45544554455445546,0.7096774193548387,0.4142857142857143,,0.6261682242990654,0.8965517241379312,,0.42372881355932207,
江蘇,0.23387096774193547,0.2177121771217712,0.547008547008547,0.22863247863247863,0.272,0.34226190476190477,0.12903225806451613,0.37254901960784315,0.2307692307692308,0.6571428571428571
浙江,0.15639810426540285,0.38781163434903043,0.15873015873015872,0.1336405529953917,0.24324324324324326,0.30606860158311344,0.6105263157894737,0.15,0.3876404494382022,0.4444444444444444
安徽,0.10280373831775702,0.10115606936416184,0.19444444444444445,0.07163323782234957,0.010989010989010988,0.03125,,,0.15624999999999997,0.14285714285714285
福建,0.05504587155963303,0.22580645161290322,0.14925373134328357,0.09876543209876543,0.11111111111111112,0.09782608695652174,0.1935483870967742,0.24137931034482762,0.12903225806451613,
江西,0.048484848484848485,0.05351170568561873,,0.044585987261146494,,0.16593886462882096,,0.18181818181818185,,0.5
山東,0.1111111111111111,0.1819526627218935,0.35099337748344367,0.14411247803163446,0.13004484304932737,0.34591194968553457,0.18817204301075272,0.4363636363636364,0.29497907949790797,1.0
河南,0.11363636363636363,0.18166939443535188,0.056338028169014086,0.09814323607427056,0.11165048543689321,0.09352517985611512,0.017857142857142856,0.175,0.3880597014925373,0.5454545454545454
湖北,0.09174311926605504,0.028985507246376812,0.1111111111111111,0.08441558441558442,,0.23985239852398527,0.07246376811594203,0.4833333333333334,0.18518518518518517,
湖南,0.029940119760479042,0.034682080924855495,,0.031088082901554404,0.125,0.030612244897959183,0.09090909090909091,0.1891891891891892,0.0392156862745098,
廣東,0.0916030534351145,0.12056737588652482,0.012195121951219511,0.06376811594202898,0.13580246913580246,0.14492753623188406,0.26865671641791045,0.4210526315789474,0.2109375,
廣西壯族自治區,0.04000000000000001,0.1044776119402985,,0.1553398058252427,0.05128205128205128,0.05555555555555556,0.09302325581395349,0.11320754716981134,0.14880952380952384,
海南,0.1111111111111111,0.07894736842105263,,,,0.14285714285714285,0.2,,,
重慶,,,,,,0.0909090909090909,0.13043478260869565,0.22448979591836735,0.15789473684210525,
四川,,0.09523809523809523,,0.030769230769230767,0.13333333333333333,0.01234567901234568,0.125,0.13131313131313133,0.1319796954314721,
貴州,,,,,,0.03448275862068965,0.5,0.03225806451612903,0.017857142857142856,
雲南,,0.03773584905660377,,0.04,0.026315789473684213,0.1111111111111111,0.07142857142857142,0.026315789473684216,0.021739130434782608,
西藏自治區,,0.0,,,,,,,,
陝西,0.08571428571428572,0.13274336283185842,,0.16352201257861634,,0.014814814814814817,,0.17073170731707316,0.23384615384615384,
甘肅,0.16666666666666669,,,0.04477611940298507,,,,0.0606060606060606,0.10126582278481013,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.06060606060606061,,0.22222222222222218,0.4,0.6250000000000001,0.5,0.5714285714285714,0.3888888888888889,
