,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.3333333333333333,,,0.8,0.608695652173913,0.16666666666666669,0.8125,0.28571428571428575,
天津,0.7368421052631579,0.3170731707317073,0.1764705882352941,0.04,0.06666666666666667,0.3235294117647059,0.875,0.8947368421052633,,
河北,0.5921052631578948,0.4723926380368098,0.5212765957446809,0.39615384615384613,0.4703196347031964,0.5403846153846154,0.5189873417721519,0.6991869918699186,0.4102564102564103,0.4
山西,0.3958333333333333,0.460431654676259,,0.2756410256410256,0.3673469387755102,0.3382352941176471,0.21428571428571427,0.440677966101695,0.6304347826086956,0.25
內蒙古自治區,,,,,,,,,1.0,
遼寧,,0.33333333333333337,,0.08695652173913043,,0.028571428571428574,,,0.23728813559322035,0.25
吉林,,,,0.25,,,,,0.08333333333333333,0.16666666666666666
黑龍江,,,,0.11111111111111109,,0.13043478260869565,,,0.3333333333333333,
上海,0.5873015873015873,0.6118143459915611,0.9242424242424242,0.46315789473684216,0.5625,0.5454545454545454,0.27777777777777773,,0.4925373134328358,
江蘇,0.3542600896860987,0.4039256198347107,0.3677130044843049,0.2718023255813954,0.3373015873015873,0.33771353482260186,0.25,0.5076923076923077,0.23947368421052634,0.33333333333333337
浙江,0.5561224489795918,0.5141065830721003,0.619047619047619,0.4137931034482759,0.5583333333333333,0.5042918454935622,0.4383561643835616,0.21428571428571433,0.4686774941995359,0.8275862068965517
安徽,0.46206896551724136,0.3206751054852321,0.1984732824427481,0.19669669669669668,0.17575757575757575,0.15315315315315317,0.46551724137931033,0.25,0.21276595744680848,0.08333333333333333
福建,0.0625,0.18352059925093633,0.10714285714285715,0.08360128617363342,0.09574468085106383,0.24096385542168675,0.24324324324324323,0.023255813953488372,0.24867724867724866,0.5882352941176471
江西,0.25443786982248523,0.2068965517241379,0.21978021978021975,0.12108559498956159,0.19480519480519481,0.2775423728813559,0.5153846153846153,0.41592920353982304,0.13043478260869565,1.0
山東,0.5,0.5039525691699605,0.5294117647058824,0.44999999999999996,0.23595505617977527,0.5354969574036511,0.6186440677966102,0.618279569892473,0.5628517823639775,0.7735849056603773
河南,0.5875912408759124,0.5775127768313457,0.3609022556390978,0.5471264367816092,0.4107142857142857,0.38333333333333336,0.2,0.4257425742574258,0.5348101265822784,0.8695652173913043
湖北,0.15178571428571427,0.10174418604651163,0.2403846153846154,0.05523255813953488,0.2090909090909091,0.22056074766355138,0.23121387283236997,0.2111111111111111,0.11428571428571428,
湖南,0.1368421052631579,0.1326530612244898,0.1282051282051282,0.1519756838905775,0.07453416149068323,0.19375,0.1721311475409836,0.15859030837004406,0.14999999999999997,0.23809523809523808
廣東,0.26315789473684215,0.2177589852008457,0.24285714285714283,0.23326133909287258,0.1855203619909502,0.36774193548387096,0.30065359477124187,0.2077922077922078,0.21839080459770116,0.19999999999999998
廣西壯族自治區,,0.0273224043715847,,0.10185185185185185,0.1754385964912281,0.3076923076923077,0.07142857142857142,0.2903225806451613,0.34020618556701027,0.6363636363636364
海南,0.5625,0.6666666666666666,0.46153846153846156,0.3902439024390244,0.25,0.5454545454545454,0.6666666666666666,,,
重慶,,,,0.047619047619047616,,0.12698412698412698,,0.5121951219512195,0.1346153846153846,
四川,,0.2619047619047619,,0.05027932960893854,0.14583333333333334,0.03333333333333333,0.4150943396226415,0.22627737226277372,0.2577777777777778,0.3846153846153846
貴州,,,,0.17647058823529413,0.5,0.13999999999999999,0.3333333333333333,0.04,0.39999999999999997,
雲南,0.125,0.17821782178217824,0.060000000000000005,0.15625,0.13513513513513514,0.3880597014925373,0.1081081081081081,0.65,0.2972972972972973,0.16666666666666669
西藏自治區,,0.0,,,,0.04761904761904762,,0.125,,
陝西,0.3698630136986301,0.29245283018867924,,0.40243902439024387,0.5306122448979592,0.2127659574468085,0.052631578947368425,0.5507246376811594,0.43609022556390975,0.5
甘肅,0.1,0.40909090909090906,,0.3582089552238806,0.6363636363636364,0.1739130434782609,,,0.35483870967741943,0.28571428571428575
青海,,,0.0,0.5,,,,,,
寧夏回族自治區,,,,,,,,,1.0,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.11111111111111109,,0.2272727272727273,,,0.44999999999999996,
