,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.06666666666666668,1.0,0.32,,0.6521739130434782,0.8333333333333334,0.8125,0.45714285714285713,
天津,0.5789473684210527,0.7317073170731707,0.7647058823529411,0.76,0.7333333333333333,0.7352941176470589,0.25,0.31578947368421056,0.056603773584905655,
河北,0.5043859649122807,0.5843558282208589,0.5904255319148936,0.5230769230769231,0.4474885844748859,0.6115384615384615,0.7637130801687764,0.6422764227642276,0.4897435897435898,0.25
山西,0.10416666666666666,0.12949640287769784,0.2631578947368421,0.2692307692307692,0.38775510204081637,0.35294117647058826,0.5,0.16949152542372883,0.4239130434782608,
內蒙古自治區,,,,1.0,,0.6666666666666666,,1.0,,
遼寧,,,,0.5652173913043478,0.6000000000000001,0.4857142857142857,1.0,0.30000000000000004,0.45762711864406785,0.5
吉林,,1.0,,1.0,,0.2857142857142857,,,0.25,0.5833333333333334
黑龍江,,,,1.0,0.5,0.5652173913043479,,,0.7333333333333333,0.16666666666666669
上海,0.30158730158730157,0.3291139240506329,0.8333333333333334,0.2105263157894737,0.46875,0.44628099173553726,,0.6875,0.5970149253731343,
江蘇,0.3004484304932735,0.5568181818181818,0.5874439461883407,0.6526162790697674,0.4047619047619047,0.6057818659658344,0.2980769230769231,0.46923076923076923,0.48157894736842105,0.6451612903225806
浙江,0.1020408163265306,0.4059561128526646,0.4857142857142857,0.38726790450928383,0.45000000000000007,0.4248927038626609,0.24657534246575344,0.34523809523809523,0.36890951276102085,0.3448275862068966
安徽,0.20689655172413793,0.33544303797468356,0.5343511450381679,0.48948948948948945,0.4606060606060606,0.37537537537537535,0.13793103448275862,0.06999999999999999,0.22695035460992907,0.25
福建,0.07291666666666667,0.14232209737827714,0.27380952380952384,0.19292604501607716,0.03191489361702128,0.28915662650602414,0.18918918918918917,0.11627906976744187,0.21164021164021163,0.5882352941176471
江西,0.16568047337278108,0.3448275862068965,0.29670329670329665,0.34029227557411273,0.22727272727272727,0.5127118644067796,0.46923076923076923,0.4646017699115044,0.2608695652173913,
山東,0.22897196261682243,0.5296442687747035,0.6042780748663101,0.5774193548387097,0.348314606741573,0.40770791075050705,0.48305084745762716,0.13440860215053763,0.3639774859287054,0.018867924528301886
河南,0.26277372262773724,0.3781942078364565,0.46616541353383456,0.4896551724137931,0.5892857142857142,0.25,0.4857142857142857,0.31683168316831684,0.22784810126582278,
湖北,0.15178571428571427,0.21802325581395346,0.22115384615384615,0.25290697674418605,0.045454545454545456,0.26915887850467285,0.11560693641618498,0.08333333333333333,0.14285714285714285,
湖南,0.06315789473684211,0.18027210884353742,0.28205128205128205,0.182370820668693,0.21118012422360247,0.240625,0.18032786885245902,0.17180616740088106,0.1125,0.047619047619047616
廣東,0.02255639097744361,0.1649048625792812,0.42857142857142855,0.22462203023758098,0.06334841628959276,0.22258064516129034,0.09803921568627451,0.012987012987012988,0.1839080459770115,0.09999999999999999
廣西壯族自治區,0.03703703703703704,0.08743169398907104,0.13793103448275862,0.027777777777777776,0.017543859649122806,0.16483516483516486,0.07142857142857142,0.09677419354838711,0.15463917525773196,
海南,0.0625,0.03333333333333333,,0.024390243902439025,0.25,,0.16666666666666666,,,
重慶,,,0.7777777777777777,0.047619047619047616,0.27586206896551724,0.25396825396825395,0.11538461538461538,0.10975609756097561,0.34615384615384615,
四川,,0.023809523809523808,0.7857142857142856,0.20670391061452512,0.0625,0.09999999999999999,0.09433962264150944,0.26277372262773724,0.24000000000000002,0.3076923076923077
貴州,,0.027777777777777776,0.16666666666666666,0.029411764705882353,0.14285714285714288,0.07999999999999999,,,0.12,
雲南,,0.09900990099009901,,0.07291666666666667,0.1081081081081081,0.014925373134328356,,,0.13513513513513514,
西藏自治區,,0.0,,,0.25,0.380952380952381,0.19999999999999998,0.125,0.30000000000000004,
陝西,0.20547945205479454,0.09433962264150944,,0.4268292682926829,0.4897959183673469,0.4574468085106383,0.2631578947368421,0.13043478260869568,0.43609022556390975,0.25
甘肅,0.1,0.18181818181818182,0.1,0.373134328358209,,0.47826086956521746,,,0.22580645161290325,
青海,,,0.0,0.5,,,,,0.7777777777777779,
寧夏回族自治區,,,,0.6666666666666667,0.7999999999999999,1.0,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.11764705882352941,,0.3333333333333333,0.3333333333333333,0.13636363636363638,,,0.1,
