,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.2666666666666667,,0.04,0.1,0.21739130434782608,0.16666666666666669,,0.05714285714285714,
天津,,0.17073170731707318,,,0.06666666666666667,0.11764705882352942,,0.10526315789473685,0.056603773584905655,
河北,0.23464912280701755,0.41871165644171776,0.2446808510638298,0.27884615384615385,0.11415525114155252,0.3596153846153846,0.29957805907172996,0.38211382113821135,0.1358974358974359,
山西,0.09375,0.32374100719424465,0.05263157894736842,0.28846153846153844,0.2653061224489796,0.27941176470588236,0.2857142857142857,0.27118644067796616,0.4239130434782608,
內蒙古自治區,,,,,,,,,,
遼寧,,,,0.043478260869565216,,0.08571428571428572,,,0.03389830508474576,
吉林,,,,,,,,,,0.16666666666666666
黑龍江,,,,0.11111111111111109,,0.30434782608695654,,,0.06666666666666667,
上海,0.20634920634920634,0.459915611814346,0.40909090909090906,0.18947368421052635,0.125,0.15702479338842976,,,0.02985074626865672,
江蘇,0.26905829596412556,0.30681818181818177,0.25112107623318386,0.2747093023255814,0.3650793650793651,0.16688567674113008,0.30769230769230765,0.4076923076923077,0.3026315789473685,0.16129032258064516
浙江,0.4183673469387755,0.4341692789968652,0.34285714285714286,0.27320954907161804,0.375,0.41201716738197425,0.23972602739726026,0.3928571428571429,0.33642691415313225,0.2241379310344828
安徽,0.3379310344827586,0.31856540084388185,0.1984732824427481,0.18018018018018017,0.29696969696969694,0.2522522522522523,0.36206896551724144,0.31999999999999995,0.20567375886524822,0.125
福建,0.09375,0.22471910112359553,0.2142857142857143,0.12218649517684887,0.10638297872340426,0.12048192771084337,0.027027027027027025,0.09302325581395349,0.24338624338624337,0.1764705882352941
江西,0.2366863905325444,0.38916256157635465,0.02197802197802198,0.162839248434238,0.1168831168831169,0.2563559322033898,0.0923076923076923,0.2345132743362832,0.17391304347826086,
山東,0.205607476635514,0.24308300395256918,0.28877005347593576,0.22258064516129028,0.3595505617977528,0.2920892494929006,0.3432203389830509,0.3010752688172043,0.3395872420262664,0.1320754716981132
河南,0.24452554744525548,0.39522998296422485,0.1804511278195489,0.1471264367816092,0.3928571428571428,0.2777777777777778,0.27142857142857146,0.04950495049504951,0.31962025316455694,0.4782608695652174
湖北,0.2142857142857143,0.22674418604651164,0.125,0.1686046511627907,0.17272727272727273,0.1383177570093458,0.20809248554913296,0.23888888888888887,0.22857142857142856,
湖南,0.0736842105263158,0.19727891156462585,0.15384615384615383,0.14285714285714285,0.2981366459627329,0.178125,0.11475409836065574,0.14537444933920704,0.14999999999999997,0.14285714285714285
廣東,0.09022556390977444,0.20507399577167018,0.12142857142857141,0.2267818574514039,0.14027149321266968,0.16774193548387098,0.20915032679738563,0.12987012987012986,0.2327586206896552,0.3
廣西壯族自治區,0.03703703703703704,0.10382513661202186,,0.24074074074074076,0.26315789473684215,0.15384615384615385,0.10714285714285715,0.09677419354838711,0.23195876288659795,0.09090909090909091
海南,0.1875,,,0.3170731707317073,,0.5454545454545454,0.16666666666666666,,0.3125,
重慶,,,0.6666666666666666,0.16666666666666666,0.41379310344827586,0.06349206349206349,0.2692307692307692,0.3048780487804878,0.11538461538461538,
四川,,0.09523809523809523,0.07142857142857142,0.08379888268156424,0.125,0.08888888888888889,0.32075471698113206,0.3284671532846715,0.2533333333333333,0.15384615384615385
貴州,0.19999999999999998,0.05555555555555555,,0.14705882352941177,0.07142857142857144,0.019999999999999997,,0.08,0.19999999999999998,
雲南,,0.21782178217821782,0.28,0.0625,0.013513513513513513,0.08955223880597014,0.027027027027027025,0.05,0.11486486486486487,0.33333333333333337
西藏自治區,,0.0,,,,,,,,
陝西,0.136986301369863,0.1509433962264151,,0.1829268292682927,0.38775510204081637,0.40425531914893614,,0.2028985507246377,0.3082706766917293,0.125
甘肅,,0.6363636363636364,0.2,0.1791044776119403,0.45454545454545453,0.08695652173913045,,0.125,0.1935483870967742,0.07142857142857144
青海,,,0.0,,,,,,0.33333333333333337,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.11111111111111109,0.2222222222222222,,,0.5,,
