,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,0.04,0.3,0.34782608695652173,,,0.11428571428571428,
天津,0.2631578947368421,0.14634146341463414,,0.24000000000000002,0.26666666666666666,0.2058823529411765,,,0.018867924528301886,
河北,0.4298245614035088,0.2776073619631902,0.19148936170212766,0.25,0.1963470319634703,0.24807692307692306,0.24472573839662448,0.39837398373983735,0.23333333333333334,
山西,0.14583333333333331,0.22302158273381295,,0.23076923076923075,0.30612244897959184,0.23529411764705882,0.5357142857142857,0.2203389830508475,0.2934782608695652,
內蒙古自治區,,,,,,,,,,
遼寧,0.25,,,0.2608695652173913,0.06666666666666667,0.17142857142857143,,0.2,0.288135593220339,0.4166666666666667
吉林,,,,,,,,,0.08333333333333333,0.4166666666666667
黑龍江,,,,,,0.13043478260869565,,,,
上海,0.19047619047619047,0.32489451476793246,0.8636363636363635,0.2736842105263158,0.1875,0.5950413223140496,,,0.11940298507462688,
江蘇,0.336322869955157,0.36157024793388426,0.3497757847533632,0.32848837209302323,0.17857142857142855,0.3692509855453351,0.07692307692307691,0.17692307692307693,0.11315789473684211,0.3225806451612903
浙江,0.3979591836734694,0.28213166144200624,0.22857142857142856,0.19628647214854114,0.3458333333333334,0.502145922746781,0.3767123287671233,0.07142857142857144,0.25986078886310904,0.05172413793103448
安徽,0.2413793103448276,0.20675105485232068,0.12977099236641224,0.25975975975975973,0.2121212121212121,0.24324324324324323,0.4482758620689655,0.09,0.1347517730496454,0.29166666666666663
福建,0.13541666666666666,0.1348314606741573,0.3333333333333333,0.14469453376205788,0.02127659574468085,0.27710843373493976,0.37837837837837834,0.18604651162790697,0.21164021164021163,0.1764705882352941
江西,0.378698224852071,0.22167487684729062,0.14285714285714285,0.2150313152400835,0.1103896103896104,0.298728813559322,0.1,0.21238938053097345,0.2173913043478261,1.0
山東,0.15420560747663553,0.41699604743083,0.40106951871657753,0.37741935483870964,0.33146067415730335,0.20892494929006086,0.22033898305084748,0.14516129032258063,0.2945590994371482,0.09433962264150943
河南,0.1386861313868613,0.3730834752981261,0.38345864661654133,0.2528735632183908,0.35714285714285715,0.20555555555555555,0.18571428571428572,0.16831683168316833,0.3670886075949367,0.13043478260869565
湖北,0.30357142857142855,0.14244186046511628,0.25,0.1511627906976744,0.13636363636363638,0.3383177570093458,0.09826589595375723,0.12222222222222222,0.06428571428571428,
湖南,0.24210526315789474,0.11904761904761905,0.43589743589743585,0.10638297872340424,0.09937888198757763,0.3125,0.09016393442622951,0.22026431718061673,0.07499999999999998,0.3333333333333333
廣東,0.15789473684210528,0.16279069767441862,0.3714285714285714,0.17926565874730022,0.12217194570135746,0.2,0.08496732026143793,0.045454545454545456,0.20689655172413793,
廣西壯族自治區,0.29629629629629634,0.1475409836065574,0.06896551724137931,0.15740740740740738,0.1929824561403509,0.01098901098901099,0.25,0.19354838709677422,0.22164948453608246,
海南,0.5625,0.06666666666666667,,,,0.5454545454545454,0.16666666666666666,,0.125,
重慶,,0.09090909090909091,0.6666666666666666,0.07142857142857142,0.20689655172413793,0.17460317460317457,0.3076923076923077,0.32926829268292684,0.2692307692307692,
四川,,0.14285714285714285,0.07142857142857142,0.061452513966480445,0.27083333333333337,0.16666666666666666,0.2830188679245283,0.22627737226277372,0.16444444444444445,
貴州,0.19999999999999998,0.1111111111111111,,,,0.039999999999999994,,0.16,0.26666666666666666,0.3333333333333333
雲南,0.125,0.1485148514851485,,0.04166666666666667,0.22972972972972974,0.029850746268656712,0.1891891891891892,0.225,0.08108108108108109,
西藏自治區,,0.0,,,,,,,,
陝西,0.013698630136986302,0.10377358490566038,,0.0975609756097561,0.30612244897959184,0.3617021276595745,,0.2173913043478261,0.4736842105263157,
甘肅,,0.40909090909090906,,0.07462686567164178,0.09090909090909091,0.08695652173913045,,,0.0967741935483871,0.5714285714285715
青海,,,0.0,,,,,,0.22222222222222224,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.058823529411764705,,,,,,0.5,0.35000000000000003,
