,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,,,,,,,,,0.010869565217391304,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,0.08673469387755102,0.006269592476489028,,,,,,0.02380952380952381,0.037122969837587005,0.2931034482758621
安徽,,0.0021097046413502112,,,,0.00900900900900901,,,,
福建,,,,0.009646302250803858,,,,,,
江西,,,,,,0.019067796610169493,,,,
山東,,,,,,,,,,
河南,,0.0034071550255536627,,,0.17857142857142858,0.005555555555555556,,,,
湖北,0.008928571428571428,,,0.00872093023255814,,,,,,
湖南,,,,,0.055900621118012424,0.025,,0.004405286343612335,,0.19047619047619047
廣東,,,,,,0.03225806451612903,0.013071895424836602,0.03896103896103896,0.08620689655172414,
廣西壯族自治區,,,,,,,,0.03225806451612903,0.07216494845360824,
海南,,,,,,,,,,
重慶,,,,,,,,,0.05769230769230769,
四川,,,,,,,,0.0364963503649635,,
貴州,,,,,,,,,0.013333333333333332,
雲南,,,,,,0.014925373134328356,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,,,0.012195121951219513,,,,,0.007518796992481203,
甘肅,,0.13636363636363638,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.4,
